@relation cleanCSV

@attribute Project string
@attribute Version string
@attribute Class string
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg(cc) numeric
@attribute bugs numeric

@data
ant,1.3,org.apache.tools.ant.taskdefs.Jikes,2,1,0,5,29,0,0,5,0,0,176,1,2,0,0.6,0,0,85.5,5,0
ant,1.3,org.apache.tools.ant.FileScanner,13,1,0,4,13,78,4,0,13,2,13,0,0,0,0.326923,0,0,0,1,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$15,2,1,0,5,7,0,1,5,1,0.333333,44,1,1,0,0.571429,0,0,19.5,0.5,0
ant,1.3,org.apache.tools.ant.ProjectHelper$1,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
ant,1.3,org.apache.tools.ant.taskdefs.ExecuteJava,6,1,0,7,26,0,1,6,6,0.65,185,1,3,0,0.305556,0,0,29.166666,0.833333,0
ant,1.3,org.apache.tools.ant.taskdefs.FixCRLF$AddAsisRemove,2,2,0,2,3,1,1,1,2,2,20,0,0,0.888889,1,1,1,9,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.compilers.Jikes,2,2,0,9,23,1,1,8,2,2,204,0,0,0.958333,1,1,1,101,0.5,0
ant,1.3,org.apache.tools.ant.IntrospectionHelper$11,2,1,0,3,6,0,1,3,1,0.5,29,1,1,0,0.583333,0,0,12.5,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Filter,6,3,0,4,24,5,0,4,5,0.733333,153,1,0,0.880952,0.5,0,0,24,0.833333,0
ant,1.3,org.apache.tools.ant.util.regexp.RegexpMatcherFactory,3,1,0,3,9,3,1,2,2,2,43,0,0,0,0.666667,0,0,13.333333,0.666667,0
ant,1.3,org.apache.tools.ant.Constants,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ant,1.3,org.apache.tools.ant.taskdefs.Tstamp,3,3,0,5,17,0,1,5,3,0,91,1,0,0.948718,1,0,0,29,0.666667,0
ant,1.3,org.apache.tools.ant.types.CommandlineJava,21,1,0,9,47,48,1,8,21,0.68,277,1,4,0,0.309524,0,0,11.952381,1.428572,1
ant,1.3,org.apache.tools.ant.IntrospectionHelper$12,2,1,0,4,6,0,1,4,1,0.5,33,1,1,0,0.583333,0,0,14.5,0.5,0
ant,1.3,org.apache.tools.ant.taskdefs.Javadoc$GroupArgument,5,1,0,1,6,6,1,1,5,0.833333,28,1,1,0,0.533333,0,0,4,0.8,0
ant,1.3,org.apache.tools.ant.taskdefs.ExecTask,19,3,1,18,56,97,5,13,12,0.814815,406,1,2,0.672727,0.190789,0,0,19.894737,1.052632,0
ant,1.3,org.apache.tools.ant.taskdefs.Replace$Replacefilter,9,1,0,3,22,4,1,3,9,0.6875,153,1,1,0,0.481482,0,0,15.555555,1.222222,0
ant,1.3,org.apache.tools.ant.taskdefs.SendEmail,8,3,0,4,41,10,0,4,8,0.809524,236,1,0,0.840909,0.875,1,1,27.75,2.625,0
ant,1.3,org.apache.tools.tar.TarInputStream,16,3,0,3,40,84,1,2,16,0.658333,604,1,2,0.580645,0.291667,2,7,36.25,0.8125,0
