NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,0.942093632429493,1,Infinity,-1,0.05
0,0.9131545390965223,1,Infinity,-1,0.1
0,0.821160205781438,0,NaN,0,0.15
0,0.8159723914822022,0,NaN,0,0.2
0,0.822984757808641,0,NaN,0,0.25
0,0.8239317911602256,0,NaN,0,0.3
0,0.8321208294503739,0,NaN,0,0.35
0,0.8551867063434866,0,NaN,0,0.4
0,0.8711033992611388,0,NaN,0,0.45
0,0.8482435929214951,0,NaN,0,0.5
0,0.8524707480325195,0,NaN,0,0.55
0,0.8325351657965617,0,NaN,0,0.6
0,0.8291231351872256,0,NaN,0,0.65
0,0.846048110279761,0,NaN,0,0.7
0,0.852572557988349,0,NaN,0,0.75
0,0.8104488974745749,0,NaN,0,0.8
0,0.7984098085304598,0,NaN,0,0.85
0,0.7084233786435787,0,NaN,0,0.9
0,0.796032532564652,0,NaN,0,0.95
