NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,1.4526677471685203,0,NaN,0,0.05
0,1.3625689180048925,0,NaN,0,0.1
0,1.357845036958967,0,NaN,0,0.15
0,2.2140691832016137,0,NaN,0,0.2
0,2.2310460780338355,0,NaN,0,0.25
0,1.8272480479306543,0,NaN,0,0.3
0,1.831694918476504,0,NaN,0,0.35
0,1.6883865485099,0,NaN,0,0.4
0,1.6121865137560527,0,NaN,0,0.45
0,1.6437550243368289,0,NaN,0,0.5
0,1.6139625287818158,0,NaN,0,0.55
0,1.445844884720433,0,NaN,0,0.6
0,1.4500474358917999,0,NaN,0,0.65
0,1.4633211494542608,0,NaN,0,0.7
0,1.5247534269877256,0,NaN,0,0.75
0,1.3272043275460834,0,NaN,0,0.8
0,1.4419029839577269,0,NaN,0,0.85
0,1.249631619962575,0,NaN,0,0.9
0,1.1708353328238912,0,NaN,0,0.95
