NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,0.730532434604751,0,NaN,0,0.05
0,0.6311322225334849,0,NaN,0,0.1
0,0.6230036789389806,0,NaN,0,0.15
0,0.6217703889435207,0,NaN,0,0.2
0,0.6247740709147986,0,NaN,0,0.25
0,0.6270128617958526,0,NaN,0,0.3
0,0.6297569476031305,0,NaN,0,0.35
0,0.634162525119482,0,NaN,0,0.4
0,0.6408999870333987,0,NaN,0,0.45
0,0.6424598667072133,0,NaN,0,0.5
0,0.6352363587218313,0,NaN,0,0.55
0,0.6216838950447137,0,NaN,0,0.6
0,0.6125364442299573,0,NaN,0,0.65
0,0.6247982592485398,0,NaN,0,0.7
0,0.6327765857112169,0,NaN,0,0.75
0,0.620359086137749,0,NaN,0,0.8
0,0.6441502878027101,0,NaN,0,0.85
0,0.6059022356913064,0,NaN,0,0.9
0,0.5726479175338948,0,NaN,0,0.95
