NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.481661540053196,0,NaN,0,0.05
0,1.8692706251314846,0,NaN,0,0.1
0,1.770292298990098,0,NaN,0,0.15
0,1.2897302903322583,0,NaN,0,0.2
0,1.111342204119803,0,NaN,0,0.25
0,1.0774939354506634,0,NaN,0,0.3
0,1.0642006958551435,0,NaN,0,0.35
0,1.0964558088034762,0,NaN,0,0.4
0,1.1722248370733575,0,NaN,0,0.45
0,1.2117459632501542,0,NaN,0,0.5
0,1.2423243966796473,0,NaN,0,0.55
0,0.986005595380424,0,NaN,0,0.6
0,0.9867493372988587,0,NaN,0,0.65
0,1.0133652488873013,0,NaN,0,0.7
0,1.065816177230739,0,NaN,0,0.75
0,1.0839246050001998,0,NaN,0,0.8
0,1.1476896796875158,0,NaN,0,0.85
0,0.7803416899119663,0,NaN,0,0.9
0,0.8154548378453539,0,NaN,0,0.95
