NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.1015325377781515,0,NaN,0,0.05
0,1.6696676723772412,0,NaN,0,0.1
0,1.4624219581547246,0,NaN,0,0.15
0,1.6638765923751688,0,NaN,0,0.2
0,1.6669704787073847,0,NaN,0,0.25
0,1.5359022377320801,0,NaN,0,0.3
0,1.5294116281241514,0,NaN,0,0.35
0,1.5356678643340727,0,NaN,0,0.4
0,1.591764074800092,0,NaN,0,0.45
0,1.592155200572896,0,NaN,0,0.5
0,1.5928459349966564,0,NaN,0,0.55
0,1.3471794020897914,0,NaN,0,0.6
0,1.3333380944802848,0,NaN,0,0.65
0,1.4245894324388395,0,NaN,0,0.7
0,1.5223293705337935,0,NaN,0,0.75
0,1.1916394743388419,0,NaN,0,0.8
0,1.256714082693896,0,NaN,0,0.85
0,1.1872185516708362,0,NaN,0,0.9
0,1.0227648748503733,0,NaN,0,0.95
