NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,1.8165416335989786,1,Infinity,-1,0.05
0,1.3294560804099578,1,Infinity,-1,0.1
0,1.2840855381181142,1,Infinity,-1,0.15
0,1.3709404714764784,1,Infinity,-1,0.2
0,1.3593354866627985,1,Infinity,-1,0.25
0,1.3338866773102578,1,Infinity,-1,0.3
0,1.3291213228799588,1,Infinity,-1,0.35
0,1.3251012755553873,1,Infinity,-1,0.4
0,1.3375050986096653,1,Infinity,-1,0.45
0,1.351025275300287,1,Infinity,-1,0.5
0,1.3450403955863615,1,Infinity,-1,0.55
0,1.3108845123348982,1,Infinity,-1,0.6
0,1.2808626253637043,1,Infinity,-1,0.65
0,1.3082651998320918,1,Infinity,-1,0.7
0,1.3483161077807062,1,Infinity,-1,0.75
0,1.2333187598701563,1,Infinity,-1,0.8
0,1.3033787781262016,1,Infinity,-1,0.85
0,1.0970407832760505,1,Infinity,-1,0.9
0,1.1379672340169598,1,Infinity,-1,0.95
