NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,1.0675119430578093,0,NaN,0,0.05
0,0.987466434150157,0,NaN,0,0.1
0,0.9569089584786832,0,NaN,0,0.15
0,1.0016270179266897,0,NaN,0,0.2
0,0.9913434958806469,0,NaN,0,0.25
0,1.0012180773293549,0,NaN,0,0.3
0,1.016733041091731,0,NaN,0,0.35
0,1.037663661492804,0,NaN,0,0.4
0,1.0462636201609898,0,NaN,0,0.45
0,1.0542124828053492,0,NaN,0,0.5
0,1.0552382504493139,0,NaN,0,0.55
0,1.0228203963560976,0,NaN,0,0.6
0,1.0357424794090258,0,NaN,0,0.65
0,1.0710940415715862,0,NaN,0,0.7
0,1.1175383978742284,0,NaN,0,0.75
0,1.0188670475549837,0,NaN,0,0.8
0,1.0775465702596994,0,NaN,0,0.85
0,0.8624342457264332,0,NaN,0,0.9
0,0.8966113062667103,0,NaN,0,0.95
