NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,0.8461768594918417,0,NaN,0,0.05
0,0.764834265293848,0,NaN,0,0.1
0,0.7516045195916994,0,NaN,0,0.15
0,0.760618160691504,0,NaN,0,0.2
0,0.7541722045443335,0,NaN,0,0.25
0,0.7632035820069767,0,NaN,0,0.3
0,0.7639485136373595,0,NaN,0,0.35
0,0.7692345705295016,0,NaN,0,0.4
0,0.7767526403012797,0,NaN,0,0.45
0,0.78025791149609,0,NaN,0,0.5
0,0.777062126520397,0,NaN,0,0.55
0,0.757571230656634,0,NaN,0,0.6
0,0.7552880493313165,0,NaN,0,0.65
0,0.768026883397948,0,NaN,0,0.7
0,0.7851352917584379,0,NaN,0,0.75
0,0.7795540795816851,0,NaN,0,0.8
0,0.8028174704935536,0,NaN,0,0.85
0,0.7497156488910629,0,NaN,0,0.9
0,0.7163344407530456,0,NaN,0,0.95
