NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.3016574489786774,1,Infinity,-1,0.05
0,1.364637983727968,0,NaN,0,0.1
0,1.253249049432694,0,NaN,0,0.15
0,1.1421486976406947,0,NaN,0,0.2
0,1.0628546995345618,0,NaN,0,0.25
0,1.048137290181192,0,NaN,0,0.3
0,1.06182929395955,0,NaN,0,0.35
0,1.0626170514447824,0,NaN,0,0.4
0,1.0886108949447673,0,NaN,0,0.45
0,1.1231797638136973,0,NaN,0,0.5
0,1.1017255191122053,0,NaN,0,0.55
0,0.9618982849874292,0,NaN,0,0.6
0,0.9475739103975955,0,NaN,0,0.65
0,0.943778350190087,0,NaN,0,0.7
0,0.9684354854607329,0,NaN,0,0.75
0,0.9640253628631742,0,NaN,0,0.8
0,0.9868100187815588,0,NaN,0,0.85
0,0.7787662626235572,0,NaN,0,0.9
0,0.7018314501771229,0,NaN,0,0.95
