NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,0.7149771744465584,0,NaN,0,0.05
0,0.6286731914582615,0,NaN,0,0.1
0,0.6173273323904173,0,NaN,0,0.15
0,0.6119597845793355,0,NaN,0,0.2
0,0.6131952226738794,0,NaN,0,0.25
0,0.6248909734883714,0,NaN,0,0.3
0,0.6322599032436609,0,NaN,0,0.35
0,0.6381640973729363,0,NaN,0,0.4
0,0.6433151547794023,0,NaN,0,0.45
0,0.6455962527432574,0,NaN,0,0.5
0,0.6378241858951114,0,NaN,0,0.55
0,0.6194000129472153,0,NaN,0,0.6
0,0.6212433241790168,0,NaN,0,0.65
0,0.6367821206775038,0,NaN,0,0.7
0,0.657288230760428,0,NaN,0,0.75
0,0.6597998435583766,0,NaN,0,0.8
0,0.6868599393413962,0,NaN,0,0.85
0,0.6283400301962437,0,NaN,0,0.9
0,0.5812339421008874,0,NaN,0,0.95
