NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.7417682878480276,0,NaN,0,0.05
0,2.663641126968227,0,NaN,0,0.1
0,2.451421567322946,0,NaN,0,0.15
0,3.5069122264876014,0,NaN,0,0.2
0,3.485765138596217,0,NaN,0,0.25
0,3.4887609534007495,0,NaN,0,0.3
0,3.1740105020121536,0,NaN,0,0.35
0,3.1778396382602225,0,NaN,0,0.4
0,3.182804589280338,0,NaN,0,0.45
0,2.9605930745594113,0,NaN,0,0.5
0,2.9315746016511186,0,NaN,0,0.55
0,3.102157272459877,0,NaN,0,0.6
0,2.963640475411651,0,NaN,0,0.65
0,2.8571291945650286,0,NaN,0,0.7
0,2.7658643447404017,0,NaN,0,0.75
0,2.533933818862155,0,NaN,0,0.8
0,2.195565450850383,0,NaN,0,0.85
0,1.363700408474596,0,NaN,0,0.9
0,0.7907331730103968,0,NaN,0,0.95
