NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,0.8981481186285305,0,NaN,0,0.05
0,0.8184311847048108,0,NaN,0,0.1
0,0.7981703128811591,0,NaN,0,0.15
0,0.7962142120945161,0,NaN,0,0.2
0,0.7900076148624035,0,NaN,0,0.25
0,0.8074444342501108,0,NaN,0,0.3
0,0.8111674792275272,0,NaN,0,0.35
0,0.8108964914377695,0,NaN,0,0.4
0,0.8174793425523559,0,NaN,0,0.45
0,0.8201075206804022,0,NaN,0,0.5
0,0.8242278546189753,0,NaN,0,0.55
0,0.7882819972093669,0,NaN,0,0.6
0,0.7893834620882612,0,NaN,0,0.65
0,0.8023376953028678,0,NaN,0,0.7
0,0.8191667275801856,0,NaN,0,0.75
0,0.8141850999832059,0,NaN,0,0.8
0,0.8565717320667157,0,NaN,0,0.85
0,0.7989798813427136,0,NaN,0,0.9
0,0.7603656033418654,0,NaN,0,0.95
