NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,3.202239319996142,0,NaN,0,0.05
0,2.1948236048553063,0,NaN,0,0.1
0,1.906033877202387,0,NaN,0,0.15
0,2.0180258492920773,0,NaN,0,0.2
0,1.8626885652604928,0,NaN,0,0.25
0,1.838507995658723,0,NaN,0,0.3
0,1.8359903155666335,0,NaN,0,0.35
0,1.8803199556860313,0,NaN,0,0.4
0,1.8818380052700512,0,NaN,0,0.45
0,1.9436627648208114,0,NaN,0,0.5
0,1.934628063210854,0,NaN,0,0.55
0,1.5935158510587661,0,NaN,0,0.6
0,1.578603601450302,0,NaN,0,0.65
0,1.6087840761994714,0,NaN,0,0.7
0,1.6309059339713419,0,NaN,0,0.75
0,1.5664799975494068,0,NaN,0,0.8
0,1.6578914625946717,0,NaN,0,0.85
0,1.4037419994543345,0,NaN,0,0.9
0,0.777331480792008,0,NaN,0,0.95
