NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,0.8318276986633233,0,NaN,0,0.05
0,0.7681017014199911,0,NaN,0,0.1
0,0.7980587644932743,0,NaN,0,0.15
0,0.8036211806523722,0,NaN,0,0.2
0,0.8018695553142934,0,NaN,0,0.25
0,0.8157257063343144,0,NaN,0,0.3
0,0.819945111921006,0,NaN,0,0.35
0,0.8296736458455221,0,NaN,0,0.4
0,0.8382711730072414,0,NaN,0,0.45
0,0.8444078556695134,0,NaN,0,0.5
0,0.8522101396624926,0,NaN,0,0.55
0,0.8039414172986719,0,NaN,0,0.6
0,0.7809423817700605,0,NaN,0,0.65
0,0.8004492880681375,0,NaN,0,0.7
0,0.812651327724994,0,NaN,0,0.75
0,0.7678324545519082,0,NaN,0,0.8
0,0.7768112118272472,0,NaN,0,0.85
0,0.7367316871775448,0,NaN,0,0.9
0,0.6841353197583995,0,NaN,0,0.95
