NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.154919068390154,1,Infinity,-1,0.05
0,1.8154399652029947,1,Infinity,-1,0.1
0,1.6700085746880258,0,NaN,0,0.15
0,2.5351838545003385,0,NaN,0,0.2
0,2.3024707719471187,0,NaN,0,0.25
0,2.183518216403589,0,NaN,0,0.3
0,2.192586943107004,0,NaN,0,0.35
0,2.1042203664499004,0,NaN,0,0.4
0,2.1183947566825725,0,NaN,0,0.45
0,1.9955970249601978,0,NaN,0,0.5
0,1.9602892933619822,0,NaN,0,0.55
0,2.0647767262739603,0,NaN,0,0.6
0,1.9912594897811422,0,NaN,0,0.65
0,1.9762830336941577,0,NaN,0,0.7
0,1.8627965696454085,0,NaN,0,0.75
0,1.7061996197936742,0,NaN,0,0.8
0,1.7418266728780654,0,NaN,0,0.85
0,1.4642646720342662,0,NaN,0,0.9
0,0.7969003871874001,0,NaN,0,0.95
