NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,2.890001284135273,0,NaN,0,0.05
0,2.8431394303676827,0,NaN,0,0.1
0,2.797945909715554,0,NaN,0,0.15
0,3.16411651360273,0,NaN,0,0.2
0,3.158601763268554,0,NaN,0,0.25
0,3.1662891703885507,0,NaN,0,0.3
0,3.1603226956206414,0,NaN,0,0.35
0,3.2353872881973618,0,NaN,0,0.4
0,3.238754129638454,0,NaN,0,0.45
0,3.045825761694576,0,NaN,0,0.5
0,2.9101942380873695,0,NaN,0,0.55
0,3.131700714114841,0,NaN,0,0.6
0,3.137630592562353,0,NaN,0,0.65
0,2.9489894646345216,0,NaN,0,0.7
0,2.7789270680021443,0,NaN,0,0.75
0,2.902817720037334,0,NaN,0,0.8
0,2.685219334378258,0,NaN,0,0.85
0,1.6754362510835117,0,NaN,0,0.9
0,0.6821614177137989,0,NaN,0,0.95
