NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
0,5.273307466458027,1,Infinity,-1,0.05
0,5.1516135904853595,1,Infinity,-1,0.1
0,4.941500805741242,1,Infinity,-1,0.15
0,5.602205361305353,1,Infinity,-1,0.2
0,5.2757682188627575,1,Infinity,-1,0.25
0,5.191654691554314,1,Infinity,-1,0.3
0,5.207722562043373,1,Infinity,-1,0.35
0,5.131922169296523,1,Infinity,-1,0.4
0,5.148033745461942,1,Infinity,-1,0.45
0,5.016281180183993,1,Infinity,-1,0.5
0,5.101207384822077,1,Infinity,-1,0.55
0,8.117118372280093,0,NaN,0,0.6
0,8.081757214693537,0,NaN,0,0.65
0,8.03796977310292,0,NaN,0,0.7
0,7.957729757180646,0,NaN,0,0.75
0,7.823541789987568,0,NaN,0,0.8
0,7.827406526636509,0,NaN,0,0.85
0,1.1533462891073356,0,NaN,0,0.9
0,0.6218478508373105,0,NaN,0,0.95
