NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
2,0.7059291964152881,0,0.0,2,0.01
2,0.7589373198751687,0,0.0,2,0.02
2,0.7774435722273321,0,0.0,2,0.03
2,0.832513085334537,0,0.0,2,0.04
2,0.8176636106578636,0,0.0,2,0.05
2,0.8201901964857352,0,0.0,2,0.06
2,0.8168026449602539,0,0.0,2,0.07
2,0.8067314973054929,0,0.0,2,0.08
2,0.81247093688312,0,0.0,2,0.09
2,0.811325848879558,0,0.0,2,0.1
2,0.8122420399022336,0,0.0,2,0.11
2,0.8021570301184686,0,0.0,2,0.12
2,0.8028802642820627,0,0.0,2,0.13
2,0.797423580660963,0,0.0,2,0.14
2,0.7969562589896055,0,0.0,2,0.15
2,0.792947471031196,0,0.0,2,0.16
2,0.7920245668564005,0,0.0,2,0.17
2,0.7896901072609481,0,0.0,2,0.18
2,0.7919974845238326,0,0.0,2,0.19
2,0.7921089716463234,0,0.0,2,0.2
2,0.7941869775079313,0,0.0,2,0.21
2,0.7969134829820514,0,0.0,2,0.22
2,0.7948663859705184,0,0.0,2,0.23
2,0.7960576003174492,0,0.0,2,0.24
2,0.7955776402413165,0,0.0,2,0.25
2,0.7979733769114865,0,0.0,2,0.26
2,0.798292112167488,0,0.0,2,0.27
2,0.7984672976403535,0,0.0,2,0.28
2,0.7987572797955653,0,0.0,2,0.29
2,0.7987925666977137,0,0.0,2,0.3
2,0.8004388412202996,0,0.0,2,0.31
2,0.8005416355347557,0,0.0,2,0.32
2,0.8020989312712492,0,0.0,2,0.33
2,0.8032227866385833,0,0.0,2,0.34
2,0.8034137273919606,0,0.0,2,0.35
2,0.8062988330378127,0,0.0,2,0.36
2,0.8075364491790922,0,0.0,2,0.37
2,0.8086989939541624,0,0.0,2,0.38
2,0.8113172490756628,0,0.0,2,0.39
2,0.813327886706998,0,0.0,2,0.4
2,0.8171642599331694,0,0.0,2,0.41
2,0.817942511330692,0,0.0,2,0.42
2,0.8208144544446203,0,0.0,2,0.43
2,0.8210489002332084,0,0.0,2,0.44
2,0.8238635391746525,0,0.0,2,0.45
2,0.82577086760185,0,0.0,2,0.46
2,0.8287932078020541,0,0.0,2,0.47
2,0.8265528104927922,0,0.0,2,0.48
2,0.8300289653711685,0,0.0,2,0.49
2,0.8334217791329965,0,0.0,2,0.5
2,0.8361869213152124,0,0.0,2,0.51
2,0.8399817203331634,0,0.0,2,0.52
2,0.8400273543558565,0,0.0,2,0.53
2,0.8425515009521083,0,0.0,2,0.54
2,0.8429842075398464,0,0.0,2,0.55
2,0.8427171500920527,0,0.0,2,0.56
2,0.8494197396951886,0,0.0,2,0.57
2,0.8558817537820931,0,0.0,2,0.58
2,0.8563049739052291,0,0.0,2,0.59
2,0.8629151539429467,0,0.0,2,0.6
2,0.8671860642690261,0,0.0,2,0.61
2,0.8724834297846382,0,0.0,2,0.62
2,0.8790832177481442,0,0.0,2,0.63
2,0.8813434032926073,0,0.0,2,0.64
2,0.887439023226914,0,0.0,2,0.65
2,0.8790149725353589,0,0.0,2,0.66
2,0.8868599264772168,0,0.0,2,0.67
2,0.8962938388237529,0,0.0,2,0.68
2,0.905767122563377,0,0.0,2,0.69
2,0.9102866421015003,0,0.0,2,0.7
2,0.8770289641454101,0,0.0,2,0.71
2,0.8861763655378112,0,0.0,2,0.72
2,0.8917066343504866,0,0.0,2,0.73
2,0.8948024549379159,0,0.0,2,0.74
2,0.8980406338170217,0,0.0,2,0.75
2,0.8509180481099516,0,0.0,2,0.76
2,0.8638713210785947,0,0.0,2,0.77
2,0.8681998620501366,0,0.0,2,0.78
2,0.8562710072574358,0,0.0,2,0.79
2,0.866602411740008,0,0.0,2,0.8
2,0.8409773402717915,0,0.0,2,0.81
2,0.8484321310904717,0,0.0,2,0.82
2,0.8428176596469485,0,0.0,2,0.83
2,0.8523285808662886,0,0.0,2,0.84
2,0.8059111441108369,0,0.0,2,0.85
2,0.781798578882527,0,0.0,2,0.86
2,0.78535967566797,0,0.0,2,0.87
2,0.7918399290011857,0,0.0,2,0.88
2,0.795938502046286,0,0.0,2,0.89
2,0.8148493218727089,0,0.0,2,0.9
2,0.8316336649390486,0,0.0,2,0.91
2,0.850222960649601,0,0.0,2,0.92
2,0.7532357828327091,0,0.0,2,0.93
2,0.7672053012695251,0,0.0,2,0.94
2,0.7972256050382046,0,0.0,2,0.95
2,0.8091329769486446,0,0.0,2,0.96
2,0.6979285270200694,0,0.0,2,0.97
2,0.7456918257297247,0,0.0,2,0.98
2,0.6114142982649352,0,0.0,2,0.99
