NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, trainingPercentaje
2,0.9024310104093539,1,0.5,1,0.05
2,0.41737840503830215,0,0.0,2,0.1
2,0.40257698551729865,0,0.0,2,0.15
2,0.4069868790903064,0,0.0,2,0.2
2,0.3976666212348403,0,0.0,2,0.25
2,0.3932282264601835,0,0.0,2,0.3
2,0.3895917682853845,0,0.0,2,0.35
2,0.38883357929390694,0,0.0,2,0.4
2,0.3876074791865796,0,0.0,2,0.45
2,0.38859063985948883,0,0.0,2,0.5
2,0.3901080594017091,0,0.0,2,0.55
2,0.39344114843885836,0,0.0,2,0.6
2,0.3980953356019067,0,0.0,2,0.65
2,0.39298576662452006,0,0.0,2,0.7
2,0.40019220627525615,0,0.0,2,0.75
2,0.3772845953002611,0,0.0,2,0.8
2,0.35963263072178875,0,0.0,2,0.85
2,0.3611884324135256,0,0.0,2,0.9
2,0.33038935566576694,0,0.0,2,0.95
