NumberOfGroups, ComputingTime
2 , 67.273
4 , 62.284
6 , 62.039
8 , 61.237
10 , 63.59
12 , 63.562
14 , 61.448
16 , 61.294
18 , 63.183
20 , 61.103
22 , 59.752
24 , 61.163
26 , 60.215
28 , 59.874
30 , 60.185
32 , 61.133
34 , 59.688
36 , 60.324
38 , 60.094
40 , 60.185
42 , 61.089
44 , 57.957
46 , 58.76
48 , 59.876
50 , 61.36
52 , 58.658
54 , 59.356
56 , 59.504
58 , 58.093
60 , 55.517
62 , 59.182
64 , 60.881
66 , 57.236
68 , 58.767
70 , 58.063
72 , 56.691
74 , 58.314
76 , 57.847
78 , 58.455
80 , 59.132
82 , 56.65
84 , 57.685
86 , 58.374
88 , 56.893
90 , 60.218
92 , 57.853
94 , 58.08
96 , 56.758
98 , 57.673
100 , 59.557
102 , 56.674
104 , 59.921
106 , 56.54
108 , 57.157
110 , 56.067
112 , 56.218
114 , 55.042
116 , 55.509
118 , 56.877
120 , 56.401
122 , 55.721
124 , 56.281
126 , 55.499
128 , 56.86
130 , 57.234
132 , 56.689
134 , 55.689
136 , 55.72
138 , 56.426
140 , 56.55
142 , 55.58
144 , 55.073
146 , 56.12
148 , 55.858
150 , 54.059
152 , 54.362
154 , 55.451
156 , 53.68
158 , 52.823
160 , 54.955
162 , 52.97
164 , 52.943
166 , 53.007
168 , 53.895
170 , 52.438
172 , 53.524
174 , 52.24
176 , 54.59
178 , 52.837
180 , 53.531
182 , 52.074
184 , 54.503
186 , 52.15
188 , 53.792
190 , 52.481
192 , 52.711
194 , 51.036
196 , 52.658
198 , 51.553
200 , 52.575
