NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.39466682066414027,0,0.0,2
3,15.588829534986402,1,0.3333333333333333,2
4,11.69165711130351,1,0.25,3
5,9.753349648460842,2,0.4,3
6,8.127814738019044,2,0.3333333333333333,4
7,6.966675086364328,2,0.2857142857142857,5
8,6.720659659648446,3,0.375,5
9,6.196155163610551,4,0.4444444444444444,5
10,5.576492883527949,4,0.4,6
11,5.069551762244529,4,0.36363636363636365,7
12,6.145886312640241,4,0.3333333333333333,8
13,5.826980409190876,5,0.38461538461538464,8
14,5.696414809509575,6,0.42857142857142855,8
15,6.9158924122186,7,0.4666666666666667,8
16,6.546158304894891,8,0.5,8
17,6.2199223368992484,9,0.5294117647058824,8
18,5.874361887839083,9,0.5,9
19,5.88086934668167,10,0.5263157894736842,9
20,5.736804736299969,11,0.55,9
21,5.51125651314364,12,0.5714285714285714,9
22,5.306206046884977,13,0.5909090909090909,9
23,5.075507551326914,13,0.5652173913043478,10
24,4.864051779711747,13,0.5416666666666666,11
25,4.669495356037152,13,0.52,12
26,4.528366546217466,14,0.5384615384615384,12
27,4.397691728020093,15,0.5555555555555556,12
28,4.526345594876518,16,0.5714285714285714,12
29,4.404752526408196,17,0.5862068965517241,12
30,4.291265667659469,18,0.6,12
31,4.15283774289626,18,0.5806451612903226,13
32,4.0230467805940435,18,0.5625,14
33,3.9617454708810254,19,0.5757575757575758,14
34,3.8746396402292342,20,0.5882352941176471,14
35,3.7639396819157573,20,0.5714285714285714,15
36,3.659385801862542,20,0.5555555555555556,16
37,3.5604706660447905,20,0.5405405405405406,17
38,3.519397042318031,20,0.5263157894736842,18
39,3.429136015882398,20,0.5128205128205128,19
40,3.343403425464678,20,0.5,20
41,3.7007531438950756,20,0.4878048780487805,21
42,3.6126340647590456,20,0.47619047619047616,22
43,3.505363505113486,21,0.4883720930232558,22
44,3.42569928507925,21,0.4772727272727273,23
45,3.3940191588648707,22,0.4888888888888889,23
46,3.3419785407017044,23,0.5,23
47,3.313427802261283,24,0.5106382978723404,23
48,3.244400937907575,24,0.5,24
49,3.1781851693269845,24,0.4897959183673469,25
50,3.114739655131962,24,0.48,26
51,3.0732771534975054,25,0.49019607843137253,26
52,3.0141723753950505,25,0.4807692307692308,27
53,2.9950370475574077,26,0.49056603773584906,27
54,2.9580919170470854,27,0.5,27
55,2.9224930149140653,28,0.509090909090909,27
56,2.870305639647743,28,0.5,28
57,2.8199518810824737,28,0.49122807017543857,29
58,2.788576028107908,29,0.5,29
59,2.741314425921474,29,0.4915254237288136,30
60,2.6956282130076916,29,0.48333333333333334,31
61,2.6514399112096245,29,0.47540983606557374,32
62,2.6086770409611204,29,0.46774193548387094,33
63,2.5831449030822515,30,0.47619047619047616,33
64,2.2771582639715913,31,0.484375,33
65,2.2575120217214577,32,0.49230769230769234,33
66,2.2536118785868258,33,0.5,33
67,2.2199758803989624,33,0.4925373134328358,34
68,2.1873312675444003,33,0.4852941176470588,35
69,2.329467681563091,34,0.4927536231884058,35
70,2.296191608490038,34,0.4857142857142857,36
71,2.292015769923913,34,0.4788732394366197,37
72,2.260181814240189,34,0.4722222222222222,38
73,2.2292223814455077,34,0.4657534246575342,39
74,2.2126132914447014,35,0.47297297297297297,39
75,2.1964451142254386,36,0.48,39
76,2.1675483778242084,36,0.47368421052631576,40
77,2.16537373664435,37,0.4805194805194805,40
78,2.573263878070509,37,0.47435897435897434,41
79,2.540660663311731,37,0.46835443037974683,42
80,2.508900224378059,37,0.4625,43
81,2.502618575564812,38,0.4691358024691358,43
82,2.472098836838412,38,0.4634146341463415,44
83,2.4924468450559893,38,0.4578313253012048,45
84,2.4865853734388215,39,0.4642857142857143,45
85,2.4690977728998975,40,0.47058823529411764,45
86,2.440385289996367,40,0.46511627906976744,46
87,2.4238291372377883,41,0.47126436781609193,46
88,2.3962872453969983,41,0.4659090909090909,47
89,2.3806001919704314,42,0.47191011235955055,47
90,2.3540814022328456,42,0.4666666666666667,48
91,2.339202946658114,43,0.4725274725274725,48
92,2.324647937435966,44,0.4782608695652174,48
93,2.2996532230583475,44,0.4731182795698925,49
94,2.2751903127256368,44,0.46808510638297873,50
95,2.2512319100330993,44,0.4631578947368421,51
