NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
39,0.11978180877168694,3,0.07692307692307693,36
40,0.11678513235884476,3,0.075,37
41,0.11403647067313862,3,0.07317073170731707,38
42,0.11132311470757258,3,0.07142857142857142,39
43,0.10873596233117737,3,0.06976744186046512,40
44,0.10626275686599428,3,0.06818181818181818,41
45,0.10389947058155917,3,0.06666666666666667,42
46,0.1016407864384818,3,0.06521739130434782,43
47,0.09947459107982273,3,0.06382978723404255,44
48,0.09740042731637599,3,0.0625,45
49,0.09541420617740914,3,0.061224489795918366,46
50,0.09350743473453824,3,0.06,47
51,0.09167543947693221,3,0.058823529411764705,48
52,0.09167543947693221,3,0.057692307692307696,49
53,0.0899139063945938,3,0.05660377358490566,50
54,0.08818541324090716,3,0.05555555555555555,51
55,0.08655076058624354,3,0.05454545454545454,52
