NumberOfGroups, ComputingTime
2 , 0.0053
3 , 0.0035
4 , 0.0055
5 , 0.0101
6 , 0.0133
7 , 0.0155
8 , 0.0192
9 , 0.0297
10 , 0.032
11 , 0.0293
12 , 0.0382
13 , 0.0457
14 , 0.0531
15 , 0.0602
16 , 0.0602
17 , 0.0896
18 , 0.1081
19 , 0.1047
20 , 0.1029
21 , 0.0985
22 , 0.1143
23 , 0.1221
24 , 0.1265
25 , 0.1439
26 , 0.1454
27 , 0.1732
28 , 0.1661
29 , 0.1545
30 , 0.1677
31 , 0.1637
32 , 0.1695
33 , 0.1669
34 , 0.1756
35 , 0.2052
36 , 0.1667
37 , 0.1802
38 , 0.2038
39 , 0.2027
40 , 0.2592
41 , 0.2111
42 , 0.2609
43 , 0.2196
44 , 0.2112
45 , 0.2365
46 , 0.2029
47 , 0.2334
48 , 0.2567
49 , 0.2475
50 , 0.2586
51 , 0.2241
52 , 0.2563
53 , 0.2556
54 , 0.2825
55 , 0.254
56 , 0.2087
57 , 0.2918
58 , 0.2691
59 , 0.2705
60 , 0.265
61 , 0.3353
62 , 0.3202
63 , 0.3178
64 , 0.3098
65 , 0.3299
66 , 0.2635
67 , 0.3118
68 , 0.2585
69 , 0.2981
70 , 0.2966
71 , 0.2933
72 , 0.2644
73 , 0.241
74 , 0.2629
75 , 0.2429
76 , 0.2636
77 , 0.2387
78 , 0.2982
79 , 0.2645
80 , 0.2444
81 , 0.2644
82 , 0.2242
83 , 0.2443
84 , 0.238
85 , 0.2777
86 , 0.2476
87 , 0.2206
88 , 0.2297
89 , 0.2475
90 , 0.2262
91 , 0.2717
92 , 0.2531
93 , 0.2788
94 , 0.2231
95 , 0.2489
96 , 0.232
97 , 0.2516
98 , 0.2509
99 , 0.2347
100 , 0.2542
101 , 0.2349
102 , 0.2192
103 , 0.2556
104 , 0.2593
105 , 0.2949
106 , 0.2691
107 , 0.302
108 , 0.2821
109 , 0.2371
110 , 0.2078
111 , 0.3025
112 , 0.2428
113 , 0.2308
114 , 0.2374
115 , 0.285
116 , 0.2656
117 , 0.2884
118 , 0.2309
119 , 0.2614
120 , 0.2784
121 , 0.27
122 , 0.28
123 , 0.2814
124 , 0.2568
125 , 0.2865
126 , 0.3148
127 , 0.282
128 , 0.2954
129 , 0.3011
130 , 0.2678
131 , 0.3411
132 , 0.2834
133 , 0.3433
134 , 0.2661
135 , 0.284
136 , 0.3003
137 , 0.2691
138 , 0.2855
139 , 0.2618
140 , 0.2775
141 , 0.279
142 , 0.2991
143 , 0.25
144 , 0.2612
145 , 0.2773
146 , 0.3569
147 , 0.3528
148 , 0.2473
149 , 0.301
150 , 0.2984
151 , 0.3512
152 , 0.2813
153 , 0.3045
154 , 0.2814
155 , 0.3218
156 , 0.2671
157 , 0.2846
158 , 0.2618
159 , 0.2925
160 , 0.3626
161 , 0.3015
162 , 0.3121
163 , 0.2803
164 , 0.3155
165 , 0.2839
166 , 0.3223
167 , 0.3569
168 , 0.3121
169 , 0.3071
170 , 0.272
171 , 0.3042
172 , 0.2851
173 , 0.2848
174 , 0.3016
175 , 0.3138
176 , 0.3057
177 , 0.2843
178 , 0.2795
179 , 0.3486
180 , 0.3628
181 , 0.2963
182 , 0.325
183 , 0.2888
184 , 0.2531
185 , 0.2764
186 , 0.366
187 , 0.3549
188 , 0.3185
189 , 0.3383
190 , 0.3077
191 , 0.2812
192 , 0.2977
193 , 0.2663
194 , 0.2687
195 , 0.317
196 , 0.3191
197 , 0.3031
198 , 0.2202
199 , 0.2562
200 , 0.3411
201 , 0.2411
