NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.77378828330287,0,0.0,2
3,0.8462758728644552,0,0.0,3
4,0.8414072199080613,0,0.0,4
5,0.8429913805784923,0,0.0,5
6,0.881689643256606,0,0.0,6
7,0.8068478681937863,0,0.0,7
8,0.8801697149747625,0,0.0,8
9,0.9734017278048473,0,0.0,9
10,0.9625020551145017,1,0.1,9
11,1.0262931120601089,1,0.09090909090909091,10
12,0.9299262158534863,2,0.16666666666666666,10
13,1.0605402950587317,2,0.15384615384615385,11
14,0.9273533467525945,2,0.14285714285714285,12
15,0.9881716649741872,2,0.13333333333333333,13
16,1.053929058462524,2,0.125,14
17,0.9341851750801737,3,0.17647058823529413,14
18,0.8877751557537803,4,0.2222222222222222,14
19,0.8992476489161453,4,0.21052631578947367,15
20,0.8433021985818815,4,0.2,16
21,0.8078922130607424,6,0.2857142857142857,15
22,0.6630737420398598,8,0.36363636363636365,14
23,0.8340900440247742,8,0.34782608695652173,15
24,0.5974031837210649,11,0.4583333333333333,13
25,0.6432341531802007,11,0.44,14
26,0.7913218132712017,6,0.23076923076923078,20
27,0.5047705481159424,15,0.5555555555555556,12
28,0.5292137494911238,14,0.5,14
29,0.5649767211150295,15,0.5172413793103449,14
30,0.6173665724811781,13,0.43333333333333335,17
31,0.5607008723531943,15,0.4838709677419355,16
32,0.5787422683631304,14,0.4375,18
33,0.6584087303076178,12,0.36363636363636365,21
34,0.5355909274609506,19,0.5588235294117647,15
35,0.43722613735202387,24,0.6857142857142857,11
36,0.5808992682645773,17,0.4722222222222222,19
37,0.561537419440028,18,0.4864864864864865,19
38,0.5854317401356369,17,0.4473684210526316,21
39,0.39760900896012774,25,0.6410256410256411,14
40,0.4477114096920761,25,0.625,15
41,0.4998875777590006,20,0.4878048780487805,21
42,0.3772816274069976,25,0.5952380952380952,17
43,0.42199497356011956,25,0.5813953488372093,18
44,0.47553818711971874,23,0.5227272727272727,21
45,0.4427482321428657,26,0.5777777777777777,19
46,0.3459317454287787,31,0.6739130434782609,15
47,0.36907212703615494,30,0.6382978723404256,17
48,0.5358922442748961,24,0.5,24
49,0.4800718981949131,33,0.673469387755102,16
50,0.7112361350133967,24,0.48,26
51,0.44037245463022534,28,0.5490196078431373,23
52,0.479903320004073,28,0.5384615384615384,24
53,0.41234939783938007,31,0.5849056603773585,22
54,0.3412124092052051,39,0.7222222222222222,15
55,0.4743684179938568,30,0.5454545454545454,25
56,0.4054125426241816,35,0.625,21
57,0.34287889331714594,35,0.6140350877192983,22
58,0.35603586255418485,38,0.6551724137931034,20
59,0.3386406733714633,38,0.6440677966101694,21
60,0.3450309452685363,44,0.7333333333333333,16
61,0.39050515241007977,41,0.6721311475409836,20
62,0.3395867836200217,46,0.7419354838709677,16
63,0.3091872158785985,38,0.6031746031746031,25
64,0.4088606521030788,38,0.59375,26
65,0.3987973353261449,38,0.5846153846153846,27
66,0.39876490328513714,43,0.6515151515151515,23
67,0.32139665690728336,47,0.7014925373134329,20
68,0.3668410040100387,42,0.6176470588235294,26
69,0.30098002951073555,49,0.7101449275362319,20
70,0.3206059373647847,48,0.6857142857142857,22
71,0.34551223543465187,46,0.647887323943662,25
72,0.3632852344725809,50,0.6944444444444444,22
73,0.37538852108748516,50,0.684931506849315,23
74,0.38432914179210614,51,0.6891891891891891,23
75,0.4169685962702306,52,0.6933333333333334,23
76,0.36696999806823716,55,0.7236842105263158,21
77,0.4018702638770897,56,0.7272727272727273,21
78,0.3297608101491231,57,0.7307692307692307,21
79,0.3449198854160672,52,0.6582278481012658,27
80,0.3516639212145352,57,0.7125,23
81,0.2668992646967745,56,0.691358024691358,25
82,0.30695542363901,55,0.6707317073170732,27
83,0.44885969304553,59,0.7108433734939759,24
84,0.2444411601178393,65,0.7738095238095238,19
85,0.2240884142637728,66,0.7764705882352941,19
86,0.3161321287368779,59,0.686046511627907,27
87,0.3760643122653342,65,0.7471264367816092,22
88,0.3402320846484727,63,0.7159090909090909,25
89,0.39078225799466504,52,0.5842696629213483,37
90,0.33365939267378986,63,0.7,27
91,0.3151644282989935,58,0.6373626373626373,33
92,0.3998210223428535,58,0.6304347826086957,34
93,0.40936504695795733,72,0.7741935483870968,21
94,0.3154422700613971,71,0.7553191489361702,23
95,0.30054698220479165,71,0.7473684210526316,24
96,0.35990960875629513,66,0.6875,30
97,0.2906690342232204,77,0.7938144329896907,20
98,0.30581114549996335,70,0.7142857142857143,28
99,0.3581133571902786,62,0.6262626262626263,37
100,0.27048721525134245,74,0.74,26
101,0.32532866154064666,76,0.7524752475247525,25
102,0.24733351519891994,80,0.7843137254901961,22
103,0.3617319336483057,80,0.7766990291262136,23
104,0.25732035609702875,82,0.7884615384615384,22
105,0.345499701863444,68,0.6476190476190476,37
106,0.3265494537828582,70,0.660377358490566,36
107,0.29170084790535966,79,0.7383177570093458,28
108,0.36040257894419625,73,0.6759259259259259,35
109,0.3243233048763721,86,0.7889908256880734,23
110,0.28418992419753497,85,0.7727272727272727,25
111,0.26193196714305056,90,0.8108108108108109,21
112,0.3030099305218966,82,0.7321428571428571,30
113,0.3425973331111535,86,0.7610619469026548,27
114,0.2868617445475916,89,0.7807017543859649,25
115,0.27148297888476636,90,0.782608695652174,25
116,0.3511931005706292,91,0.7844827586206896,25
117,0.2622751685266044,88,0.7521367521367521,29
118,0.30765131679390656,87,0.7372881355932204,31
119,0.3092445436350003,91,0.7647058823529411,28
120,0.26285171048006406,98,0.8166666666666667,22
121,0.3053233429110113,87,0.71900826446281,34
122,0.2825309181890864,95,0.7786885245901639,27
123,0.2534517402474169,95,0.7723577235772358,28
124,0.24000463371633562,90,0.7258064516129032,34
125,0.3270891537794686,100,0.8,25
126,0.2810744435591726,101,0.8015873015873016,25
127,0.2885691248011332,93,0.7322834645669292,34
128,0.2648153541194524,100,0.78125,28
129,0.23929569077050722,103,0.7984496124031008,26
130,0.25801278019593543,105,0.8076923076923077,25
131,0.23172889860770382,108,0.8244274809160306,23
132,0.25601648447261793,99,0.75,33
133,0.2745167532618112,96,0.7218045112781954,37
134,0.2783528220291368,103,0.7686567164179104,31
135,0.3246080920571353,107,0.7925925925925926,28
136,0.2235359066539616,110,0.8088235294117647,26
137,0.2636492577335981,106,0.7737226277372263,31
138,0.2436477829016389,101,0.7318840579710145,37
139,0.2568010779578196,99,0.7122302158273381,40
140,0.28481641732514557,109,0.7785714285714286,31
