NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,4.768295981793689,0,0.0,2
3,5.973845019713695,0,0.0,3
4,5.927401339400655,0,0.0,4
5,5.287738289233189,0,0.0,5
6,4.766567855976049,0,0.0,6
7,4.335424920612293,0,0.0,7
8,3.9962855491610547,0,0.0,8
9,3.7601038502369866,0,0.0,9
10,3.5215941784829283,0,0.0,10
11,3.2806506957090984,0,0.0,11
12,3.1130878205014576,0,0.0,12
13,2.924921965361468,0,0.0,13
14,2.746059497796753,0,0.0,14
15,2.5997272714649755,0,0.0,15
16,2.518485794231695,0,0.0,16
17,2.523264704657182,0,0.0,17
18,2.2660000267517937,2,0.1111111111111111,16
19,2.1486232794591285,3,0.15789473684210525,16
20,2.3743219963961684,1,0.05,19
21,2.0890665574272123,3,0.14285714285714285,18
22,1.825129332530453,6,0.2727272727272727,16
23,1.8039765508384356,6,0.2608695652173913,17
24,1.853584014722052,6,0.25,18
25,1.6099941444751844,9,0.36,16
26,1.5683677724353362,9,0.34615384615384615,17
27,1.5275512357437462,10,0.37037037037037035,17
28,1.6050442950023345,9,0.32142857142857145,19
29,1.4062409652414705,12,0.41379310344827586,17
30,1.4404444991581014,12,0.4,18
31,1.3313081061363836,13,0.41935483870967744,18
32,1.2752259573436822,15,0.46875,17
33,1.2713241836668998,15,0.45454545454545453,18
34,1.230979282201797,15,0.4411764705882353,19
35,1.198620757228361,17,0.4857142857142857,18
36,1.1366032057335924,18,0.5,18
37,1.1494592526259755,17,0.4594594594594595,20
38,1.2350362345662003,16,0.42105263157894735,22
39,1.095393041935596,19,0.48717948717948717,20
40,1.0469446833388685,21,0.525,19
41,1.0308284629739708,22,0.5365853658536586,19
42,1.0310688952297087,22,0.5238095238095238,20
43,1.0382658503128883,20,0.46511627906976744,23
44,1.0193800091495546,22,0.5,22
45,1.0536102248048254,20,0.4444444444444444,25
46,0.9812886481688836,23,0.5,23
47,0.9702821162143795,23,0.48936170212765956,24
48,0.8773780431955568,28,0.5833333333333334,20
49,0.9244677556365084,26,0.5306122448979592,23
50,0.909825061978971,26,0.52,24
51,0.880256845822401,28,0.5490196078431373,23
52,0.8458554615337733,30,0.5769230769230769,22
53,0.896008354909485,27,0.5094339622641509,26
54,1.0666995467746883,30,0.5555555555555556,24
55,0.9289302110169912,26,0.4727272727272727,29
56,0.8636892511239734,29,0.5178571428571429,27
57,0.8352255235762749,31,0.543859649122807,26
58,0.8166278464274298,32,0.5517241379310345,26
59,0.8237667538779732,31,0.5254237288135594,28
60,0.8271813672577972,32,0.5333333333333333,28
61,0.8227643835592792,32,0.5245901639344263,29
62,0.8221184061139237,33,0.532258064516129,29
63,0.7755119730428541,37,0.5873015873015873,26
64,0.8073867868938606,34,0.53125,30
65,0.8056919552052111,37,0.5692307692307692,28
66,0.7266297156497213,40,0.6060606060606061,26
67,0.793351509128374,35,0.5223880597014925,32
68,0.7181504912161951,41,0.6029411764705882,27
69,0.7265536863068162,41,0.5942028985507246,28
70,0.7576418586445046,38,0.5428571428571428,32
71,0.7349671992264344,40,0.5633802816901409,31
72,0.7150305526107106,43,0.5972222222222222,29
73,0.7003519030477068,43,0.589041095890411,30
74,0.739539529873998,40,0.5405405405405406,34
75,0.7402722308427643,40,0.5333333333333333,35
76,0.6916119740809974,45,0.5921052631578947,31
77,0.6692618109576394,46,0.5974025974025974,31
78,0.6446579228013583,50,0.6410256410256411,28
79,0.6785925990915358,47,0.5949367088607594,32
80,0.6475166504359623,48,0.6,32
81,0.6842738135053208,46,0.5679012345679012,35
82,0.6926651235935051,46,0.5609756097560976,36
83,0.6655199762169979,49,0.5903614457831325,34
84,0.7021512701757101,50,0.5952380952380952,34
85,0.6302345846995634,52,0.611764705882353,33
86,0.979786543602019,48,0.5581395348837209,38
87,0.6272243449398309,55,0.632183908045977,32
88,0.6194321667838749,53,0.6022727272727273,35
89,0.6019882533722056,55,0.6179775280898876,34
90,0.6620790335605008,53,0.5888888888888889,37
91,0.635642293034154,56,0.6153846153846154,35
92,0.6035383236291091,56,0.6086956521739131,36
93,0.6448364569189475,56,0.6021505376344086,37
94,0.5981802059233139,60,0.6382978723404256,34
95,0.6329804723333914,56,0.5894736842105263,39
96,0.5794621852537091,60,0.625,36
97,0.6246796569134974,60,0.6185567010309279,37
98,0.7288690078824236,59,0.6020408163265306,39
99,0.7158411942116499,55,0.5555555555555556,44
100,0.7062090688505025,63,0.63,37
101,0.6002446808309199,62,0.6138613861386139,39
102,0.5963635509678318,65,0.6372549019607843,37
103,0.6286437486947416,60,0.5825242718446602,43
104,0.5817654588774859,65,0.625,39
105,0.6184066557798396,66,0.6285714285714286,39
106,0.6032250509811298,64,0.6037735849056604,42
107,0.5955890754115912,65,0.6074766355140186,42
108,0.636595377897949,64,0.5925925925925926,44
109,0.6355875305201846,68,0.6238532110091743,41
110,0.5557062216330252,70,0.6363636363636364,40
111,0.5564754478812641,70,0.6306306306306306,41
112,0.527712359195557,73,0.6517857142857143,39
113,0.6570588707963838,74,0.6548672566371682,39
114,0.6469835652245468,73,0.6403508771929824,41
115,0.7387009870951136,70,0.6086956521739131,45
116,0.553169857169521,76,0.6551724137931034,40
117,0.5346057623923899,78,0.6666666666666666,39
118,0.6361364771489731,71,0.6016949152542372,47
119,0.6044814940124243,73,0.6134453781512605,46
120,0.5841068167763772,76,0.6333333333333333,44
121,0.5529825356845853,77,0.6363636363636364,44
122,0.5515793203809255,78,0.639344262295082,44
123,0.6085519317316259,77,0.6260162601626016,46
124,0.5810781262612958,80,0.6451612903225806,44
125,0.48680169557310615,82,0.656,43
126,0.576401482113968,81,0.6428571428571429,45
127,0.5375807673746735,84,0.6614173228346457,43
128,0.5831162258743959,83,0.6484375,45
129,0.5375034286581494,86,0.6666666666666666,43
130,0.5371348279818311,82,0.6307692307692307,48
131,0.5394587335498491,85,0.648854961832061,46
132,0.5772932954492668,88,0.6666666666666666,44
133,0.5213482356269514,88,0.6616541353383458,45
134,0.530931482235004,90,0.6716417910447762,44
135,0.5396836375722462,89,0.6592592592592592,46
136,0.5447091255008378,89,0.6544117647058824,47
137,0.7432270724085648,89,0.6496350364963503,48
138,0.5242763464125831,94,0.6811594202898551,44
139,0.5279055306721843,94,0.6762589928057554,45
140,0.5081295348785259,92,0.6571428571428571,48
141,0.6698229273218903,91,0.6453900709219859,50
142,0.4929234160328006,96,0.676056338028169,46
143,0.514996534662583,96,0.6713286713286714,47
144,0.5043650406592538,96,0.6666666666666666,48
145,0.5216599322229521,96,0.6620689655172414,49
