NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.762226980653482,0,0.0,2
3,0.7695055994187229,0,0.0,3
4,0.8702371862753152,0,0.0,4
5,0.8776444407700271,0,0.0,5
6,0.8976139336917135,0,0.0,6
7,0.9013668971406996,0,0.0,7
8,0.9977435599475863,0,0.0,8
9,0.9212185971578678,0,0.0,9
10,1.002705463245379,0,0.0,10
11,0.917020038131285,0,0.0,11
12,0.848583492098922,1,0.08333333333333333,11
13,0.8699330758800523,0,0.0,13
14,0.7763681695600904,2,0.14285714285714285,12
15,0.8755775758344848,0,0.0,15
16,0.7342193194310356,3,0.1875,13
17,0.6903505226353178,3,0.17647058823529413,14
18,0.8192843419797249,1,0.05555555555555555,17
19,0.6432460456285207,5,0.2631578947368421,14
20,0.5775729222406978,7,0.35,13
21,0.6481853380525443,5,0.23809523809523808,16
22,0.6176899003609454,6,0.2727272727272727,16
23,0.5729926971767443,7,0.30434782608695654,16
24,0.5558866083732947,9,0.375,15
25,0.5378468558417768,9,0.36,16
26,0.49735771169018395,10,0.38461538461538464,16
27,0.5531387746986851,9,0.3333333333333333,18
28,0.47373746260596195,12,0.42857142857142855,16
29,0.5083387650979527,11,0.3793103448275862,18
30,0.515942699814456,10,0.3333333333333333,20
31,0.5398169850201415,10,0.3225806451612903,21
32,0.5490615216720638,10,0.3125,22
33,0.5263793915436121,12,0.36363636363636365,21
34,0.5116556262250238,12,0.35294117647058826,22
35,0.4621575702905256,15,0.42857142857142855,20
36,0.4794718662430151,15,0.4166666666666667,21
37,0.500520068749468,14,0.3783783783783784,23
38,0.43357633802707346,17,0.4473684210526316,21
39,0.4826378839594622,17,0.4358974358974359,22
40,0.47561217895423114,16,0.4,24
41,0.5035769131232418,15,0.36585365853658536,26
42,0.4311022233303032,19,0.4523809523809524,23
43,0.49054099233658993,17,0.3953488372093023,26
44,0.4001618428606113,22,0.5,22
45,0.4126934380247258,21,0.4666666666666667,24
46,0.4379910463392717,21,0.45652173913043476,25
47,0.43713230324214203,21,0.44680851063829785,26
48,0.43592816552838476,22,0.4583333333333333,26
49,0.47752865101605513,20,0.40816326530612246,29
50,0.4209577642803907,23,0.46,27
51,0.42606869325019936,23,0.45098039215686275,28
52,0.4575825943119819,21,0.40384615384615385,31
53,0.3976584630135368,27,0.5094339622641509,26
54,0.43191545872518533,24,0.4444444444444444,30
55,0.42002835289425555,26,0.4727272727272727,29
56,0.4499617030828758,24,0.42857142857142855,32
57,0.4192220176677237,26,0.45614035087719296,31
58,0.410396389758385,28,0.4827586206896552,30
59,0.4166042729217965,29,0.4915254237288136,30
60,0.4513247498460202,26,0.43333333333333335,34
61,0.34232206029473417,33,0.5409836065573771,28
62,0.4220100475050235,29,0.46774193548387094,33
63,0.42185256351438477,27,0.42857142857142855,36
64,0.41467462479759576,30,0.46875,34
65,0.42664655199574597,31,0.47692307692307695,34
66,0.4107982632770153,34,0.5151515151515151,32
67,0.37860580337151184,34,0.5074626865671642,33
68,0.3539943202686369,34,0.5,34
69,0.4056216568333214,34,0.4927536231884058,35
70,0.37148910462652834,35,0.5,35
71,0.4010510365626019,35,0.49295774647887325,36
72,0.4390375366808156,33,0.4583333333333333,39
73,0.40311841477845795,36,0.4931506849315068,37
74,0.4145709754615884,33,0.44594594594594594,41
75,0.4048029464852485,36,0.48,39
76,0.4157893784285639,36,0.47368421052631576,40
77,0.3825482245291074,40,0.5194805194805194,37
78,0.4181364583238383,36,0.46153846153846156,42
79,0.4010241430018635,40,0.5063291139240507,39
80,0.3970323465262292,39,0.4875,41
81,0.39754059890198623,41,0.5061728395061729,40
82,0.3917131212979382,40,0.4878048780487805,42
83,0.38513763944097423,41,0.4939759036144578,42
84,0.39617007936688864,41,0.4880952380952381,43
85,0.4118289284044764,41,0.4823529411764706,44
86,0.406226853885537,42,0.4883720930232558,44
87,0.4179291114462831,43,0.4942528735632184,44
88,0.36872752120061975,46,0.5227272727272727,42
89,0.36501415409421645,47,0.5280898876404494,42
90,0.37279449046165164,46,0.5111111111111111,44
91,0.3717094130414348,46,0.5054945054945055,45
92,0.3536590921001114,51,0.5543478260869565,41
93,0.39799269433859646,45,0.4838709677419355,48
94,0.4673878419509838,44,0.46808510638297873,50
95,0.4090103062814363,49,0.5157894736842106,46
96,0.3972031832370372,47,0.4895833333333333,49
97,0.36896179515428085,54,0.5567010309278351,43
98,0.3435437484727748,55,0.5612244897959183,43
99,0.4008312826897005,53,0.5353535353535354,46
100,0.3393820931554844,55,0.55,45
101,0.36430992518344146,56,0.5544554455445545,45
102,0.4121215349250747,51,0.5,51
103,0.36371114142053074,57,0.5533980582524272,46
104,0.3522521399691093,58,0.5576923076923077,46
105,0.3377168584252923,58,0.5523809523809524,47
106,0.3795907147682986,54,0.5094339622641509,52
107,0.3754755108319298,59,0.5514018691588785,48
108,0.36639803571502555,60,0.5555555555555556,48
109,0.3785223541052796,59,0.5412844036697247,50
110,0.3852933131327603,58,0.5272727272727272,52
111,0.38690132895684637,56,0.5045045045045045,55
112,0.3795647871708612,60,0.5357142857142857,52
113,0.3769405208737935,60,0.5309734513274337,53
114,0.3647345731408798,61,0.5350877192982456,53
115,0.3549315642084981,64,0.5565217391304348,51
116,0.3306724585440304,66,0.5689655172413793,50
117,0.33863007825944946,64,0.5470085470085471,53
118,0.38097099628584624,63,0.5338983050847458,55
