NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.7330362182415193,0,0.0,2
3,2.1916748604388703,0,0.0,3
4,2.1281418777497665,0,0.0,4
5,3.9921569956997773,0,0.0,5
6,3.337819768809615,0,0.0,6
7,2.959335758180769,0,0.0,7
8,3.6306035888060437,0,0.0,8
9,3.29523109712583,0,0.0,9
10,3.175833788918161,0,0.0,10
11,2.8412935867114824,0,0.0,11
12,2.684249803083079,0,0.0,12
13,2.637690738633356,0,0.0,13
14,2.4575320186495273,0,0.0,14
15,2.4904488628840302,0,0.0,15
16,2.2037129883762017,1,0.0625,15
17,2.0790233522074613,2,0.11764705882352941,15
18,2.038150040585598,1,0.05555555555555555,17
19,2.034701168378187,2,0.10526315789473684,17
20,1.9989059196862948,2,0.1,18
21,1.7956459234195457,4,0.19047619047619047,17
22,1.7653744895317476,2,0.09090909090909091,20
23,1.7513066004957905,2,0.08695652173913043,21
24,1.666864684483387,3,0.125,21
25,1.6295766205706106,5,0.2,20
26,1.5028082295626086,5,0.19230769230769232,21
27,1.566110039170858,2,0.07407407407407407,25
28,1.4354755232774816,5,0.17857142857142858,23
29,1.4177104571916868,5,0.1724137931034483,24
30,1.3237649859791212,7,0.23333333333333334,23
31,1.2996508349375158,8,0.25806451612903225,23
32,1.2606223619930803,8,0.25,24
33,1.3160917055862904,6,0.18181818181818182,27
34,1.2835491271579627,8,0.23529411764705882,26
35,1.2560194928944242,7,0.2,28
36,1.1746934325719804,10,0.2777777777777778,26
37,1.2314043110567954,9,0.24324324324324326,28
38,1.1955511509825354,10,0.2631578947368421,28
39,1.0752727900633268,12,0.3076923076923077,27
40,1.1570603171806524,9,0.225,31
41,1.136572298166699,11,0.2682926829268293,30
42,1.065703125626086,13,0.30952380952380953,29
43,1.0533078357495405,14,0.32558139534883723,29
44,1.1038117911257348,12,0.2727272727272727,32
45,1.026913503714539,14,0.3111111111111111,31
46,1.0608950523739664,13,0.2826086956521739,33
47,1.0267901628418648,15,0.3191489361702128,32
48,0.9799878187969983,16,0.3333333333333333,32
49,0.9762580672204612,16,0.32653061224489793,33
50,0.9474224945467988,17,0.34,33
51,0.9595357916639516,17,0.3333333333333333,34
52,0.9524058909276654,17,0.3269230769230769,35
53,0.9261203859120043,19,0.3584905660377358,34
54,0.962595561635615,17,0.3148148148148148,37
55,0.8675013998754256,22,0.4,33
56,0.8866899412071924,21,0.375,35
57,0.8886397983942351,20,0.3508771929824561,37
58,0.8657588486311903,23,0.39655172413793105,35
59,0.8575050034160951,23,0.3898305084745763,36
60,0.8666094534102795,22,0.36666666666666664,38
61,0.8505449926567731,24,0.39344262295081966,37
62,0.8425848915616654,23,0.3709677419354839,39
63,0.8165553764895184,25,0.3968253968253968,38
64,0.8257786361020938,25,0.390625,39
65,0.8506480923707467,25,0.38461538461538464,40
66,0.785740817001674,29,0.4393939393939394,37
67,0.7836439666784605,27,0.40298507462686567,40
68,0.754277335248073,32,0.47058823529411764,36
69,0.756919964042159,30,0.43478260869565216,39
70,0.739117875782725,31,0.44285714285714284,39
71,0.7916489187637952,28,0.39436619718309857,43
72,0.754274292194598,30,0.4166666666666667,42
73,0.7655588213213425,31,0.4246575342465753,42
74,0.7947101447999873,29,0.3918918918918919,45
75,0.7152343194666849,34,0.4533333333333333,41
76,0.7439834150011071,35,0.4605263157894737,41
77,0.8487116516879081,35,0.45454545454545453,42
78,0.7363325009705021,34,0.4358974358974359,44
79,0.7070107582471769,36,0.45569620253164556,43
80,0.7651529372097503,31,0.3875,49
81,0.6881201795086325,38,0.4691358024691358,43
82,0.712003261878589,36,0.43902439024390244,46
83,0.6568184943107473,40,0.4819277108433735,43
84,0.7147750736983949,36,0.42857142857142855,48
85,0.68165254879658,38,0.4470588235294118,47
86,0.667529742152766,41,0.47674418604651164,45
