NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.9023757159646668,0,0.0,2
3,0.8908516900449821,0,0.0,3
4,0.8011765590626311,0,0.0,4
5,0.8804062717710592,0,0.0,5
6,0.8294863051212548,0,0.0,6
7,0.8512097336458603,0,0.0,7
8,0.8731847628388087,0,0.0,8
9,0.8434881058745921,0,0.0,9
10,0.8250470082536074,0,0.0,10
11,0.8562824698002445,0,0.0,11
12,0.8372730026868532,0,0.0,12
13,0.8558283401081479,0,0.0,13
14,0.8620269245221504,0,0.0,14
15,0.8945467200357123,0,0.0,15
16,0.8770461480277911,0,0.0,16
17,0.8447827814954827,0,0.0,17
18,0.8280451250758218,0,0.0,18
19,0.8463031682161469,0,0.0,19
20,0.7905131509862551,0,0.0,20
21,0.7834153729358901,0,0.0,21
22,0.7951279245705487,0,0.0,22
23,0.7697525739287008,0,0.0,23
24,0.7750487613458374,0,0.0,24
25,0.7489215205382944,1,0.04,24
26,0.7307249332785,0,0.0,26
27,0.736018018687462,0,0.0,27
28,0.725088269637165,0,0.0,28
29,0.7321201889380378,0,0.0,29
30,0.7152218431523045,1,0.03333333333333333,29
31,0.7392970712611908,1,0.03225806451612903,30
32,0.6968363970895741,0,0.0,32
33,0.7168430645917471,1,0.030303030303030304,32
34,0.7151161010772151,2,0.058823529411764705,32
35,0.6599354058640965,2,0.05714285714285714,33
36,0.6241642888328086,4,0.1111111111111111,32
37,0.679355246867609,3,0.08108108108108109,34
38,0.6996299036933202,2,0.05263157894736842,36
39,0.6124263990417268,5,0.1282051282051282,34
40,0.6627294786411693,4,0.1,36
41,0.6627393646868349,3,0.07317073170731707,38
42,0.673883099819301,2,0.047619047619047616,40
43,0.6607226128909608,3,0.06976744186046512,40
44,0.6435801301009447,5,0.11363636363636363,39
45,0.6553378630179815,3,0.06666666666666667,42
46,0.665904332744445,4,0.08695652173913043,42
47,0.6678278185342503,4,0.0851063829787234,43
48,0.674229067080887,4,0.08333333333333333,44
49,0.784189155578324,2,0.04081632653061224,47
50,0.6260503610003925,5,0.1,45
51,0.6414327407089496,6,0.11764705882352941,45
52,0.6861105827146966,4,0.07692307692307693,48
53,0.6527688774667403,7,0.1320754716981132,46
54,0.6815597072676463,6,0.1111111111111111,48
55,0.6692263332191402,6,0.10909090909090909,49
56,0.7011767910358917,4,0.07142857142857142,52
57,0.6725611850904616,7,0.12280701754385964,50
58,0.7062307442535379,4,0.06896551724137931,54
59,0.6419547974945975,7,0.11864406779661017,52
60,0.6909585051392471,6,0.1,54
61,0.6957876767631967,6,0.09836065573770492,55
62,0.6576983710071795,7,0.11290322580645161,55
63,0.7026231779929271,6,0.09523809523809523,57
64,0.6280636580784331,9,0.140625,55
