NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.1052821421410106,0,0.0,2
3,1.1441391994686123,0,0.0,3
4,0.9752613032368566,0,0.0,4
5,0.9782062605642339,0,0.0,5
6,0.9033854681494345,0,0.0,6
7,0.8360608362358807,0,0.0,7
8,0.7948296170492366,0,0.0,8
9,0.7385314679113578,0,0.0,9
10,0.691538371828302,0,0.0,10
11,0.7196830948212596,0,0.0,11
12,0.7184159369059403,0,0.0,12
13,0.7614532680544377,0,0.0,13
14,0.7419173574947439,0,0.0,14
15,0.6423672118667134,1,0.06666666666666667,14
16,0.68802307626695,1,0.0625,15
17,0.6482596721806504,2,0.11764705882352941,15
18,0.6486102774304663,2,0.1111111111111111,16
19,0.6303073977280502,2,0.10526315789473684,17
20,0.6267918240369299,4,0.2,16
21,0.6571432807046304,3,0.14285714285714285,18
22,0.6624690773313464,3,0.13636363636363635,19
23,0.600781178695509,4,0.17391304347826086,19
24,0.6738882017414136,3,0.125,21
25,0.6455402832661011,5,0.2,20
26,0.6736011456865053,4,0.15384615384615385,22
27,0.7417710759730223,3,0.1111111111111111,24
28,0.5108096629782343,9,0.32142857142857145,19
29,0.5428986282381949,9,0.3103448275862069,20
30,0.5994318688193628,8,0.26666666666666666,22
31,0.5980911686280359,8,0.25806451612903225,23
32,0.5038044272408637,11,0.34375,21
33,0.5801237630904664,9,0.2727272727272727,24
34,0.6307085101316479,8,0.23529411764705882,26
35,0.5938286813243214,10,0.2857142857142857,25
36,0.5471253253765819,12,0.3333333333333333,24
37,0.5032994467001479,14,0.3783783783783784,23
38,0.6521818405850752,10,0.2631578947368421,28
39,0.5977568930976683,12,0.3076923076923077,27
40,0.569144684931636,13,0.325,27
41,0.652309031110806,10,0.24390243902439024,31
42,0.5995728820450476,12,0.2857142857142857,30
43,0.6199953296382796,13,0.3023255813953488,30
44,0.5615342278566855,14,0.3181818181818182,30
45,0.5276165427882777,16,0.35555555555555557,29
46,0.5625902477513406,15,0.32608695652173914,31
47,0.5592643127636538,18,0.3829787234042553,29
48,0.5418790765907385,18,0.375,30
49,0.520419694672574,17,0.3469387755102041,32
50,0.48773221295746133,21,0.42,29
