NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.662826579859811,0,0.0,2
3,0.6932760793704942,0,0.0,3
4,0.6844325528844322,0,0.0,4
5,0.8589962056122168,0,0.0,5
6,0.9155573870076156,0,0.0,6
7,0.9292306059779208,0,0.0,7
8,0.9698753192566132,0,0.0,8
9,0.9933649748574978,0,0.0,9
10,0.9761222342651711,0,0.0,10
11,0.933634633934517,0,0.0,11
12,0.9033575851470386,0,0.0,12
13,1.083568404085281,0,0.0,13
14,0.9312334825237478,0,0.0,14
15,0.9759748060506538,0,0.0,15
16,1.0171587134569313,0,0.0,16
17,0.9318070356172247,1,0.058823529411764705,16
18,1.0628543913252233,0,0.0,18
19,0.8943718799245967,2,0.10526315789473684,17
20,1.0875538103677795,1,0.05,19
21,0.9658256932056072,2,0.09523809523809523,19
22,0.9615538846372674,2,0.09090909090909091,20
23,0.9222147784540902,4,0.17391304347826086,19
24,0.9235200757385156,3,0.125,21
25,0.8226083787249737,5,0.2,20
26,0.898636387447394,4,0.15384615384615385,22
27,0.7831641262100526,5,0.18518518518518517,22
28,0.7447217701228361,5,0.17857142857142858,23
29,0.7864627496637595,7,0.2413793103448276,22
30,0.8546730219420193,6,0.2,24
31,0.764848392387558,7,0.22580645161290322,24
32,0.8229889928903535,7,0.21875,25
33,0.7893602401937694,8,0.24242424242424243,25
34,0.8418665941567045,6,0.17647058823529413,28
35,0.719812861463861,9,0.2571428571428571,26
36,0.7182949927228838,9,0.25,27
37,0.8219428994859921,8,0.21621621621621623,29
38,0.7570319806203594,10,0.2631578947368421,28
39,0.8116183222929957,9,0.23076923076923078,30
40,0.7032952440590305,11,0.275,29
41,0.6788211544790167,12,0.2926829268292683,29
42,0.6777247076571554,13,0.30952380952380953,29
43,0.7522125171722528,12,0.27906976744186046,31
44,0.6178096763870777,13,0.29545454545454547,31
45,0.6936440265015174,14,0.3111111111111111,31
46,0.602916989920104,15,0.32608695652173914,31
47,0.7717383287215089,14,0.2978723404255319,33
48,0.7162182443010776,14,0.2916666666666667,34
49,0.6811121290109673,16,0.32653061224489793,33
50,0.6621917395426015,15,0.3,35
51,0.6654024734621604,16,0.3137254901960784,35
52,0.6759845806715103,18,0.34615384615384615,34
53,0.6491019110297558,19,0.3584905660377358,34
54,0.6876657131930982,16,0.2962962962962963,38
55,0.6096840073830051,19,0.34545454545454546,36
56,0.7230606252259044,17,0.30357142857142855,39
57,0.5996500611869033,20,0.3508771929824561,37
58,0.6705917175718508,19,0.3275862068965517,39
59,0.6752584332272329,20,0.3389830508474576,39
60,0.659154812816782,23,0.38333333333333336,37
61,0.6296890647448512,22,0.36065573770491804,39
62,0.6305136036934922,20,0.3225806451612903,42
63,0.5727089033000565,24,0.38095238095238093,39
64,0.7105463508556238,24,0.375,40
65,0.6249845640917848,25,0.38461538461538464,40
66,0.6210745420908902,24,0.36363636363636365,42
67,0.6763895678475003,22,0.3283582089552239,45
68,0.584120449396134,26,0.38235294117647056,42
69,0.6547766199864732,24,0.34782608695652173,45
70,0.630634896264097,24,0.34285714285714286,46
71,0.57569613926099,27,0.38028169014084506,44
72,0.6161623101793836,27,0.375,45
73,0.6254416048578979,31,0.4246575342465753,42
74,0.5590388807655243,31,0.4189189189189189,43
75,0.5144275056930688,32,0.4266666666666667,43
76,0.5238785383237363,32,0.42105263157894735,44
77,0.6329671947614521,30,0.38961038961038963,47
78,0.6944541035164137,26,0.3333333333333333,52
79,0.6798425402647599,28,0.35443037974683544,51
80,0.5955021931717374,32,0.4,48
81,0.5673738122235278,34,0.41975308641975306,47
82,0.5676300313910276,32,0.3902439024390244,50
83,0.5721729721995156,35,0.42168674698795183,48
84,0.6176012628788063,36,0.42857142857142855,48
85,0.5720001774656721,35,0.4117647058823529,50
86,0.5485546828741804,35,0.4069767441860465,51
87,0.6242841992254815,37,0.42528735632183906,50
88,0.5330196439940772,42,0.4772727272727273,46
89,0.5617321643204986,40,0.449438202247191,49
90,0.6013701955101656,36,0.4,54
91,0.5387805713589855,41,0.45054945054945056,50
92,0.5169410581539239,40,0.43478260869565216,52
93,0.499441605234171,44,0.4731182795698925,49
94,0.5297232737502648,39,0.4148936170212766,55
95,0.5498314019852808,39,0.4105263157894737,56
96,0.5985008569815367,38,0.3958333333333333,58
97,0.5660018228202458,40,0.41237113402061853,57
98,0.5136015029957764,42,0.42857142857142855,56
99,0.5696141595837041,43,0.43434343434343436,56
100,0.533485644210175,46,0.46,54
101,0.5477831022871043,46,0.45544554455445546,55
102,0.5026685185640855,47,0.46078431372549017,55
103,0.5429062768368755,49,0.47572815533980584,54
104,0.5457952372742346,46,0.4423076923076923,58
105,0.538838687161695,47,0.44761904761904764,58
106,0.5016626472204554,47,0.44339622641509435,59
107,0.5550661026697364,48,0.4485981308411215,59
108,0.5594435056908313,47,0.4351851851851852,61
109,0.49495339598893195,53,0.48623853211009177,56
110,0.5311606897092135,49,0.44545454545454544,61
111,0.5333343276170627,50,0.45045045045045046,61
112,0.5356780005728462,54,0.48214285714285715,58
113,0.4689836119885335,56,0.49557522123893805,57
114,0.4815775539474322,53,0.4649122807017544,61
115,0.47308743164612155,57,0.4956521739130435,58
116,0.5399777852945222,53,0.45689655172413796,63
117,0.5292270776681842,57,0.48717948717948717,60
118,0.4951654943712186,57,0.4830508474576271,61
119,0.5072237184020408,55,0.46218487394957986,64
120,0.5337229646294143,59,0.49166666666666664,61
121,0.5014323535788465,57,0.47107438016528924,64
122,0.4902460544505975,57,0.4672131147540984,65
123,0.5056441961222697,57,0.4634146341463415,66
124,0.503607241744364,60,0.4838709677419355,64
125,0.5341912215184385,59,0.472,66
126,0.44478811645018435,63,0.5,63
127,0.5532703355339501,61,0.48031496062992124,66
128,0.55694715269273,60,0.46875,68
129,0.49817419884031644,62,0.4806201550387597,67
130,0.5073722573202283,64,0.49230769230769234,66
131,0.5289717699000716,65,0.4961832061068702,66
132,0.5310971806738927,62,0.4696969696969697,70
133,0.5001713526913902,65,0.48872180451127817,68
134,0.4979139736594997,66,0.4925373134328358,68
135,0.4979464172646717,68,0.5037037037037037,67
136,0.49652559513910904,67,0.49264705882352944,69
137,0.5037589450938986,64,0.46715328467153283,73
138,0.4536593694988378,73,0.5289855072463768,65
139,0.5407204862290701,69,0.49640287769784175,70
140,0.5033291334537022,70,0.5,70
141,0.4638634587953586,73,0.5177304964539007,68
142,0.48243660567803515,73,0.5140845070422535,69
143,0.4982210609735358,72,0.5034965034965035,71
144,0.4732542691770696,73,0.5069444444444444,71
145,0.4997954499057451,73,0.503448275862069,72
146,0.542228771091436,72,0.4931506849315068,74
147,0.492971089312284,73,0.4965986394557823,74
148,0.4548710953072493,77,0.5202702702702703,71
149,0.504229669404442,76,0.5100671140939598,73
150,0.5575877427774933,75,0.5,75
151,0.5162797677818135,77,0.5099337748344371,74
152,0.4871887898820165,74,0.4868421052631579,78
153,0.4714358398258023,75,0.49019607843137253,78
154,0.46765412840372983,77,0.5,77
155,0.4705326226928917,79,0.5096774193548387,76
156,0.4575606929259829,82,0.5256410256410257,74
157,0.47109241450748096,82,0.5222929936305732,75
158,0.4833153194849197,83,0.5253164556962026,75
159,0.5082092485054203,85,0.5345911949685535,74
160,0.4772866442345217,83,0.51875,77
161,0.4808527491853636,82,0.5093167701863354,79
162,0.47345478411267744,88,0.5432098765432098,74
163,0.45760911478305405,89,0.5460122699386503,74
164,0.45851363577745474,85,0.5182926829268293,79
165,0.47405178083499977,86,0.5212121212121212,79
166,0.461888683037796,91,0.5481927710843374,75
167,0.4619540531582969,89,0.5329341317365269,78
168,0.42005238637821773,91,0.5416666666666666,77
169,0.46946208228695674,89,0.5266272189349113,80
170,0.43744511837565353,92,0.5411764705882353,78
171,0.40598551309871383,96,0.5614035087719298,75
172,0.48871102125564597,86,0.5,86
173,0.4649722351614488,94,0.5433526011560693,79
174,0.47937897666565266,91,0.5229885057471264,83
175,0.45701414973428844,92,0.5257142857142857,83
176,0.49433719090678974,94,0.5340909090909091,82
177,0.4416450342811445,98,0.5536723163841808,79
178,0.4791695598662092,94,0.5280898876404494,84
179,0.49221895274927846,93,0.5195530726256983,86
180,0.45008017036894493,99,0.55,81
