NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.7390638024573226,0,0.0,2
3,1.8655980892858646,0,0.0,3
4,2.171478196018161,0,0.0,4
5,1.899482977533288,0,0.0,5
6,1.7020607316068543,0,0.0,6
7,1.5529670083777296,0,0.0,7
8,1.475529935744694,0,0.0,8
9,1.2944790755144986,0,0.0,9
10,1.4473763586361676,0,0.0,10
11,1.2812141617014021,1,0.09090909090909091,10
12,1.182694187164488,2,0.16666666666666666,10
13,1.168299352297233,1,0.07692307692307693,12
14,1.0592268992453862,2,0.14285714285714285,12
15,1.112498093598968,2,0.13333333333333333,13
16,0.9749196641972641,4,0.25,12
17,1.0026896403869294,4,0.23529411764705882,13
18,0.9169282966911818,4,0.2222222222222222,14
19,0.8437721738892074,6,0.3157894736842105,13
20,0.8340568324251988,6,0.3,14
21,0.8792103923738301,6,0.2857142857142857,15
22,0.7353471058129406,8,0.36363636363636365,14
23,0.7506303283205681,8,0.34782608695652173,15
24,0.8260634699074663,7,0.2916666666666667,17
25,0.8020807079408393,7,0.28,18
26,0.7061663958852639,10,0.38461538461538464,16
27,0.6969954728814847,10,0.37037037037037035,17
28,0.6938148443272072,11,0.39285714285714285,17
29,0.7457008697689642,10,0.3448275862068966,19
30,0.6392945725152405,12,0.4,18
31,0.6054550254647616,14,0.45161290322580644,17
32,0.6372574627331145,14,0.4375,18
33,0.6658829016496453,13,0.3939393939393939,20
34,0.818493700805268,11,0.3235294117647059,23
35,0.6551097123848538,14,0.4,21
36,0.6561294039195529,15,0.4166666666666667,21
37,0.5174535613110558,20,0.5405405405405406,17
38,0.5422575955122798,20,0.5263157894736842,18
39,0.6427643525737037,18,0.46153846153846156,21
40,0.49802743277701644,22,0.55,18
41,0.5137063441956369,22,0.5365853658536586,19
42,0.5217112843568581,21,0.5,21
43,0.5872848288202827,19,0.4418604651162791,24
44,0.5710097068220786,21,0.4772727272727273,23
45,0.49538114015452095,23,0.5111111111111111,22
46,0.5158517826597192,22,0.4782608695652174,24
47,0.5779858077793689,21,0.44680851063829785,26
48,0.5209486110270246,24,0.5,24
49,0.5246408679516261,26,0.5306122448979592,23
50,0.5002808594330823,27,0.54,23
51,0.5105307102141334,27,0.5294117647058824,24
52,0.5150972751058862,27,0.5192307692307693,25
53,0.4851860032536306,29,0.5471698113207547,24
54,0.5099684117559409,28,0.5185185185185185,26
55,0.5087784841392472,30,0.5454545454545454,25
56,0.4844600045535144,29,0.5178571428571429,27
57,0.5080180049161429,35,0.6140350877192983,22
58,0.4530935461050477,34,0.5862068965517241,24
59,0.4636199099723087,34,0.576271186440678,25
60,0.48662890606962717,33,0.55,27
61,0.5181060091365178,31,0.5081967213114754,30
62,0.4679704949371686,36,0.5806451612903226,26
63,0.4458172058046915,37,0.5873015873015873,26
64,0.4135161159467122,41,0.640625,23
65,0.4577132931590939,38,0.5846153846153846,27
66,0.4678147395172555,39,0.5909090909090909,27
67,0.49950251337046747,40,0.5970149253731343,27
68,0.42334785870957825,38,0.5588235294117647,30
69,0.35989221413219274,42,0.6086956521739131,27
70,0.37334260288045706,48,0.6857142857142857,22
71,0.4421141738033827,45,0.6338028169014085,26
72,0.45070964105279937,45,0.625,27
73,0.38961943288654216,49,0.6712328767123288,24
74,0.3927757046830219,49,0.6621621621621622,25
75,0.37672073801659217,42,0.56,33
76,0.4090788829407108,49,0.6447368421052632,27
77,0.4563936463509376,42,0.5454545454545454,35
78,0.5917418618148026,34,0.4358974358974359,44
79,0.38595961700063813,52,0.6582278481012658,27
80,0.49458484411325315,42,0.525,38
81,0.38530114962224005,54,0.6666666666666666,27
82,0.45844905130653135,50,0.6097560975609756,32
83,0.3555532307415384,53,0.6385542168674698,30
84,0.5144616585360652,48,0.5714285714285714,36
85,0.350367050202383,55,0.6470588235294118,30
86,0.40352588175757215,54,0.627906976744186,32
87,0.37341585703080105,58,0.6666666666666666,29
88,0.38227428169266287,58,0.6590909090909091,30
89,0.5345662827894524,51,0.5730337078651685,38
90,0.377065514894754,61,0.6777777777777778,29
91,0.41675324618932563,60,0.6593406593406593,31
92,0.3396983797260279,66,0.717391304347826,26
93,0.5151488258012672,59,0.6344086021505376,34
94,0.3543355523095759,64,0.6808510638297872,30
95,0.3514257372694051,61,0.6421052631578947,34
96,0.3654485122734398,63,0.65625,33
97,0.3819302456091179,65,0.6701030927835051,32
98,0.4595974630315082,61,0.6224489795918368,37
99,0.435361410942499,64,0.6464646464646465,35
100,0.3394214488706857,69,0.69,31
101,0.31970865839793705,72,0.7128712871287128,29
102,0.35526524453551517,67,0.6568627450980392,35
103,0.3992263875675298,71,0.6893203883495146,32
104,0.3280911501305759,73,0.7019230769230769,31
105,0.3694096407448836,76,0.7238095238095238,29
106,0.3430371961067277,75,0.7075471698113207,31
107,0.40106753664491906,69,0.6448598130841121,38
108,0.3825234614878546,75,0.6944444444444444,33
109,0.42523635766849244,69,0.6330275229357798,40
110,0.3797731481141126,77,0.7,33
111,0.4093598702621442,73,0.6576576576576577,38
112,0.43160331833406285,76,0.6785714285714286,36
113,0.3298324172559014,83,0.7345132743362832,30
114,0.31012235432267105,82,0.7192982456140351,32
115,0.3674113034069326,79,0.6869565217391305,36
116,0.4438584808006393,78,0.6724137931034483,38
117,0.3522210111280895,80,0.6837606837606838,37
118,0.31135266483552443,84,0.711864406779661,34
