NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7689455349255745,0,0.0,2
3,0.5750164584956752,0,0.0,3
4,0.5192238234242815,0,0.0,4
5,0.48787292576401264,0,0.0,5
6,0.4597428535521746,1,0.16666666666666666,5
7,0.5043424538282467,1,0.14285714285714285,6
8,0.3661821893229331,3,0.375,5
9,0.5261506899176023,1,0.1111111111111111,8
10,0.45874022068405257,1,0.1,9
11,0.4267512415855234,2,0.18181818181818182,9
12,0.40617287869648955,3,0.25,9
13,0.37884581812231577,4,0.3076923076923077,9
14,0.4708795051801338,1,0.07142857142857142,13
15,0.36651553136672305,5,0.3333333333333333,10
16,0.38245030139453795,3,0.1875,13
17,0.31917476876205797,4,0.23529411764705882,13
18,0.38441709493639253,5,0.2777777777777778,13
19,0.4448984053564726,2,0.10526315789473684,17
20,0.3139082324936512,8,0.4,12
21,0.27111893320849634,8,0.38095238095238093,13
22,0.2957868626018064,8,0.36363636363636365,14
23,0.43386274272298986,2,0.08695652173913043,21
24,0.2396919077084393,11,0.4583333333333333,13
25,0.3056301571270376,9,0.36,16
26,0.3563896316302357,7,0.2692307692307692,19
27,0.3044381902875124,7,0.25925925925925924,20
28,0.22281259381221546,12,0.42857142857142855,16
29,0.294653519185318,8,0.27586206896551724,21
30,0.1843607028195362,17,0.5666666666666667,13
31,0.21327868463379562,12,0.3870967741935484,19
32,0.2827372697435061,15,0.46875,17
33,0.3269173461304619,5,0.15151515151515152,28
34,0.32272088390593473,11,0.3235294117647059,23
35,0.17545171995235706,20,0.5714285714285714,15
36,0.15910860059310508,25,0.6944444444444444,11
37,0.17969625696928215,19,0.5135135135135135,18
38,0.23281983378797766,14,0.3684210526315789,24
39,0.2169083747161787,17,0.4358974358974359,22
40,0.2754235266695261,13,0.325,27
41,0.2664619640270486,10,0.24390243902439024,31
42,0.24968191316844512,20,0.47619047619047616,22
43,0.17755314290306817,21,0.4883720930232558,22
44,0.23331470179054672,13,0.29545454545454547,31
45,0.1691769813468297,19,0.4222222222222222,26
46,0.14783792029116374,26,0.5652173913043478,20
47,0.1260626412365457,29,0.6170212765957447,18
48,0.15682108512091927,27,0.5625,21
49,0.12745042527801,30,0.6122448979591837,19
50,0.2823207912407194,13,0.26,37
51,0.22645894473772607,18,0.35294117647058826,33
52,0.14375021890115308,28,0.5384615384615384,24
53,0.19238380970843624,26,0.49056603773584906,27
54,0.19063187843722326,24,0.4444444444444444,30
55,0.17146056591437966,26,0.4727272727272727,29
56,0.17959120031216486,17,0.30357142857142855,39
57,0.1976582151482541,19,0.3333333333333333,38
58,0.21546600941916966,19,0.3275862068965517,39
59,0.14093053702899525,24,0.4067796610169492,35
60,0.15259488589329182,25,0.4166666666666667,35
61,0.14342722241100658,27,0.4426229508196721,34
62,0.21826493044048595,19,0.3064516129032258,43
63,0.15957545299293094,29,0.4603174603174603,34
64,0.19026833675763244,19,0.296875,45
65,0.15817279160198094,29,0.4461538461538462,36
66,0.2641026808990127,25,0.3787878787878788,41
67,0.14291612019583275,39,0.582089552238806,28
68,0.1227041863521085,35,0.5147058823529411,33
69,0.18094567814221452,29,0.42028985507246375,40
70,0.16621453074173057,35,0.5,35
71,0.13766592956600088,33,0.4647887323943662,38
72,0.14054556568797805,37,0.5138888888888888,35
73,0.3248407985982501,17,0.2328767123287671,56
74,0.10611632653215697,45,0.6081081081081081,29
75,0.20447938173166924,19,0.25333333333333335,56
76,0.16960781180890933,24,0.3157894736842105,52
77,0.1735708333177292,23,0.2987012987012987,54
78,0.13188412415614215,36,0.46153846153846156,42
79,0.19268602448402877,20,0.25316455696202533,59
80,0.12115345748235799,40,0.5,40
81,0.1052320074758373,53,0.654320987654321,28
82,0.2807152308653862,30,0.36585365853658536,52
83,0.09636093252634935,50,0.6024096385542169,33
84,0.09460311075881887,49,0.5833333333333334,35
85,0.23144246686304196,25,0.29411764705882354,60
86,0.10966016597187012,48,0.5581395348837209,38
87,0.11539092982438445,49,0.5632183908045977,38
88,0.12236278829818881,42,0.4772727272727273,46
89,0.11550628786833583,52,0.5842696629213483,37
90,0.15140175055038754,38,0.4222222222222222,52
91,0.17408361346477186,37,0.4065934065934066,54
92,0.12080668318587204,37,0.40217391304347827,55
93,0.19319030287920402,26,0.27956989247311825,67
94,0.12805292456584216,46,0.48936170212765956,48
95,0.16237529649668142,28,0.29473684210526313,67
96,0.1895958192041226,32,0.3333333333333333,64
97,0.15675967635286228,37,0.38144329896907214,60
98,0.18079420870433693,23,0.23469387755102042,75
99,0.08700038230716883,58,0.5858585858585859,41
100,0.09423176062393013,50,0.5,50
