NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.218572535060397,0,0.0,2
3,1.310008323856038,0,0.0,3
4,1.057926276847982,0,0.0,4
5,1.057926276847982,0,0.0,5
6,1.057926276847982,0,0.0,6
7,0.9697657537773168,0,0.0,7
8,1.057926276847982,0,0.0,8
9,0.9109920717302067,1,0.1111111111111111,8
10,0.6842935838342106,2,0.2,8
11,1.057926276847982,0,0.0,11
12,0.8816052307066516,2,0.16666666666666666,10
13,0.9697657537773169,0,0.0,13
14,0.564227347652257,4,0.2857142857142857,10
15,0.5684636325270813,5,0.3333333333333333,10
16,0.5295282699821363,6,0.375,10
17,0.5237154882412133,6,0.35294117647058826,11
18,0.5401924723639199,6,0.3333333333333333,12
19,0.5722419406586812,4,0.21052631578947367,15
20,0.451601224877771,7,0.35,13
21,0.42998628227070645,11,0.5238095238095238,10
22,0.24545444333396235,13,0.5909090909090909,9
23,0.40394177553397936,10,0.43478260869565216,13
24,0.27670257904477263,14,0.5833333333333334,10
25,0.29284625924342694,12,0.48,13
26,0.46901725968224917,10,0.38461538461538464,16
27,0.3875852687938627,8,0.2962962962962963,19
28,0.39833547218578097,10,0.35714285714285715,18
29,0.2264411829874785,17,0.5862068965517241,12
30,0.4309976494013841,13,0.43333333333333335,17
31,0.4977159600224266,7,0.22580645161290322,24
32,0.6750577195125218,5,0.15625,27
33,0.1761192595025679,21,0.6363636363636364,12
34,0.16844624665259672,24,0.7058823529411765,10
35,0.34332337367232646,18,0.5142857142857142,17
36,0.380797175130164,19,0.5277777777777778,17
37,0.6060754118003784,12,0.32432432432432434,25
38,0.4117112812131616,16,0.42105263157894735,22
39,0.5069385369815065,9,0.23076923076923078,30
40,0.15184163339211287,26,0.65,14
41,0.1647059791846207,28,0.6829268292682927,13
42,0.2084293364792455,20,0.47619047619047616,22
43,0.1521274190152257,30,0.6976744186046512,13
44,0.20102716895363718,21,0.4772727272727273,23
45,0.11023578040875318,34,0.7555555555555555,11
46,0.4655821388780481,12,0.2608695652173913,34
47,0.2674223791199585,23,0.48936170212765956,24
48,0.16883417689872324,28,0.5833333333333334,20
49,0.28629955203774143,22,0.4489795918367347,27
50,0.19572204717955294,20,0.4,30
51,0.23519849488326144,19,0.37254901960784315,32
52,0.29059833469955315,30,0.5769230769230769,22
53,0.19016717084874502,27,0.5094339622641509,26
54,0.1297976002020572,37,0.6851851851851852,17
55,0.2720281223705469,28,0.509090909090909,27
56,0.11294972316928512,38,0.6785714285714286,18
57,0.22703249658903657,26,0.45614035087719296,31
58,0.1256887322214536,36,0.6206896551724138,22
59,0.14941951435000844,37,0.6271186440677966,22
60,0.10188751919699444,42,0.7,18
61,0.1172058639125661,40,0.6557377049180327,21
62,0.11743979226765904,39,0.6290322580645161,23
63,0.13592039806763298,34,0.5396825396825397,29
64,0.11263716120004134,40,0.625,24
65,0.2216241280041149,18,0.27692307692307694,47
66,0.15973335014249238,29,0.4393939393939394,37
67,0.08856172897730996,50,0.746268656716418,17
68,0.10669837567080469,51,0.75,17
69,0.08197504770101509,54,0.782608695652174,15
70,0.16525096131404016,34,0.4857142857142857,36
71,0.18601584391378456,34,0.4788732394366197,37
72,0.22157229084349145,44,0.6111111111111112,28
73,0.1461855239440328,42,0.5753424657534246,31
74,0.10785183900178913,53,0.7162162162162162,21
75,0.10976262555613117,48,0.64,27
76,0.10330485701406102,49,0.6447368421052632,27
77,0.16140588992108282,30,0.38961038961038963,47
78,0.09075351966651447,58,0.7435897435897436,20
79,0.10084837573383333,53,0.6708860759493671,26
80,0.08928015231182067,58,0.725,22
