NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,2.405748645214738,0,0.0,2
3,3.6980571155723325,0,0.0,3
4,1.6193955983139872,0,0.0,4
5,2.3407655442260755,0,0.0,5
6,2.448197695545954,0,0.0,6
7,2.0906466214460315,0,0.0,7
8,1.8984613658623382,0,0.0,8
9,1.7258541854196832,0,0.0,9
10,1.6881318872277755,0,0.0,10
11,1.57827171105615,0,0.0,11
12,1.4301405985846831,1,0.08333333333333333,11
13,1.4938753922065895,1,0.07692307692307693,12
14,1.2357595770630152,2,0.14285714285714285,12
15,1.2952880525227874,3,0.2,12
16,1.1707691763940562,3,0.1875,13
17,1.0659184502129193,4,0.23529411764705882,13
18,1.0443255344809483,5,0.2777777777777778,13
19,1.0472389724561966,5,0.2631578947368421,14
20,0.9594319624345273,6,0.3,14
21,1.1795297896295567,5,0.23809523809523808,16
22,0.9272144808730737,7,0.3181818181818182,15
23,1.0009163295829129,6,0.2608695652173913,17
24,0.8465798767864936,9,0.375,15
25,0.8538114676201924,9,0.36,16
26,0.7601343915204486,11,0.4230769230769231,15
27,0.8806810043961788,10,0.37037037037037035,17
28,0.907657130382147,10,0.35714285714285715,18
29,0.8891067029856478,11,0.3793103448275862,18
30,0.7470991208415643,14,0.4666666666666667,16
31,0.7946427154963418,14,0.45161290322580644,17
32,0.9324857568450964,10,0.3125,22
33,0.6845762190325217,16,0.48484848484848486,17
34,0.9477135759685476,10,0.29411764705882354,24
35,0.8047552862087646,13,0.37142857142857144,22
36,0.8128009259012778,14,0.3888888888888889,22
37,0.8008236086098452,15,0.40540540540540543,22
38,0.7100384588565334,18,0.47368421052631576,20
39,0.6999510074721724,19,0.48717948717948717,20
40,0.7062282564887881,19,0.475,21
41,0.7700747508579624,18,0.43902439024390244,23
42,0.8008250652995508,17,0.40476190476190477,25
43,0.63363390563806,23,0.5348837209302325,20
44,0.6595272269587529,22,0.5,22
45,0.5680547993879688,27,0.6,18
46,0.7527957034498658,20,0.43478260869565216,26
47,0.7221394343627459,22,0.46808510638297873,25
48,0.5910801769153979,27,0.5625,21
49,0.6171038790625534,27,0.5510204081632653,22
50,0.6221334557798607,29,0.58,21
51,0.6022570825288737,28,0.5490196078431373,23
52,0.6793690383600939,25,0.4807692307692308,27
53,0.5701251879061605,30,0.5660377358490566,23
54,0.5946204669912272,27,0.5,27
55,0.5946831021681873,30,0.5454545454545454,25
56,0.6188916658974224,28,0.5,28
57,0.583568378355457,31,0.543859649122807,26
58,0.639434465399197,29,0.5,29
59,0.5603534274483942,35,0.5932203389830508,24
60,0.5596592860744926,34,0.5666666666666667,26
61,0.5271496862737103,36,0.5901639344262295,25
62,0.586391440770454,36,0.5806451612903226,26
63,0.5677634718578977,37,0.5873015873015873,26
64,0.5441531007626711,38,0.59375,26
65,0.5395538757647718,38,0.5846153846153846,27
66,0.5122154896760126,39,0.5909090909090909,27
67,0.5432102973133959,38,0.5671641791044776,29
68,0.5148466504845008,42,0.6176470588235294,26
69,0.5128516532303364,41,0.5942028985507246,28
70,0.530239177334285,40,0.5714285714285714,30
71,0.5229908218944855,41,0.5774647887323944,30
72,0.5122040891273343,43,0.5972222222222222,29
73,0.4418358324722418,49,0.6712328767123288,24
74,0.5010390740949233,45,0.6081081081081081,29
75,0.5231982465485641,44,0.5866666666666667,31
76,0.4341101893596227,51,0.6710526315789473,25
77,0.4945976573712772,45,0.5844155844155844,32
78,0.5022141813306034,45,0.5769230769230769,33
79,0.45949290280323796,52,0.6582278481012658,27
80,0.5052221761489747,41,0.5125,39
81,0.4602737995582927,53,0.654320987654321,28
82,0.5079188570460074,46,0.5609756097560976,36
83,0.4536945131982284,52,0.6265060240963856,31
84,0.4710866896483197,50,0.5952380952380952,34
85,0.41789610717797543,59,0.6941176470588235,26
86,0.39999457182428766,55,0.6395348837209303,31
87,0.4633089083787679,52,0.5977011494252874,35
88,0.4515773496765724,55,0.625,33
89,0.4320479834366763,56,0.6292134831460674,33
90,0.39708073716973974,63,0.7,27
91,0.41731927824965387,63,0.6923076923076923,28
92,0.44409790000160654,58,0.6304347826086957,34
93,0.44736020897146045,55,0.5913978494623656,38
94,0.37433644303903474,65,0.6914893617021277,29
95,0.46012039097246243,52,0.5473684210526316,43
96,0.3790309754426761,68,0.7083333333333334,28
97,0.40255194307174513,63,0.6494845360824743,34
98,0.44749591115142207,57,0.5816326530612245,41
99,0.4029338855305553,65,0.6565656565656566,34
100,0.4036249644468049,68,0.68,32
101,0.42620577240060975,63,0.6237623762376238,38
102,0.4281299706226247,59,0.5784313725490197,43
103,0.37254290433700565,72,0.6990291262135923,31
104,0.385559907659046,70,0.6730769230769231,34
105,0.3588291464330912,76,0.7238095238095238,29
106,0.37662608895436445,70,0.660377358490566,36
107,0.3975260286761476,68,0.6355140186915887,39
108,0.3710387522042914,75,0.6944444444444444,33
109,0.3838061768955139,72,0.6605504587155964,37
110,0.39294466818621504,70,0.6363636363636364,40
111,0.40035175008599694,71,0.6396396396396397,40
112,0.38234008095677535,74,0.6607142857142857,38
113,0.3650415605319385,78,0.6902654867256637,35
114,0.36747428101779,78,0.6842105263157895,36
115,0.37433557442345156,76,0.6608695652173913,39
116,0.34468596134251683,83,0.7155172413793104,33
117,0.4086705267722933,74,0.6324786324786325,43
118,0.3676427464253256,77,0.652542372881356,41
119,0.3577294093469403,84,0.7058823529411765,35
120,0.33181867953459926,89,0.7416666666666667,31
121,0.3714385834622868,82,0.6776859504132231,39
122,0.3599570823701179,85,0.6967213114754098,37
123,0.3272489538335974,92,0.7479674796747967,31
124,0.3391366497625384,90,0.7258064516129032,34
125,0.34538525749020577,90,0.72,35
126,0.3339044280536866,88,0.6984126984126984,38
127,0.324923388147334,91,0.7165354330708661,36
128,0.3347485266651915,95,0.7421875,33
129,0.31628234594590154,94,0.7286821705426356,35
130,0.3049807205044402,95,0.7307692307692307,35
131,0.3189089721256867,94,0.7175572519083969,37
132,0.32001618076125615,96,0.7272727272727273,36
133,0.32694613903954806,94,0.706766917293233,39
134,0.3054878844854234,99,0.7388059701492538,35
135,0.2985592165214694,100,0.7407407407407407,35
