NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.9093241496595545,0,0.0,2
3,0.8863065510617198,0,0.0,3
4,0.8796171090589693,0,0.0,4
5,0.8796171090589693,0,0.0,5
6,0.7893366150554771,0,0.0,6
7,0.8540512545416604,1,0.14285714285714285,6
8,0.8427513048213585,0,0.0,8
9,0.5291636883442177,4,0.4444444444444444,5
10,0.4834926298799801,3,0.3,7
11,0.5344372801214565,4,0.36363636363636365,7
12,0.6566186228688751,3,0.25,9
13,0.5556098058832821,5,0.38461538461538464,8
14,0.5289709525538226,6,0.42857142857142855,8
15,0.3989375794640795,6,0.4,9
16,0.3696854821288481,8,0.5,8
17,0.4272227997436896,7,0.4117647058823529,10
18,0.37185495742010655,9,0.5,9
19,0.3786351975945175,9,0.47368421052631576,10
20,0.3843258834440886,11,0.55,9
21,0.2921560479978912,11,0.5238095238095238,10
22,0.4007753745453422,10,0.45454545454545453,12
23,0.3553055973070686,12,0.5217391304347826,11
24,0.40760578784916457,11,0.4583333333333333,13
25,0.515166165049418,9,0.36,16
26,0.2901028922248026,15,0.5769230769230769,11
27,0.36412367491871217,14,0.5185185185185185,13
28,0.32398338457898834,13,0.4642857142857143,15
29,0.29920921341863677,18,0.6206896551724138,11
30,0.2453537126120184,20,0.6666666666666666,10
31,0.28010382324341987,20,0.6451612903225806,11
32,0.3253953262247241,15,0.46875,17
33,0.22232862612006996,22,0.6666666666666666,11
34,0.29947512883046024,18,0.5294117647058824,16
35,0.24475788420381878,24,0.6857142857142857,11
36,0.2323322863921532,24,0.6666666666666666,12
37,0.315289484967401,18,0.4864864864864865,19
38,0.33972540724645645,15,0.39473684210526316,23
39,0.25041187446440205,19,0.48717948717948717,20
40,0.28437657256122895,22,0.55,18
41,0.32260342251449836,20,0.4878048780487805,21
42,0.2938347617866352,20,0.47619047619047616,22
43,0.20363224797140267,30,0.6976744186046512,13
44,0.2412794663699673,28,0.6363636363636364,16
45,0.2527157826271692,26,0.5777777777777777,19
46,0.18578403999398874,34,0.7391304347826086,12
47,0.2678364294294708,27,0.574468085106383,20
48,0.2157116811831336,32,0.6666666666666666,16
49,0.2578265342083728,28,0.5714285714285714,21
50,0.21021830694604393,33,0.66,17
51,0.26253827104039484,25,0.49019607843137253,26
52,0.22233641965205872,32,0.6153846153846154,20
53,0.19661280611091914,34,0.6415094339622641,19
54,0.24768902240744306,27,0.5,27
55,0.20645647847509632,37,0.6727272727272727,18
56,0.2142544590187465,32,0.5714285714285714,24
57,0.17919099688492057,39,0.6842105263157895,18
58,0.2742445680491944,22,0.3793103448275862,36
59,0.20134701412997646,37,0.6271186440677966,22
60,0.24532953463460636,31,0.5166666666666667,29
61,0.17507457137766835,42,0.6885245901639344,19
62,0.17682814579183512,43,0.6935483870967742,19
63,0.18155165764277792,45,0.7142857142857143,18
64,0.20081040656940807,37,0.578125,27
65,0.21191766075073867,36,0.5538461538461539,29
66,0.18252586993497716,48,0.7272727272727273,18
67,0.17193293865858497,43,0.6417910447761194,24
68,0.16511953045395306,52,0.7647058823529411,16
69,0.18563821833394614,48,0.6956521739130435,21
70,0.147922651856971,50,0.7142857142857143,20
71,0.16468177153663796,49,0.6901408450704225,22
72,0.16209007141541604,51,0.7083333333333334,21
73,0.19565194449685744,41,0.5616438356164384,32
74,0.18271331681949854,46,0.6216216216216216,28
75,0.20359491135881597,42,0.56,33
76,0.17595540912666408,51,0.6710526315789473,25
77,0.1472994649395933,56,0.7272727272727273,21
78,0.16720415202155214,53,0.6794871794871795,25
79,0.14262766098660845,57,0.7215189873417721,22
80,0.16441594356349667,52,0.65,28
81,0.16749555007763745,54,0.6666666666666666,27
82,0.15324787422593644,60,0.7317073170731707,22
83,0.16902280365232913,45,0.5421686746987951,38
84,0.13345467226419816,66,0.7857142857142857,18
85,0.15933046940291318,59,0.6941176470588235,26
86,0.14437444411216624,60,0.6976744186046512,26
87,0.14656482636969229,58,0.6666666666666666,29
88,0.19021736101508585,49,0.5568181818181818,39
89,0.14211065555919175,62,0.6966292134831461,27
90,0.15244840069541504,62,0.6888888888888889,28
91,0.16411691089772357,57,0.6263736263736264,34
92,0.1497265753447483,56,0.6086956521739131,36
93,0.1161296709000546,68,0.7311827956989247,25
94,0.14631765457858584,64,0.6808510638297872,30
95,0.17469492772084086,47,0.49473684210526314,48
96,0.11508929326566626,82,0.8541666666666666,14
97,0.12723616832875548,79,0.8144329896907216,18
