NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.5136951883873155,0,0.0,2
3,1.9754583336129699,0,0.0,3
4,1.860482539918042,0,0.0,4
5,1.7075699672789573,0,0.0,5
6,1.5881543215403489,0,0.0,6
7,1.5359214097423926,0,0.0,7
8,1.5727569666587558,0,0.0,8
9,1.7062040112070436,0,0.0,9
10,1.6579135111437506,1,0.1,9
11,1.1362342049231524,3,0.2727272727272727,8
12,1.3081141041619784,3,0.25,9
13,1.445677683345477,2,0.15384615384615385,11
14,1.2834833472565634,3,0.21428571428571427,11
15,1.4485232996723387,3,0.2,12
16,1.1814526603707798,4,0.25,12
17,1.0785613091647657,5,0.29411764705882354,12
18,0.9815281498865679,6,0.3333333333333333,12
19,1.1951028454817176,6,0.3157894736842105,13
20,1.0501041829249833,5,0.25,15
21,0.9817222671384986,7,0.3333333333333333,14
22,0.7692885414367334,10,0.45454545454545453,12
23,0.9675685124224442,10,0.43478260869565216,13
24,0.7840035665902974,10,0.4166666666666667,14
25,0.8208755550855575,11,0.44,14
26,0.7287731831632621,13,0.5,13
27,0.7089980629240565,13,0.48148148148148145,14
28,0.8812104093786913,11,0.39285714285714285,17
29,0.755310586110421,13,0.4482758620689655,16
30,0.6660382844208919,13,0.43333333333333335,17
31,0.7291694144666105,11,0.3548387096774194,20
32,0.6198026513547662,15,0.46875,17
33,0.7882333574020702,15,0.45454545454545453,18
34,0.5792552351658267,17,0.5,17
35,0.5697763965448714,19,0.5428571428571428,16
36,0.6899133572509755,15,0.4166666666666667,21
37,0.6801228907207018,18,0.4864864864864865,19
38,0.6171260779140864,18,0.47368421052631576,20
39,0.5080628318413324,23,0.5897435897435898,16
40,0.5707749027665636,19,0.475,21
41,0.600611857687068,21,0.5121951219512195,20
42,0.5412228793459704,23,0.5476190476190477,19
43,0.6453278085928861,25,0.5813953488372093,18
44,0.667223578008328,17,0.38636363636363635,27
45,0.6164501336481364,24,0.5333333333333333,21
46,0.46365412484226287,27,0.5869565217391305,19
47,0.4210725840113528,31,0.6595744680851063,16
48,0.48299832215989463,26,0.5416666666666666,22
49,0.49964500407215906,29,0.5918367346938775,20
50,0.4537763701835079,29,0.58,21
51,0.4396419091620136,33,0.6470588235294118,18
52,0.5279410467267226,27,0.5192307692307693,25
53,0.5039565732490285,26,0.49056603773584906,27
54,0.4088976798400659,36,0.6666666666666666,18
55,0.5814178429478375,27,0.4909090909090909,28
56,0.43229781920449517,36,0.6428571428571429,20
57,0.45068359834094596,33,0.5789473684210527,24
58,0.4412466237814808,34,0.5862068965517241,24
59,0.3956842302914041,41,0.6949152542372882,18
60,0.4687510478408161,33,0.55,27
61,0.5089244573482846,36,0.5901639344262295,25
