NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7215987464951352,0,0.0,2
3,0.6766485315245234,0,0.0,3
4,0.7233762208046683,0,0.0,4
5,0.7416212450707891,0,0.0,5
6,0.6988665317962225,0,0.0,6
7,0.7379372795026733,0,0.0,7
8,0.690403025179213,0,0.0,8
9,0.6977150674338849,0,0.0,9
10,0.6826014605961214,0,0.0,10
11,0.7130960648238538,0,0.0,11
12,0.8127133964353902,0,0.0,12
13,0.6159187733242373,0,0.0,13
14,0.6548332888543614,0,0.0,14
15,0.7086907446186135,0,0.0,15
16,0.6253402176262098,0,0.0,16
17,0.5158564320033024,3,0.17647058823529413,14
18,0.5226900901209355,3,0.16666666666666666,15
19,0.6025202389534006,3,0.15789473684210525,16
20,0.6618560560974843,2,0.1,18
21,0.6457400224962981,2,0.09523809523809523,19
22,0.7225598856806932,2,0.09090909090909091,20
23,0.6250479966468513,4,0.17391304347826086,19
24,0.5529544887325885,6,0.25,18
25,0.6222799380754005,5,0.2,20
26,0.5835166323926722,7,0.2692307692307692,19
27,0.6454845575064971,6,0.2222222222222222,21
28,0.4607594346590279,8,0.2857142857142857,20
29,0.5762474575150879,8,0.27586206896551724,21
30,0.6115030366698956,5,0.16666666666666666,25
31,0.6172983841166682,7,0.22580645161290322,24
32,0.6071639305406822,8,0.25,24
33,0.5986979931400874,9,0.2727272727272727,24
34,0.551526583022328,12,0.35294117647058826,22
35,0.5563714403621777,13,0.37142857142857144,22
36,0.6253269202646268,9,0.25,27
37,0.5503991954334824,12,0.32432432432432434,25
38,0.6379267474116819,10,0.2631578947368421,28
39,0.5748447384292841,13,0.3333333333333333,26
40,0.6682408173689329,14,0.35,26
41,0.5732181018196036,15,0.36585365853658536,26
42,0.5299341164700597,14,0.3333333333333333,28
43,0.5465457963723175,16,0.37209302325581395,27
44,0.5234086038894155,16,0.36363636363636365,28
45,0.6175309698465757,16,0.35555555555555557,29
46,0.6422942619134178,15,0.32608695652173914,31
47,0.5470408801123331,19,0.40425531914893614,28
48,0.5700074691938198,19,0.3958333333333333,29
49,0.5201807281405059,19,0.3877551020408163,30
50,0.597300929508271,18,0.36,32
51,0.5401685296939188,21,0.4117647058823529,30
52,0.4624604285821757,23,0.4423076923076923,29
53,0.6034409643494667,19,0.3584905660377358,34
54,0.5769340503616633,21,0.3888888888888889,33
55,0.5198028334779832,24,0.43636363636363634,31
56,0.47773280683701336,26,0.4642857142857143,30
57,0.5623636766512512,23,0.40350877192982454,34
58,0.4448975237353227,29,0.5,29
59,0.5978108663782764,27,0.4576271186440678,32
60,0.5249861775826534,26,0.43333333333333335,34
61,0.5467696807912941,27,0.4426229508196721,34
62,0.5973194766906713,24,0.3870967741935484,38
63,0.4923674484919034,28,0.4444444444444444,35
64,0.5668091463180189,27,0.421875,37
65,0.48099120147338253,30,0.46153846153846156,35
66,0.5430569016813117,28,0.42424242424242425,38
67,0.5313938368391203,28,0.417910447761194,39
68,0.5869209154231716,27,0.39705882352941174,41
69,0.5400725607140426,31,0.4492753623188406,38
70,0.4998549412880545,33,0.4714285714285714,37
71,0.51598807779892,31,0.43661971830985913,40
72,0.5505885342476773,32,0.4444444444444444,40
73,0.6332343790429431,31,0.4246575342465753,42
74,0.625383884077404,30,0.40540540540540543,44
75,0.605139247724233,34,0.4533333333333333,41
76,0.489602544917352,36,0.47368421052631576,40
77,0.5184994165268882,36,0.4675324675324675,41
78,0.5721110505853209,34,0.4358974358974359,44
79,0.48483091327660743,39,0.4936708860759494,40
80,0.5456516276746737,36,0.45,44
81,0.48517458374923417,40,0.49382716049382713,41
82,0.5179036217498514,39,0.47560975609756095,43
83,0.5384340757582443,39,0.46987951807228917,44
84,0.5253409718290276,43,0.5119047619047619,41
85,0.5159548322134155,40,0.47058823529411764,45
86,0.4538834842714007,43,0.5,43
87,0.4863710431319182,43,0.4942528735632184,44
88,0.5765175039320578,41,0.4659090909090909,47
89,0.45353863545448847,45,0.5056179775280899,44
90,0.46522561700186343,48,0.5333333333333333,42
91,0.5581312985334648,47,0.5164835164835165,44
92,0.5371169298853385,48,0.5217391304347826,44
93,0.5194633040998812,47,0.5053763440860215,46
94,0.5249880322205964,47,0.5,47
95,0.47650402424574545,53,0.5578947368421052,42
96,0.4705802704780253,51,0.53125,45
97,0.5233983472614911,50,0.5154639175257731,47
98,0.43507810757017296,53,0.5408163265306123,45
99,0.49103672873900917,53,0.5353535353535354,46
100,0.4286448335056801,56,0.56,44
101,0.4664752721389058,57,0.5643564356435643,44
102,0.5558912968138767,49,0.4803921568627451,53
103,0.4681938284143664,53,0.5145631067961165,50
104,0.5757984820809269,49,0.47115384615384615,55
105,0.5141329135843489,53,0.5047619047619047,52
106,0.4924352905565329,60,0.5660377358490566,46
107,0.4815407777157724,56,0.5233644859813084,51
108,0.461589368970484,58,0.5370370370370371,50
109,0.5269992398194656,55,0.5045871559633027,54
110,0.4974125230774954,55,0.5,55
111,0.44942621310256653,60,0.5405405405405406,51
112,0.48357199431259346,62,0.5535714285714286,50
113,0.4828465333822947,63,0.5575221238938053,50
114,0.48587801850582835,61,0.5350877192982456,53
115,0.5226577522203846,59,0.5130434782608696,56
116,0.4559996071350853,64,0.5517241379310345,52
117,0.468180084782741,64,0.5470085470085471,53
118,0.4754423988258961,65,0.5508474576271186,53
119,0.4890402721027988,63,0.5294117647058824,56
120,0.4690095454544275,65,0.5416666666666666,55
121,0.44059501494688214,67,0.5537190082644629,54
122,0.48236977595968533,66,0.5409836065573771,56
123,0.4541427690087947,69,0.5609756097560976,54
124,0.4817395995367765,67,0.5403225806451613,57
125,0.44888930219745765,68,0.544,57
126,0.43316844449513536,72,0.5714285714285714,54
127,0.47803689072717737,71,0.5590551181102362,56
128,0.5288599525693205,70,0.546875,58
129,0.4630278812391317,75,0.5813953488372093,54
130,0.4482665627927975,72,0.5538461538461539,58
131,0.44903235512961925,70,0.5343511450381679,61
132,0.48404849082426665,70,0.5303030303030303,62
133,0.493046889999202,73,0.5488721804511278,60
134,0.42355000889440864,73,0.5447761194029851,61
135,0.5378333291645679,77,0.5703703703703704,58
136,0.4901265065657246,77,0.5661764705882353,59
137,0.4627878263698425,75,0.5474452554744526,62
138,0.45678436347194845,78,0.5652173913043478,60
139,0.45624203609073255,75,0.539568345323741,64
140,0.4600297488553041,80,0.5714285714285714,60
141,0.51345597061465,75,0.5319148936170213,66
142,0.5006875549135976,77,0.5422535211267606,65
143,0.47554771575848276,82,0.5734265734265734,61
144,0.49434001052045184,81,0.5625,63
145,0.46063877958760013,79,0.5448275862068965,66
146,0.45058583874103525,80,0.547945205479452,66
147,0.4216049423297376,85,0.5782312925170068,62
148,0.41869594118855574,83,0.5608108108108109,65
149,0.4034402112647734,87,0.5838926174496645,62
150,0.4650678332580456,87,0.58,63
151,0.4690077864705117,83,0.5496688741721855,68
152,0.3723699566368408,91,0.5986842105263158,61
153,0.4418454247454052,87,0.5686274509803921,66
154,0.4215844422131394,88,0.5714285714285714,66
155,0.4610658449338266,90,0.5806451612903226,65
156,0.41152456897966316,94,0.6025641025641025,62
157,0.45812151521758016,86,0.5477707006369427,71
158,0.4340821217282997,90,0.569620253164557,68
159,0.44986435674168557,95,0.5974842767295597,64
160,0.430244085325262,93,0.58125,67
161,0.41468387478902574,95,0.5900621118012422,66
162,0.40180462583966503,97,0.5987654320987654,65
163,0.4394943665748978,93,0.5705521472392638,70
164,0.3750058001939418,100,0.6097560975609756,64
165,0.37694949234979414,103,0.6242424242424243,62
166,0.454972519424816,92,0.5542168674698795,74
167,0.3912868890341694,100,0.5988023952095808,67
168,0.4028666188631131,99,0.5892857142857143,69
169,0.45978792163385385,97,0.5739644970414202,72
170,0.39450830128463243,100,0.5882352941176471,70
171,0.46400289556023655,102,0.5964912280701754,69
172,0.40998484738079344,103,0.5988372093023255,69
173,0.43431506361845357,104,0.6011560693641619,69
174,0.4281729226175187,103,0.5919540229885057,71
175,0.41437647578704695,103,0.5885714285714285,72
176,0.4056994744383141,105,0.5965909090909091,71
177,0.4513274887938275,104,0.5875706214689266,73
178,0.4040348497417017,110,0.6179775280898876,68
179,0.43397063320850127,101,0.5642458100558659,78
180,0.4373261194808125,104,0.5777777777777777,76
181,0.43389542197338876,111,0.6132596685082873,70
182,0.4170675552027536,113,0.6208791208791209,69
183,0.3967209999072261,112,0.6120218579234973,71
184,0.35129551626378763,113,0.6141304347826086,71
185,0.36700889403159964,110,0.5945945945945946,75
186,0.37832376054948896,115,0.6182795698924731,71
187,0.39051990764135314,111,0.5935828877005348,76
188,0.3925945514557341,115,0.6117021276595744,73
189,0.4074204690591508,111,0.5873015873015873,78
190,0.38910192855949033,117,0.6157894736842106,73
191,0.43267394121059016,109,0.5706806282722513,82
192,0.41489594948715147,119,0.6197916666666666,73
193,0.4189713517839948,115,0.5958549222797928,78
194,0.4321105720175218,112,0.5773195876288659,82
195,0.40580871388054346,118,0.6051282051282051,77
196,0.43989813896319585,116,0.5918367346938775,80
197,0.39390823276373255,117,0.5939086294416244,80
198,0.4340680502502139,118,0.5959595959595959,80
199,0.44103162620033187,121,0.6080402010050251,78
200,0.36240034360527595,125,0.625,75
201,0.36640420921321115,126,0.6268656716417911,75
