NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.9023407021166399,0,0.0,2
3,2.0435186111264576,0,0.0,3
4,1.7053208313153378,0,0.0,4
5,0.978705072346417,0,0.0,5
6,1.8065956299609927,1,0.16666666666666666,5
7,1.7695664363670063,1,0.14285714285714285,6
8,1.9557322745004875,2,0.25,6
9,2.0278498640024782,0,0.0,9
10,0.8949100481164949,3,0.3,7
11,1.7065329289259759,2,0.18181818181818182,9
12,0.9882996050422977,3,0.25,9
13,1.600236370174743,3,0.23076923076923078,10
14,1.7071847290454591,3,0.21428571428571427,11
15,0.8654302648491787,8,0.5333333333333333,7
16,1.1695580433919661,7,0.4375,9
17,1.472739108075498,4,0.23529411764705882,13
18,1.0748753183517552,7,0.3888888888888889,11
19,0.8085304252458938,10,0.5263157894736842,9
20,1.4048727550666298,9,0.45,11
21,0.9827513109790174,6,0.2857142857142857,15
22,1.1360070654466408,7,0.3181818181818182,15
23,1.092629616471033,9,0.391304347826087,14
24,1.6086473607227598,6,0.25,18
25,0.8252138044462214,11,0.44,14
26,0.622464181670493,16,0.6153846153846154,10
27,0.8844878570712804,11,0.4074074074074074,16
28,0.6034995402651684,19,0.6785714285714286,9
29,0.8550337849769136,12,0.41379310344827586,17
30,1.2209137266957957,8,0.26666666666666666,22
31,0.7018045279346613,13,0.41935483870967744,18
32,0.7635010790714332,15,0.46875,17
33,0.8154485861285485,12,0.36363636363636365,21
34,0.5966448895097728,22,0.6470588235294118,12
35,0.6790592606864001,15,0.42857142857142855,20
36,1.132005578905728,9,0.25,27
37,0.6667036975158187,15,0.40540540540540543,22
38,0.6209379625369019,19,0.5,19
39,0.5740910066862202,21,0.5384615384615384,18
40,0.5536917712827902,20,0.5,20
41,0.45549933600800585,22,0.5365853658536586,19
42,0.7436469721609569,24,0.5714285714285714,18
43,0.6936894404970777,24,0.5581395348837209,19
44,0.7183774086395041,23,0.5227272727272727,21
45,0.423900252239529,29,0.6444444444444445,16
46,1.0727064654114244,7,0.15217391304347827,39
47,0.42377791609982357,30,0.6382978723404256,17
48,0.5807835324100419,17,0.3541666666666667,31
49,0.6819058412577,25,0.5102040816326531,24
50,0.4099079677249261,34,0.68,16
51,0.48046549606168,31,0.6078431372549019,20
52,0.3043086761006215,36,0.6923076923076923,16
53,0.49313768076230746,26,0.49056603773584906,27
54,0.3608413946670103,33,0.6111111111111112,21
55,0.5137403584657145,23,0.41818181818181815,32
56,0.5085048513089818,28,0.5,28
57,0.4023248542142225,31,0.543859649122807,26
58,0.5143768676682586,26,0.4482758620689655,32
59,0.5130594888502786,25,0.423728813559322,34
60,0.6968151746811452,25,0.4166666666666667,35
61,0.6720561578205272,20,0.32786885245901637,41
62,0.8478039948112804,19,0.3064516129032258,43
63,0.3345261638358941,46,0.7301587301587301,17
64,0.6081500474275541,32,0.5,32
65,0.4483631185468485,32,0.49230769230769234,33
66,0.26196317042595507,51,0.7727272727272727,15
67,0.2433769623621284,47,0.7014925373134329,20
68,0.4698310995650202,28,0.4117647058823529,40
69,0.4578985043564574,32,0.463768115942029,37
70,0.414594356849987,34,0.4857142857142857,36
71,0.29392107842771326,44,0.6197183098591549,27
72,0.33265965474800685,41,0.5694444444444444,31
73,0.4040661380745133,38,0.5205479452054794,35
74,0.2940320097044412,58,0.7837837837837838,16
75,0.5566650499361125,29,0.38666666666666666,46
76,0.42880102119428504,35,0.4605263157894737,41
77,0.364508064308302,42,0.5454545454545454,35
78,0.24306010068176465,53,0.6794871794871795,25
79,0.36042275788406053,51,0.6455696202531646,28
80,0.26358133676611273,54,0.675,26
81,0.27459061227411646,58,0.7160493827160493,23
82,0.2964521551211913,58,0.7073170731707317,24
83,0.2250342273074242,60,0.7228915662650602,23
84,0.26047663529985854,70,0.8333333333333334,14
85,0.20701104830911313,64,0.7529411764705882,21
86,0.9273705840831677,41,0.47674418604651164,45
87,0.2738074716292301,53,0.6091954022988506,34
88,0.21056504711521523,76,0.8636363636363636,12
89,0.2076222227651953,62,0.6966292134831461,27
90,0.25020059952144,62,0.6888888888888889,28
91,0.5888814158039788,32,0.3516483516483517,59
92,0.24043020291393588,69,0.75,23
93,0.2984121674030324,63,0.6774193548387096,30
94,0.20802613086815885,74,0.7872340425531915,20
95,0.3052037015401857,59,0.6210526315789474,36
96,1.0524167904456623,39,0.40625,57
97,0.22834455091252986,81,0.8350515463917526,16
98,0.2748489356248709,59,0.6020408163265306,39
99,0.17368566782158504,80,0.8080808080808081,19
100,0.1824092854091809,77,0.77,23
101,0.2557864079483989,61,0.6039603960396039,40
102,0.32292116086375955,58,0.5686274509803921,44
103,0.2953539023766816,62,0.6019417475728155,41
104,0.3092554788992582,75,0.7211538461538461,29
105,0.17207670635984318,84,0.8,21
106,0.24580206935486013,86,0.8113207547169812,20
107,0.8931730786536051,39,0.3644859813084112,68
108,0.18597572716479135,84,0.7777777777777778,24
109,0.3198385077076887,48,0.44036697247706424,61
110,0.24045350521939823,66,0.6,44
111,0.23860256305305966,83,0.7477477477477478,28
112,1.1117909939911854,47,0.41964285714285715,65
113,0.24729165993245183,92,0.8141592920353983,21
114,0.3098007925060261,62,0.543859649122807,52
115,0.47855119212391556,65,0.5652173913043478,50
116,0.4312360179272175,61,0.5258620689655172,55
117,0.2767094437287868,49,0.4188034188034188,68
118,0.20444946285214213,90,0.7627118644067796,28
119,0.1923439291023918,81,0.680672268907563,38
120,0.2598587213253084,76,0.6333333333333333,44
121,0.26776863669922024,88,0.7272727272727273,33
122,0.3025166243797517,63,0.5163934426229508,59
123,0.28611965046311433,60,0.4878048780487805,63
124,0.22016516807552317,82,0.6612903225806451,42
125,0.2981459276353299,74,0.592,51
126,0.36371433343705684,49,0.3888888888888889,77
127,0.31428803350130186,73,0.5748031496062992,54
128,0.2947111185577929,66,0.515625,62
129,0.274978597170306,83,0.6434108527131783,46
130,0.20314120157834328,98,0.7538461538461538,32
131,0.3022335305674018,58,0.44274809160305345,73
132,0.22521911109029893,82,0.6212121212121212,50
133,0.3279269868789931,85,0.6390977443609023,48
134,0.1328447138736569,110,0.8208955223880597,24
135,0.2903957904769794,64,0.4740740740740741,71
136,0.23220024418254984,97,0.7132352941176471,39
137,0.2457108125356967,100,0.7299270072992701,37
138,0.2517180668521213,101,0.7318840579710145,37
139,0.27625872039264704,91,0.6546762589928058,48
140,0.14489003234520342,111,0.7928571428571428,29
141,0.2404329281786447,87,0.6170212765957447,54
142,0.20495690238349795,103,0.7253521126760564,39
143,0.21473898109092043,97,0.6783216783216783,46
144,0.37726045498049016,66,0.4583333333333333,78
145,0.14869588067906314,103,0.7103448275862069,42
146,0.24098487917656425,96,0.6575342465753424,50
147,0.3146877155837481,83,0.564625850340136,64
148,0.1727760883792942,119,0.8040540540540541,29
149,0.1817912007462655,115,0.7718120805369127,34
