NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.9246569081681129,0,0.0,2
3,2.6440926331708203,0,0.0,3
4,3.2087071996224505,0,0.0,4
5,2.728143835056545,0,0.0,5
6,3.0572811425036854,0,0.0,6
7,2.6811298394801026,0,0.0,7
8,2.549482982374082,0,0.0,8
9,2.2734522701295736,1,0.1111111111111111,8
10,2.122479966104285,1,0.1,9
11,1.9873240055714412,1,0.09090909090909091,10
12,1.9220751765214514,2,0.16666666666666666,10
13,1.5351026675266928,3,0.23076923076923078,10
14,1.6448528318782405,2,0.14285714285714285,12
15,1.538521284801662,4,0.26666666666666666,11
16,1.511424997191292,4,0.25,12
17,1.1951333734213199,4,0.23529411764705882,13
18,1.4350304622172414,4,0.2222222222222222,14
19,1.2091432190914688,7,0.3684210526315789,12
20,1.0654313335059857,5,0.25,15
21,1.0375862148140043,8,0.38095238095238093,13
22,0.800970465223932,8,0.36363636363636365,14
23,0.963524357225525,9,0.391304347826087,14
24,0.8930532704630187,8,0.3333333333333333,16
25,1.1555587242570184,8,0.32,17
26,0.7841266672720303,11,0.4230769230769231,15
27,0.84508518744204,9,0.3333333333333333,18
28,0.93888439419122,10,0.35714285714285715,18
29,0.6443201503120082,11,0.3793103448275862,18
30,0.7687484654669086,13,0.43333333333333335,17
31,0.6568918345045613,15,0.4838709677419355,16
32,0.786233304183826,12,0.375,20
33,0.7021545430085154,13,0.3939393939393939,20
34,0.6998508795187248,14,0.4117647058823529,20
35,0.657949166973368,14,0.4,21
36,0.5481458576801791,17,0.4722222222222222,19
37,0.6711086036054739,16,0.43243243243243246,21
38,0.5169685174432823,19,0.5,19
39,0.6530457029392002,18,0.46153846153846156,21
40,0.6010666154948127,18,0.45,22
41,0.5699185539280367,22,0.5365853658536586,19
42,0.615622458192173,21,0.5,21
43,0.6254750062335321,20,0.46511627906976744,23
44,0.6198996106112132,19,0.4318181818181818,25
45,0.6310573482024922,23,0.5111111111111111,22
46,0.5505564484576223,23,0.5,23
47,0.4378349107697316,29,0.6170212765957447,18
48,0.59233431203937,23,0.4791666666666667,25
49,0.4983614493730988,29,0.5918367346938775,20
50,0.43791172766573727,30,0.6,20
51,0.5343994960410489,25,0.49019607843137253,26
52,0.5013336177308254,28,0.5384615384615384,24
53,0.48805972536123465,31,0.5849056603773585,22
54,0.4733411393109388,30,0.5555555555555556,24
55,0.4468142480523931,35,0.6363636363636364,20
56,0.41376881382463715,34,0.6071428571428571,22
57,0.5112652596255005,32,0.5614035087719298,25
58,0.4849745423378685,31,0.5344827586206896,27
59,0.48781140938098844,38,0.6440677966101694,21
60,0.5467807583993524,34,0.5666666666666667,26
61,0.4982129725978388,31,0.5081967213114754,30
62,0.4302306643835683,32,0.5161290322580645,30
63,0.48293679323330896,40,0.6349206349206349,23
64,0.451128609267559,38,0.59375,26
65,0.5013340006344927,35,0.5384615384615384,30
66,0.3894248730529597,42,0.6363636363636364,24
67,0.4944947426850206,40,0.5970149253731343,27
68,0.46916792993190126,43,0.6323529411764706,25
69,0.48212081783642474,44,0.6376811594202898,25
70,0.4267356911572942,47,0.6714285714285714,23
71,0.3876937115223946,45,0.6338028169014085,26
72,0.41683690127356265,46,0.6388888888888888,26
73,0.37926516228921003,48,0.6575342465753424,25
74,0.4953461269471062,43,0.581081081081081,31
75,0.4229328443389793,47,0.6266666666666667,28
76,0.453696198177929,44,0.5789473684210527,32
77,0.42791740552104407,44,0.5714285714285714,33
78,0.37490294788324574,54,0.6923076923076923,24
79,0.43816541285427346,48,0.6075949367088608,31
80,0.4177802062100829,49,0.6125,31
81,0.3744224784202313,53,0.654320987654321,28
82,0.3990873682055178,46,0.5609756097560976,36
83,0.4246840732199375,48,0.5783132530120482,35
84,0.4100356132769088,54,0.6428571428571429,30
85,0.39743358824602953,48,0.5647058823529412,37
86,0.40675166071091196,55,0.6395348837209303,31
87,0.3942986355243159,56,0.6436781609195402,31
88,0.4453640742618722,49,0.5568181818181818,39
89,0.40773830313139,60,0.6741573033707865,29
90,0.3232459814911211,64,0.7111111111111111,26
91,0.3435862522993668,63,0.6923076923076923,28
92,0.4181307219074619,63,0.6847826086956522,29
93,0.3741230176058854,63,0.6774193548387096,30
94,0.34294957791652037,62,0.6595744680851063,32
95,0.3969169280797422,64,0.6736842105263158,31
96,0.3379637666156712,70,0.7291666666666666,26
97,0.31450052018814423,67,0.6907216494845361,30
98,0.367427897160606,73,0.7448979591836735,25
99,0.3425668743361229,58,0.5858585858585859,41
100,0.3681568393864282,64,0.64,36
101,0.35437167656258756,68,0.6732673267326733,33
102,0.3857088537689595,62,0.6078431372549019,40
103,0.38903475067283605,63,0.6116504854368932,40
104,0.3277124063459299,75,0.7211538461538461,29
105,0.38333418570434474,73,0.6952380952380952,32
106,0.33281050888607044,75,0.7075471698113207,31
107,0.3526324340858333,77,0.719626168224299,30
108,0.30243869344415236,73,0.6759259259259259,35
109,0.3950923291730209,72,0.6605504587155964,37
110,0.3724158619748966,79,0.7181818181818181,31
111,0.3933084317526693,72,0.6486486486486487,39
112,0.34281975438153384,75,0.6696428571428571,37
113,0.3196718690422222,79,0.6991150442477876,34
114,0.2980664618989275,79,0.6929824561403509,35
115,0.2849036562379469,85,0.7391304347826086,30
116,0.2906776149868632,80,0.6896551724137931,36
117,0.3614947829956139,83,0.7094017094017094,34
118,0.3884902027652184,82,0.6949152542372882,36
119,0.3079124939988893,89,0.7478991596638656,30
120,0.3609597289007033,79,0.6583333333333333,41
121,0.2885112238357337,86,0.7107438016528925,35
122,0.33693198831844,85,0.6967213114754098,37
123,0.2838369675137435,93,0.7560975609756098,30
124,0.316979712652543,91,0.7338709677419355,33
125,0.2962881492292769,92,0.736,33
126,0.2930521520533984,98,0.7777777777777778,28
127,0.33724384306571675,92,0.7244094488188977,35
128,0.36180214285944473,83,0.6484375,45
129,0.29068319332634196,91,0.7054263565891473,38
130,0.3375719555700699,94,0.7230769230769231,36
131,0.3299733297151224,89,0.6793893129770993,42
132,0.28465538414581143,102,0.7727272727272727,30
133,0.2719159465483847,99,0.7443609022556391,34
134,0.2861752725652899,99,0.7388059701492538,35
135,0.2582556465790681,105,0.7777777777777778,30
136,0.2828323240137765,100,0.7352941176470589,36
137,0.2856123712742467,102,0.7445255474452555,35
138,0.3068559220889371,103,0.7463768115942029,35
139,0.28859256662743143,100,0.7194244604316546,39
140,0.35025690410848426,97,0.6928571428571428,43
141,0.27239341967128095,106,0.75177304964539,35
142,0.29000955319852645,112,0.7887323943661971,30
143,0.2964364509405861,110,0.7692307692307693,33
144,0.3007053941673802,91,0.6319444444444444,53
145,0.27867221820786303,104,0.7172413793103448,41
146,0.2903102554791959,106,0.726027397260274,40
147,0.3514780729636083,105,0.7142857142857143,42
148,0.2874345325095329,110,0.7432432432432432,38
149,0.24834257584134672,115,0.7718120805369127,34
150,0.31406895487986025,109,0.7266666666666667,41
151,0.24508109627769914,116,0.7682119205298014,35
152,0.3132688344689308,112,0.7368421052631579,40
153,0.2804835543295923,116,0.7581699346405228,37
154,0.291610788461074,117,0.7597402597402597,37
155,0.2853057785223965,113,0.7290322580645161,42
156,0.24590952751503128,122,0.782051282051282,34
157,0.2821567390435283,119,0.7579617834394905,38
158,0.2594993327450008,110,0.6962025316455697,48
159,0.29092688045605786,125,0.7861635220125787,34
160,0.24004158897675476,128,0.8,32
161,0.2447793182789083,126,0.782608695652174,35
162,0.2656850763966354,119,0.7345679012345679,43
163,0.31300269085857957,106,0.6503067484662577,57
164,0.2646791829989289,131,0.7987804878048781,33
165,0.2643716394927413,125,0.7575757575757576,40
166,0.2635073516269163,126,0.7590361445783133,40
167,0.331810494612538,119,0.7125748502994012,48
168,0.27240218700370955,129,0.7678571428571429,39
169,0.2933206910118397,125,0.7396449704142012,44
170,0.2401407201269904,137,0.8058823529411765,33
171,0.29561837375280864,122,0.7134502923976608,49
172,0.2732808882000427,127,0.7383720930232558,45
173,0.2300856203708257,136,0.7861271676300579,37
174,0.31258914326668685,110,0.632183908045977,64
175,0.2816495493812453,122,0.6971428571428572,53
176,0.24287774672067874,137,0.7784090909090909,39
177,0.28698481984108837,125,0.7062146892655368,52
178,0.28527875462630653,138,0.7752808988764045,40
179,0.28614213929721866,127,0.7094972067039106,52
180,0.25282630028409014,146,0.8111111111111111,34
181,0.2429456747686698,138,0.7624309392265194,43
182,0.24587987715001905,147,0.8076923076923077,35
183,0.2825589640624052,134,0.73224043715847,49
184,0.3016760618779011,129,0.7010869565217391,55
185,0.2328006949290954,147,0.7945945945945946,38
186,0.229737858687339,146,0.7849462365591398,40
187,0.2800743185545967,143,0.7647058823529411,44
188,0.24688780359338613,149,0.7925531914893617,39
189,0.2772498855487941,125,0.6613756613756614,64
190,0.24687377362712032,153,0.8052631578947368,37
191,0.2329070948225364,150,0.7853403141361257,41
192,0.22071247236221106,151,0.7864583333333334,41
193,0.2300450412726855,160,0.8290155440414507,33
194,0.23007774624079988,160,0.8247422680412371,34
195,0.2627474425228819,149,0.764102564102564,46
196,0.23505680572991805,163,0.8316326530612245,33
197,0.23954373703907905,138,0.700507614213198,59
198,0.23043356423574496,158,0.797979797979798,40
199,0.2400606314406592,159,0.7989949748743719,40
200,0.3013159859140173,139,0.695,61
201,0.2704248183325072,142,0.7064676616915423,59
