NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.5578347320098591,0,0.0,2
3,1.5993050550357264,0,0.0,3
4,1.7458275042985438,0,0.0,4
5,1.5177952970341742,0,0.0,5
6,1.2988344609660083,0,0.0,6
7,1.252447515931508,0,0.0,7
8,1.1639916868375892,0,0.0,8
9,1.000881397765367,2,0.2222222222222222,7
10,1.0069134448042012,2,0.2,8
11,1.0880905986145768,1,0.09090909090909091,10
12,0.9507132295562027,2,0.16666666666666666,10
13,0.692728287826993,5,0.38461538461538464,8
14,0.8494131518657716,3,0.21428571428571427,11
15,0.6908602347196977,6,0.4,9
16,0.7056225051753741,6,0.375,10
17,0.6899678098847541,7,0.4117647058823529,10
18,0.6110140853259692,8,0.4444444444444444,10
19,0.6106308895999975,9,0.47368421052631576,10
20,0.5728783615764279,9,0.45,11
21,0.583583888566277,9,0.42857142857142855,12
22,0.5755309799669018,10,0.45454545454545453,12
23,0.4514050128798741,14,0.6086956521739131,9
24,0.47273541414703774,15,0.625,9
25,0.6203693514335487,12,0.48,13
26,0.5234621457727205,13,0.5,13
27,0.5082123930169636,12,0.4444444444444444,15
28,0.4268837073444035,17,0.6071428571428571,11
29,0.430513284799129,16,0.5517241379310345,13
30,0.48229420532383216,16,0.5333333333333333,14
31,0.46128152903638997,17,0.5483870967741935,14
32,0.5552053363047504,15,0.46875,17
33,0.5030047904747161,18,0.5454545454545454,15
34,0.4744047501412814,19,0.5588235294117647,15
35,0.566787075414848,18,0.5142857142857142,17
36,0.37736648153641184,25,0.6944444444444444,11
37,0.4751955120109104,21,0.5675675675675675,16
38,0.5909238656462583,17,0.4473684210526316,21
39,0.4240273086491839,24,0.6153846153846154,15
40,0.46720647232928997,21,0.525,19
41,0.505194055275356,20,0.4878048780487805,21
42,0.4714973012474824,23,0.5476190476190477,19
43,0.3646457759362755,28,0.6511627906976745,15
44,0.3862078466220009,30,0.6818181818181818,14
45,0.39276297943290733,31,0.6888888888888889,14
46,0.35170645612109774,33,0.717391304347826,13
