NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7871510954231482,0,0.0,2
3,0.7463350820777104,0,0.0,3
4,0.811931006696306,0,0.0,4
5,0.5706845441817825,1,0.2,4
6,0.6575695324611315,1,0.16666666666666666,5
7,0.6689260922961552,1,0.14285714285714285,6
8,0.48142017434534207,3,0.375,5
9,0.5106753277884589,3,0.3333333333333333,6
10,0.5440072483130991,2,0.2,8
11,0.3826700473418805,4,0.36363636363636365,7
12,0.46171067955091954,3,0.25,9
13,0.48401394972162237,4,0.3076923076923077,9
14,0.5471234797702751,3,0.21428571428571427,11
15,0.7399820349486589,1,0.06666666666666667,14
16,0.29302661190105456,8,0.5,8
17,0.47551004295880184,4,0.23529411764705882,13
18,0.29483797408539325,8,0.4444444444444444,10
19,0.35790173602042635,9,0.47368421052631576,10
20,0.5730308920416723,2,0.1,18
21,0.3909733636198052,6,0.2857142857142857,15
22,0.42902726082785225,5,0.22727272727272727,17
23,0.3470793670374194,8,0.34782608695652173,15
24,0.24826022454937244,10,0.4166666666666667,14
25,0.23073981405285768,13,0.52,12
26,0.26629789099020745,8,0.3076923076923077,18
27,0.4191142297255453,8,0.2962962962962963,19
28,0.21890868474598724,10,0.35714285714285715,18
29,0.474263681674056,6,0.20689655172413793,23
30,0.2949316537195056,14,0.4666666666666667,16
31,0.1875926938731046,19,0.6129032258064516,12
32,0.42932509995255275,5,0.15625,27
33,0.3368673488892232,14,0.42424242424242425,19
34,0.46380443278036965,9,0.2647058823529412,25
35,0.3024550268784062,6,0.17142857142857143,29
36,0.4668735646800691,6,0.16666666666666666,30
37,0.26574388277860117,13,0.35135135135135137,24
38,0.2565836362726413,20,0.5263157894736842,18
39,0.22560066895337685,14,0.358974358974359,25
40,0.19979066201908707,18,0.45,22
41,0.3312572368574724,9,0.21951219512195122,32
42,0.2181860343817412,18,0.42857142857142855,24
43,0.13603350997017913,23,0.5348837209302325,20
44,0.27464263605084965,14,0.3181818181818182,30
45,0.26611890971611296,13,0.28888888888888886,32
46,0.3589403178125,5,0.10869565217391304,41
47,0.32380002628576626,12,0.2553191489361702,35
48,0.25757646498145603,22,0.4583333333333333,26
49,0.3100708680552523,12,0.24489795918367346,37
50,0.25440253642672517,18,0.36,32
51,0.1235993744716281,34,0.6666666666666666,17
52,0.4173296161363344,17,0.3269230769230769,35
53,0.3905842346209729,17,0.32075471698113206,36
54,0.16629812853552162,22,0.4074074074074074,32
55,0.18043073485498254,24,0.43636363636363634,31
56,0.16204639851359534,32,0.5714285714285714,24
57,0.18274300728717763,26,0.45614035087719296,31
58,0.33508836543401677,17,0.29310344827586204,41
59,0.16868308963063453,26,0.4406779661016949,33
60,0.1744523770954514,25,0.4166666666666667,35
61,0.13040552988860332,32,0.5245901639344263,29
62,0.10849694029922827,40,0.6451612903225806,22
63,0.1742321111959903,24,0.38095238095238093,39
64,0.2953838393937761,15,0.234375,49
65,0.14312975689801768,33,0.5076923076923077,32
66,0.2983416170821206,21,0.3181818181818182,45
67,0.2658662781789658,20,0.29850746268656714,47
68,0.46671310831992097,12,0.17647058823529413,56
69,0.1975511180444035,23,0.3333333333333333,46
70,0.22791116049377647,28,0.4,42
71,0.1796610620305808,26,0.36619718309859156,45
72,0.2768263743196073,29,0.4027777777777778,43
73,0.10571526078370766,47,0.6438356164383562,26
74,0.35931613473110036,25,0.33783783783783783,49
75,0.11391825831163235,40,0.5333333333333333,35
76,0.15895229007130468,25,0.32894736842105265,51
77,0.13860272421722103,32,0.4155844155844156,45
78,0.3132319804326245,10,0.1282051282051282,68
79,0.13619898534282532,35,0.4430379746835443,44
80,0.3303400755254565,27,0.3375,53
81,0.4131599704466313,10,0.12345679012345678,71
82,0.11166938416375131,50,0.6097560975609756,32
83,0.1399465652391237,41,0.4939759036144578,42
84,0.1336215367567599,40,0.47619047619047616,44
85,0.12626985214898792,42,0.49411764705882355,43
86,0.20170694110511628,29,0.3372093023255814,57
87,0.10698549998337309,47,0.5402298850574713,40
88,0.1358325409145389,42,0.4772727272727273,46
89,0.16561398096207727,35,0.39325842696629215,54
90,0.24285235729704616,36,0.4,54
91,0.1445537835620947,33,0.3626373626373626,58
92,0.14918755916863277,34,0.3695652173913043,58
93,0.18728347816944568,44,0.4731182795698925,49
94,0.07707120588482608,60,0.6382978723404256,34
95,0.16097176004420968,33,0.3473684210526316,62
96,0.07508677579382039,56,0.5833333333333334,40
97,0.09652301446580534,43,0.44329896907216493,54
98,0.22229514947286177,19,0.19387755102040816,79
99,0.10878859779058722,40,0.40404040404040403,59
100,0.1891184040560239,22,0.22,78
101,0.07755105793497973,57,0.5643564356435643,44
102,0.13505868548555974,28,0.27450980392156865,74
103,0.12890258163834867,45,0.4368932038834951,58
104,0.1633527816556688,39,0.375,65
105,0.2914784170314143,18,0.17142857142857143,87
106,0.12311471673731622,36,0.33962264150943394,70
107,0.18077273515103992,35,0.32710280373831774,72
108,0.14293309987440048,36,0.3333333333333333,72
109,0.1269399638784069,49,0.44954128440366975,60
110,0.13303687386135782,40,0.36363636363636365,70
111,0.32322767865007707,32,0.2882882882882883,79
112,0.07451855954464479,51,0.45535714285714285,61
113,0.15514515426965256,51,0.45132743362831856,62
114,0.1737147197714482,24,0.21052631578947367,90
115,0.057939720164382834,83,0.7217391304347827,32
116,0.11768486514776597,64,0.5517241379310345,52
117,0.13747469403940163,43,0.36752136752136755,74
118,0.1818627648100682,31,0.2627118644067797,87
119,0.11437700824033994,36,0.3025210084033613,83
120,0.2086985102383233,53,0.44166666666666665,67
121,0.19999681937951497,37,0.30578512396694213,84
122,0.3194193286118287,20,0.16393442622950818,102
123,0.1189856653867721,48,0.3902439024390244,75
124,0.16902000263713512,42,0.3387096774193548,82
125,0.1886282103012583,34,0.272,91
126,0.21767046601234352,48,0.38095238095238093,78
127,0.08944532789259796,55,0.4330708661417323,72
128,0.179130549616226,35,0.2734375,93
129,0.09309865621615321,77,0.5968992248062015,52
130,0.15310482151049865,35,0.2692307692307692,95
131,0.1513323462403423,43,0.3282442748091603,88
132,0.1410022698664713,30,0.22727272727272727,102
133,0.3271821402018159,39,0.2932330827067669,94
134,0.1377589953782592,56,0.417910447761194,78
135,0.1044391785489576,48,0.35555555555555557,87
136,0.10051720535087133,45,0.33088235294117646,91
137,0.0601436113352537,78,0.5693430656934306,59
138,0.060049609434584816,84,0.6086956521739131,54
139,0.058476708034464135,81,0.5827338129496403,58
140,0.13795819927929637,45,0.32142857142857145,95
141,0.09464439771484097,51,0.3617021276595745,90
142,0.07294343698565273,74,0.5211267605633803,68
143,0.057755020431792294,90,0.6293706293706294,53
144,0.06915069283799989,71,0.4930555555555556,73
145,0.13962876673749328,73,0.503448275862069,72
146,0.11369508668528323,50,0.3424657534246575,96
147,0.13108032785918594,34,0.23129251700680273,113
148,0.15957575919980987,51,0.34459459459459457,97
149,0.06826487477651769,66,0.4429530201342282,83
150,0.1428615334281866,31,0.20666666666666667,119
151,0.05915519889426044,92,0.609271523178808,59
152,0.1574154846062851,48,0.3157894736842105,104
153,0.25727711300981304,49,0.3202614379084967,104
154,0.07716659186871806,68,0.44155844155844154,86
155,0.15962865687413846,30,0.1935483870967742,125
156,0.28775684511023497,51,0.3269230769230769,105
157,0.16660600257854863,40,0.25477707006369427,117
158,0.1030480886184715,63,0.3987341772151899,95
159,0.11457379523433134,57,0.3584905660377358,102
160,0.11204540304210678,51,0.31875,109
161,0.05665545059316643,102,0.6335403726708074,59
162,0.1403555517489592,56,0.345679012345679,106
163,0.11650838107190334,76,0.4662576687116564,87
164,0.3997228047028848,21,0.12804878048780488,143
165,0.13969936692223772,30,0.18181818181818182,135
166,0.07223648246198466,79,0.4759036144578313,87
167,0.11100745634909952,74,0.4431137724550898,93
168,0.08855072553423932,53,0.31547619047619047,115
169,0.08876640270198233,73,0.4319526627218935,96
170,0.06907160037214476,78,0.4588235294117647,92
171,0.06671221708818965,81,0.47368421052631576,90
172,0.16762566543568025,48,0.27906976744186046,124
173,0.18139755178313888,45,0.26011560693641617,128
174,0.1933215148621995,52,0.2988505747126437,122
175,0.14532711645566362,55,0.3142857142857143,120
176,0.07356443390282413,80,0.45454545454545453,96
177,0.10786635081586635,77,0.4350282485875706,100
178,0.10685565128958734,62,0.34831460674157305,116
179,0.1903463212471954,38,0.2122905027932961,141
180,0.16647609935159316,24,0.13333333333333333,156
181,0.17171851665524346,62,0.3425414364640884,119
182,0.16492447810213892,51,0.2802197802197802,131
183,0.29264040197214103,36,0.19672131147540983,147
184,0.17387841402276685,70,0.3804347826086957,114
185,0.16142687949802265,39,0.21081081081081082,146
186,0.10317818954006247,72,0.3870967741935484,114
187,0.09270933431733523,55,0.29411764705882354,132
188,0.2116988300831067,36,0.19148936170212766,152
189,0.08505078704093469,60,0.31746031746031744,129
190,0.0767332368439665,77,0.4052631578947368,113
191,0.09858159962837237,65,0.3403141361256545,126
192,0.09362747957357274,55,0.2864583333333333,137
193,0.33445398334319326,49,0.2538860103626943,144
194,0.21664551350653866,77,0.39690721649484534,117
195,0.1257481985443292,57,0.2923076923076923,138
196,0.0622184682382503,87,0.44387755102040816,109
197,0.06523158109656316,76,0.38578680203045684,121
198,0.11714801240267855,47,0.23737373737373738,151
199,0.06153670607650344,88,0.44221105527638194,111
200,0.06556142357249364,104,0.52,96
201,0.09644269634169655,56,0.27860696517412936,145
