NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,3.333068243557577,0,0.0,2
3,2.7645151409802455,0,0.0,3
4,2.5865679763540843,0,0.0,4
5,2.3628780352049885,0,0.0,5
6,2.164196744069448,0,0.0,6
7,1.929380277721895,0,0.0,7
8,1.9084908733470423,0,0.0,8
9,1.6154967959911164,0,0.0,9
10,1.6192601029576275,0,0.0,10
11,1.5310188130619107,0,0.0,11
12,1.6190113060223468,0,0.0,12
13,1.7001440816378173,0,0.0,13
14,1.6124410042693946,0,0.0,14
15,1.5821095915725718,0,0.0,15
16,1.5076636465373419,0,0.0,16
17,1.529966549582038,0,0.0,17
18,1.4713620905988294,0,0.0,18
19,1.4168416170810196,0,0.0,19
20,1.4908710212983685,0,0.0,20
21,1.471101348138876,0,0.0,21
22,1.418996458200559,0,0.0,22
23,1.3691020126163735,0,0.0,23
24,1.3265405354361859,0,0.0,24
25,1.2928185625592454,0,0.0,25
26,1.2505573188690218,0,0.0,26
27,1.216069393617466,0,0.0,27
28,1.1840336578256392,0,0.0,28
29,1.137860883872756,1,0.034482758620689655,28
30,1.1133620598400646,1,0.03333333333333333,29
31,1.088841885056572,1,0.03225806451612903,30
32,1.0672108126223163,0,0.0,32
33,1.0445472240684581,2,0.06060606060606061,31
34,1.0104197157177217,2,0.058823529411764705,32
35,1.0009375505520453,1,0.02857142857142857,34
36,1.0001548228741137,1,0.027777777777777776,35
37,0.9785506490997958,2,0.05405405405405406,35
38,0.99771719830852,1,0.02631578947368421,37
39,0.9852601870485023,1,0.02564102564102564,38
40,0.9535949567421897,1,0.025,39
41,0.9506508627031016,1,0.024390243902439025,40
42,0.9097831676846099,2,0.047619047619047616,40
43,0.9445825002794805,1,0.023255813953488372,42
44,0.9264653758213933,2,0.045454545454545456,42
45,0.9043804569043019,2,0.044444444444444446,43
46,0.8918510890878251,3,0.06521739130434782,43
47,0.8648904652385132,3,0.06382978723404255,44
48,0.8653719615591444,2,0.041666666666666664,46
49,0.8619325245190115,2,0.04081632653061224,47
50,0.8336113720637559,5,0.1,45
51,0.8018421217566454,4,0.0784313725490196,47
52,0.8143106411155908,3,0.057692307692307696,49
53,0.8085353819218473,4,0.07547169811320754,49
54,0.7883604272599356,5,0.09259259259259259,49
55,0.8046559452497891,4,0.07272727272727272,51
56,0.773774311683929,5,0.08928571428571429,51
57,0.7679190790016388,5,0.08771929824561403,52
58,0.7674584045269734,7,0.1206896551724138,51
59,0.7509330726244973,5,0.0847457627118644,54
60,0.7271633460394423,8,0.13333333333333333,52
61,0.7492092560179734,6,0.09836065573770492,55
62,0.7269671386883098,5,0.08064516129032258,57
63,0.7517397642698029,5,0.07936507936507936,58
64,0.6912512865000086,10,0.15625,54
65,0.7319050493408644,7,0.1076923076923077,58
66,0.7019226345617684,7,0.10606060606060606,59
67,0.7033287402640762,6,0.08955223880597014,61
68,0.6980697631827989,7,0.10294117647058823,61
69,0.6998241916695458,9,0.13043478260869565,60
70,0.6696957387547806,9,0.12857142857142856,61
71,0.6798705945629161,8,0.11267605633802817,63
72,0.6747993770933114,8,0.1111111111111111,64
73,0.6550695503045642,10,0.136986301369863,63
74,0.6676076044518283,9,0.12162162162162163,65
75,0.6507307870386274,8,0.10666666666666667,67
76,0.6432690612958128,9,0.11842105263157894,67
77,0.6641997333914044,9,0.11688311688311688,68
78,0.618769854888687,14,0.1794871794871795,64
79,0.64035317121723,10,0.12658227848101267,69
80,0.6482336270982137,12,0.15,68
81,0.6417552965705111,13,0.16049382716049382,68
82,0.6119675597058305,12,0.14634146341463414,70
83,0.6195522448848759,11,0.13253012048192772,72
84,0.6184997815112302,13,0.15476190476190477,71
85,0.6356177248971747,11,0.12941176470588237,74
86,0.6057159520513168,12,0.13953488372093023,74
87,0.6081381089830833,15,0.1724137931034483,72
88,0.614677136622946,16,0.18181818181818182,72
89,0.6114764032760068,13,0.14606741573033707,76
90,0.6062845048493495,12,0.13333333333333333,78
91,0.5915019265564738,16,0.17582417582417584,75
92,0.625464420164425,14,0.15217391304347827,78
93,0.5909883296443459,14,0.15053763440860216,79
94,0.5718163832966597,17,0.18085106382978725,77
95,0.6012056975909387,14,0.14736842105263157,81
96,0.5849376678221281,16,0.16666666666666666,80
97,0.5702463655176773,15,0.15463917525773196,82
98,0.5740485050764361,17,0.17346938775510204,81
99,0.5743430752415248,18,0.18181818181818182,81
100,0.5602035244195486,18,0.18,82
101,0.5851569399597251,17,0.16831683168316833,84
102,0.5535177302571319,20,0.19607843137254902,82
103,0.5515292445898098,19,0.18446601941747573,84
104,0.5626336430752439,17,0.16346153846153846,87
105,0.5344733707867166,19,0.18095238095238095,86
