NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,3.715355023390738,0,0.0,2
3,2.061901818439895,0,0.0,3
4,1.8717846316920386,0,0.0,4
5,2.8452678176965565,0,0.0,5
6,2.1768156250857817,0,0.0,6
7,2.5125150265511285,0,0.0,7
8,2.4576675764144973,0,0.0,8
9,1.8908161096296943,0,0.0,9
10,0.9980974771792649,0,0.0,10
11,1.074226785557797,0,0.0,11
12,1.1111108109702763,0,0.0,12
13,0.9585156181209804,0,0.0,13
14,1.0313656008522696,0,0.0,14
15,0.9210143740537176,0,0.0,15
16,0.8167985316337683,0,0.0,16
17,0.8017652742906642,0,0.0,17
18,0.8168797271759196,0,0.0,18
19,0.7432419930744307,0,0.0,19
20,0.7104557800795849,0,0.0,20
21,0.6574517592755779,0,0.0,21
22,0.6738406442565761,0,0.0,22
23,0.6999845965461808,0,0.0,23
24,0.702146608682256,0,0.0,24
25,0.6384099317735507,0,0.0,25
26,0.6209486610851916,0,0.0,26
27,0.662481029211323,0,0.0,27
28,0.6281490103882217,0,0.0,28
29,0.6481392358432962,0,0.0,29
30,0.617961986981639,0,0.0,30
31,0.6124765253725696,0,0.0,31
32,0.6132068701683082,0,0.0,32
33,0.6157203189873863,0,0.0,33
34,0.6516277413971502,0,0.0,34
35,0.6221650475555729,0,0.0,35
36,0.6014828855357438,0,0.0,36
37,0.6016881666249839,0,0.0,37
38,0.5865722229707815,0,0.0,38
39,0.5989400588655235,0,0.0,39
40,0.5606046297229554,0,0.0,40
41,0.5823363848660517,0,0.0,41
42,0.5715430537363246,0,0.0,42
43,0.5512764645078547,0,0.0,43
44,0.5723088928913501,0,0.0,44
45,0.5713293849794767,0,0.0,45
46,0.5417707957972536,0,0.0,46
47,0.510982405874842,0,0.0,47
48,0.5589223789894404,0,0.0,48
49,0.523875208680773,0,0.0,49
50,0.5188042550304328,0,0.0,50
51,0.5529067972207671,0,0.0,51
52,0.5298402039859698,0,0.0,52
53,0.527606973034525,0,0.0,53
54,0.5356337605039362,0,0.0,54
55,0.510945706259186,0,0.0,55
56,0.5002217388788096,0,0.0,56
57,0.5127762630808198,0,0.0,57
58,0.5013694033334015,0,0.0,58
59,0.4939696207154049,0,0.0,59
60,0.5043382180011416,0,0.0,60
61,0.48327198160302964,0,0.0,61
62,0.47869353615484567,0,0.0,62
63,0.4881118168477509,0,0.0,63
64,0.4780633765745625,0,0.0,64
65,0.4891384819221075,0,0.0,65
66,0.4672168107948968,0,0.0,66
67,0.4726837945914772,0,0.0,67
68,0.4534424994401506,0,0.0,68
69,0.46063562341102565,0,0.0,69
70,0.45102835183256057,0,0.0,70
71,0.47375151965315043,0,0.0,71
72,0.46536713249724954,0,0.0,72
73,0.46597305115678633,0,0.0,73
74,0.4599235786070136,0,0.0,74
75,0.439158695295093,0,0.0,75
76,0.44356441353113174,0,0.0,76
