NumberOfGroups, ComputingTime
2 , 0.0049
3 , 0.0055
4 , 0.0087
5 , 0.0099
6 , 0.0157
7 , 0.0174
8 , 0.0185
9 , 0.024
10 , 0.0259
11 , 0.0286
12 , 0.0404
13 , 0.0366
14 , 0.0436
15 , 0.0676
16 , 0.0745
17 , 0.0702
18 , 0.0879
19 , 0.0944
20 , 0.1091
21 , 0.107
22 , 0.1012
23 , 0.1097
24 , 0.1075
25 , 0.1255
26 , 0.1273
27 , 0.13
28 , 0.1457
29 , 0.1506
30 , 0.1445
31 , 0.1579
32 , 0.1397
33 , 0.1637
34 , 0.1573
35 , 0.1819
36 , 0.1906
37 , 0.1951
38 , 0.1867
39 , 0.1858
40 , 0.1933
41 , 0.2291
42 , 0.2149
43 , 0.2167
44 , 0.2256
45 , 0.2313
46 , 0.2241
47 , 0.2355
48 , 0.2662
49 , 0.2399
50 , 0.2162
51 , 0.2157
52 , 0.2922
53 , 0.2892
54 , 0.2027
55 , 0.2392
56 , 0.2287
57 , 0.2771
58 , 0.2283
59 , 0.2563
60 , 0.2354
61 , 0.2467
62 , 0.2754
63 , 0.2669
64 , 0.2239
65 , 0.2577
66 , 0.1897
67 , 0.2117
68 , 0.2016
69 , 0.2047
70 , 0.1911
71 , 0.2348
72 , 0.1944
73 , 0.2344
74 , 0.2599
75 , 0.1977
76 , 0.297
77 , 0.2453
78 , 0.2345
79 , 0.237
80 , 0.2544
81 , 0.2511
82 , 0.2556
83 , 0.2319
84 , 0.2693
85 , 0.2776
86 , 0.286
87 , 0.2465
88 , 0.2527
89 , 0.2275
90 , 0.2481
91 , 0.296
92 , 0.2041
93 , 0.2121
94 , 0.2594
95 , 0.2856
96 , 0.2767
97 , 0.2389
98 , 0.2369
99 , 0.2688
100 , 0.2517
101 , 0.3015
102 , 0.2667
103 , 0.2496
104 , 0.2333
105 , 0.2668
106 , 0.2576
107 , 0.2643
108 , 0.2229
109 , 0.2661
110 , 0.245
111 , 0.2749
112 , 0.264
113 , 0.2192
114 , 0.2084
115 , 0.2853
116 , 0.3086
117 , 0.2512
118 , 0.2499
119 , 0.2405
120 , 0.2383
121 , 0.2682
122 , 0.2594
123 , 0.2785
124 , 0.2498
125 , 0.2523
126 , 0.2667
127 , 0.2852
128 , 0.2705
129 , 0.241
130 , 0.2849
131 , 0.2488
132 , 0.2294
133 , 0.2544
134 , 0.2386
135 , 0.2802
136 , 0.2245
137 , 0.2759
138 , 0.2753
139 , 0.2321
140 , 0.2454
141 , 0.2894
142 , 0.3063
143 , 0.264
144 , 0.2197
145 , 0.2517
146 , 0.2602
147 , 0.2189
148 , 0.2686
149 , 0.2781
150 , 0.257
151 , 0.2517
152 , 0.2453
153 , 0.2427
154 , 0.2613
155 , 0.2682
156 , 0.2266
157 , 0.2554
158 , 0.2258
159 , 0.2762
160 , 0.2295
161 , 0.2937
162 , 0.233
163 , 0.1984
164 , 0.2933
165 , 0.2499
166 , 0.2339
167 , 0.2705
168 , 0.2938
169 , 0.208
170 , 0.2383
171 , 0.2606
172 , 0.2455
173 , 0.2708
174 , 0.2341
175 , 0.2429
176 , 0.2196
177 , 0.2506
178 , 0.2424
179 , 0.2704
180 , 0.233
181 , 0.2822
182 , 0.2457
183 , 0.242
184 , 0.2681
185 , 0.2688
186 , 0.2684
187 , 0.2467
188 , 0.2828
189 , 0.2329
190 , 0.2474
191 , 0.2995
192 , 0.2198
193 , 0.1883
194 , 0.2724
195 , 0.2408
196 , 0.2849
197 , 0.2194
198 , 0.2631
199 , 0.2302
200 , 0.2583
201 , 0.2689
