NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
25,2.0917614393480335,0,0.0,25
26,1.5073189747566742,0,0.0,26
27,1.5207097436010628,0,0.0,27
28,2.470662783057832,0,0.0,28
29,1.883103476313556,0,0.0,29
30,2.3883447855287443,0,0.0,30
31,1.8641154808052367,0,0.0,31
32,1.5164512470641496,0,0.0,32
33,1.4059094623839306,0,0.0,33
34,1.7600623631716894,0,0.0,34
35,1.4830067307353603,0,0.0,35
36,1.7215113108972737,0,0.0,36
37,2.0987103618588487,0,0.0,37
38,1.3717547350785673,0,0.0,38
39,1.5486435876432587,0,0.0,39
40,1.39434497928702,0,0.0,40
41,1.4596240557731215,0,0.0,41
42,1.9150799949041521,0,0.0,42
43,1.9727298935341984,0,0.0,43
44,1.8356554425218652,0,0.0,44
45,1.2689449780443298,0,0.0,45
46,1.8060252490111117,0,0.0,46
47,1.9138932033637768,0,0.0,47
48,1.7518926036806162,0,0.0,48
49,1.3385141998887047,0,0.0,49
50,1.11553354621088,0,0.0,50
51,2.043255446670788,0,0.0,51
52,1.121546659474021,0,0.0,52
53,1.6428227919397937,0,0.0,53
54,1.3303403710272788,0,0.0,54
55,1.2865572468553934,0,0.0,55
56,1.629835823830285,0,0.0,56
57,1.157156370315108,0,0.0,57
58,1.165013222577296,0,0.0,58
59,1.6327541985349694,0,0.0,59
60,1.6111570235763826,0,0.0,60
61,1.1412348941280026,0,0.0,61
62,1.5424724342199885,0,0.0,62
63,1.5373505964646959,0,0.0,63
64,1.5235637173228371,0,0.0,64
65,1.4434781008481004,0,0.0,65
66,1.1614156384936063,0,0.0,66
67,1.1793958831093194,0,0.0,67
68,1.5356321226887581,0,0.0,68
69,1.4829414428819758,0,0.0,69
70,1.0616439534620004,0,0.0,70
71,1.126645176116955,0,0.0,71
72,1.1664892032571337,0,0.0,72
73,1.0318015072803246,0,0.0,73
74,1.0635162355074874,0,0.0,74
75,1.4131841111320682,0,0.0,75
76,1.0422107263032394,0,0.0,76
77,1.2630815825526864,0,0.0,77
78,1.0419501184751376,0,0.0,78
79,1.031696921012375,0,0.0,79
80,1.1072530927330937,0,0.0,80
81,1.2520549988487353,0,0.0,81
82,1.3368106735044125,0,0.0,82
83,1.192433129676023,0,0.0,83
84,1.0202692805555114,0,0.0,84
85,1.2112888866784421,0,0.0,85
86,1.230508252361045,0,0.0,86
87,1.2101537887613134,0,0.0,87
88,1.183253122364002,1,0.011363636363636364,87
89,1.0103578219560634,0,0.0,89
90,1.2512101802180267,2,0.022222222222222223,88
91,1.0646789753856545,0,0.0,91
92,1.3018968377507734,0,0.0,92
93,1.1334986227692865,1,0.010752688172043012,92
94,1.1035572982909274,0,0.0,94
95,1.220728404922784,0,0.0,95
96,1.1519692063199671,0,0.0,96
97,1.11638346469169,0,0.0,97
98,0.9211608071713875,0,0.0,98
99,0.9377157951540273,2,0.020202020202020204,97
100,1.3057299223271484,0,0.0,100
101,1.0232004879470737,1,0.009900990099009901,100
102,1.1254483981387424,2,0.0196078431372549,100
103,0.8736577205261741,0,0.0,103
104,1.0695126006385096,0,0.0,104
105,1.1392021155052645,1,0.009523809523809525,104
106,0.9135974007436616,0,0.0,106
107,1.114556744890893,0,0.0,107
108,1.0767599189072714,0,0.0,108
109,1.0035946287480801,0,0.0,109
110,0.9774133132923735,0,0.0,110
111,1.1164739046535461,0,0.0,111
112,1.2278465437131785,0,0.0,112
113,1.0995603797575333,2,0.017699115044247787,111
114,0.9955318929143535,1,0.008771929824561403,113
115,0.8798002369370737,2,0.017391304347826087,113
116,0.9764277392707913,0,0.0,116
117,1.1214569067676035,0,0.0,117
118,0.949042348168613,0,0.0,118
119,1.0035069362794853,3,0.025210084033613446,116
120,1.0721892099446653,1,0.008333333333333333,119
121,1.106980313313991,0,0.0,121
122,0.8677947859972808,1,0.00819672131147541,121
123,1.1003224824549744,1,0.008130081300813009,122
124,1.09327744019031,4,0.03225806451612903,120
