NumberOfGroups, ComputingTime
2 , 0.0038
3 , 0.005
4 , 0.0081
5 , 0.0133
6 , 0.019
7 , 0.0273
8 , 0.0298
9 , 0.0346
10 , 0.0323
11 , 0.0462
12 , 0.0506
13 , 0.0692
14 , 0.0799
15 , 0.0973
16 , 0.0994
17 , 0.0904
18 , 0.1064
19 , 0.109
20 , 0.1259
21 , 0.1455
22 , 0.1642
23 , 0.1586
24 , 0.2075
25 , 0.1957
26 , 0.1976
27 , 0.2267
28 , 0.2136
29 , 0.2177
30 , 0.2317
31 , 0.2499
32 , 0.2709
33 , 0.309
34 , 0.2719
35 , 0.3176
36 , 0.2666
37 , 0.2917
38 , 0.329
39 , 0.315
40 , 0.3246
41 , 0.3047
42 , 0.3292
43 , 0.3867
44 , 0.3781
45 , 0.373
46 , 0.3859
47 , 0.4831
48 , 0.4275
49 , 0.442
50 , 0.4263
51 , 0.416
52 , 0.5424
53 , 0.4966
54 , 0.5399
55 , 0.5845
56 , 0.6293
57 , 0.6867
58 , 0.6951
59 , 0.6092
60 , 0.6382
61 , 0.5818
62 , 0.6234
63 , 0.6755
64 , 0.5773
65 , 0.6631
66 , 0.5941
67 , 0.5803
68 , 0.7131
69 , 0.7612
70 , 0.6689
71 , 0.5804
72 , 0.6114
73 , 0.5667
74 , 0.6567
75 , 0.7071
76 , 0.7212
77 , 0.8062
78 , 0.5413
79 , 0.6708
80 , 0.7645
81 , 0.6997
82 , 0.7006
83 , 0.7295
84 , 0.6611
85 , 0.6383
86 , 0.6473
87 , 0.7864
88 , 0.6666
89 , 0.5543
90 , 0.7057
91 , 0.6525
92 , 0.7052
93 , 0.7177
94 , 0.6249
95 , 0.756
96 , 0.5383
97 , 0.5994
98 , 0.6894
99 , 0.6654
100 , 0.6063
101 , 0.5294
102 , 0.6625
103 , 0.656
104 , 0.5092
105 , 0.6447
106 , 0.6878
107 , 0.6429
108 , 0.6118
109 , 0.6673
110 , 0.7104
111 , 0.5045
112 , 0.6312
113 , 0.7434
114 , 0.8673
115 , 0.5284
116 , 0.6071
117 , 0.5957
118 , 0.5635
119 , 0.6273
120 , 0.6198
121 , 0.7117
122 , 0.5169
123 , 0.5753
124 , 0.6196
125 , 0.6014
126 , 0.5275
127 , 0.6218
128 , 0.5176
129 , 0.4746
130 , 0.546
131 , 0.5821
132 , 0.4784
133 , 0.5728
134 , 0.5369
135 , 0.6446
136 , 0.5708
137 , 0.5465
138 , 0.4962
139 , 0.5396
140 , 0.5337
141 , 0.5622
142 , 0.536
143 , 0.6818
144 , 0.4562
145 , 0.5201
146 , 0.6284
147 , 0.5161
148 , 0.585
149 , 0.574
150 , 0.5066
151 , 0.5352
152 , 0.5946
153 , 0.5076
154 , 0.5109
155 , 0.5454
156 , 0.4961
157 , 0.532
158 , 0.4616
159 , 0.5441
160 , 0.5987
161 , 0.5068
162 , 0.5134
163 , 0.493
164 , 0.4869
165 , 0.4485
166 , 0.4653
167 , 0.5162
168 , 0.492
169 , 0.4905
170 , 0.5352
171 , 0.5418
172 , 0.4801
173 , 0.512
174 , 0.4641
175 , 0.4926
176 , 0.5135
177 , 0.4966
178 , 0.5534
179 , 0.4569
180 , 0.5901
181 , 0.5156
182 , 0.4401
183 , 0.4315
184 , 0.4938
185 , 0.4608
186 , 0.4551
187 , 0.426
188 , 0.5251
189 , 0.4937
190 , 0.5376
191 , 0.437
192 , 0.4772
193 , 0.5587
194 , 0.536
195 , 0.5015
196 , 0.4529
197 , 0.4174
198 , 0.4824
199 , 0.4297
200 , 0.3981
201 , 0.4398
