NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7682733889070306,0,0.0,2
3,0.8462758728644552,0,0.0,3
4,0.8285814606504817,0,0.0,4
5,0.8822304775402474,0,0.0,5
6,0.8554242393400652,0,0.0,6
7,0.8319490455686298,0,0.0,7
8,0.8604105346417731,0,0.0,8
9,0.8993439262930074,0,0.0,9
10,0.8704844204506347,1,0.1,9
11,0.9231971329687222,1,0.09090909090909091,10
12,0.881761957616944,1,0.08333333333333333,11
13,0.8893488347370057,2,0.15384615384615385,11
14,0.8740353662962831,1,0.07142857142857142,13
15,0.7351704708442324,3,0.2,12
16,0.8624644207518073,5,0.3125,11
17,0.7626882690632126,3,0.17647058823529413,14
18,0.728773927979909,4,0.2222222222222222,14
19,0.7885003644502468,2,0.10526315789473684,17
20,0.8213674060087973,2,0.1,18
21,0.8296866523270147,6,0.2857142857142857,15
22,0.7070036669309261,5,0.22727272727272727,17
23,0.8531430091074583,2,0.08695652173913043,21
24,0.8932415160735971,8,0.3333333333333333,16
25,0.5852183997451565,11,0.44,14
26,0.5759566882091343,11,0.4230769230769231,15
27,0.5849634577587931,10,0.37037037037037035,17
28,0.7138382237878104,10,0.35714285714285715,18
29,0.7138663110078606,11,0.3793103448275862,18
30,0.7577929658963406,9,0.3,21
31,0.5751115122475607,16,0.5161290322580645,15
32,0.5582522530766976,15,0.46875,17
33,0.5168721761291324,13,0.3939393939393939,20
34,0.5206075672414725,18,0.5294117647058824,16
35,0.5275830504751414,19,0.5428571428571428,16
36,0.45925811271199146,22,0.6111111111111112,14
37,0.5001708331883773,17,0.4594594594594595,20
38,0.5972524915480113,18,0.47368421052631576,20
39,0.5041160552125794,16,0.41025641025641024,23
40,0.46275278490769167,22,0.55,18
41,0.5129469077003516,24,0.5853658536585366,17
42,0.46224111151040165,21,0.5,21
43,0.44083587688269066,26,0.6046511627906976,17
44,0.401978909534109,24,0.5454545454545454,20
45,0.3987714787566209,29,0.6444444444444445,16
46,0.3633144913198084,27,0.5869565217391305,19
47,0.4504383271535869,30,0.6382978723404256,17
48,0.412907700972692,35,0.7291666666666666,13
49,0.4001647593564377,31,0.6326530612244898,18
50,0.4445082563631397,27,0.54,23
51,0.45451051157708217,26,0.5098039215686274,25
52,0.349337421468293,32,0.6153846153846154,20
53,0.3489578845972843,35,0.660377358490566,18
54,0.38076198447514065,33,0.6111111111111112,21
55,0.37897910642981064,39,0.7090909090909091,16
56,0.4360243188357916,33,0.5892857142857143,23
57,0.39178876166366516,37,0.6491228070175439,20
58,0.3669009698768363,33,0.5689655172413793,25
59,0.2865743390854568,44,0.7457627118644068,15
60,0.3755034452606414,44,0.7333333333333333,16
61,0.2903110887804836,43,0.7049180327868853,18
62,0.3977467782179093,41,0.6612903225806451,21
63,0.38612670581479425,45,0.7142857142857143,18
64,0.3829208245591944,44,0.6875,20
65,0.3634376339777686,43,0.6615384615384615,22
66,0.3804568384171364,41,0.6212121212121212,25
67,0.3207949336948782,44,0.6567164179104478,23
68,0.23729223344657183,52,0.7647058823529411,16
69,0.32849255249316966,48,0.6956521739130435,21
70,0.31654411086300344,46,0.6571428571428571,24
71,0.4058109763148472,43,0.6056338028169014,28
72,0.30249728604828746,48,0.6666666666666666,24
73,0.33508597236157656,47,0.6438356164383562,26
74,0.390285030599817,49,0.6621621621621622,25
75,0.33211551536086337,48,0.64,27
76,0.3031502094692867,52,0.6842105263157895,24
77,0.375972986007014,42,0.5454545454545454,35
78,0.2630181288930305,58,0.7435897435897436,20
79,0.2955200076784219,61,0.7721518987341772,18
80,0.2796376698046486,48,0.6,32
81,0.364173813007929,53,0.654320987654321,28
82,0.3934748238808227,51,0.6219512195121951,31
83,0.2875327354195124,57,0.6867469879518072,26
84,0.253190878494267,63,0.75,21
85,0.44807279601017597,54,0.6352941176470588,31
86,0.3345587800515402,58,0.6744186046511628,28
87,0.4665257663664501,57,0.6551724137931034,30
88,0.3089268538400249,59,0.6704545454545454,29
89,0.29978901047232615,61,0.6853932584269663,28
90,0.33191341358859006,66,0.7333333333333333,24
91,0.27011888943380047,69,0.7582417582417582,22
92,0.2641377845020347,75,0.8152173913043478,17
93,0.35267375859367267,66,0.7096774193548387,27
94,0.2819737950750528,66,0.7021276595744681,28
95,0.2865794864783785,72,0.7578947368421053,23
96,0.3070751724647192,63,0.65625,33
97,0.42192890879606443,67,0.6907216494845361,30
98,0.2703814581515521,76,0.7755102040816326,22
99,0.3107217870459935,74,0.7474747474747475,25
100,0.3837087423920931,73,0.73,27
101,0.29641698172152353,69,0.6831683168316832,32
