NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8030645296778322,0,0.0,2
3,0.5259159646693595,0,0.0,3
4,0.5681090438745604,0,0.0,4
5,0.4862315890316926,0,0.0,5
6,0.6056527640261633,0,0.0,6
7,0.48177425035429955,1,0.14285714285714285,6
8,0.48761180130852,1,0.125,7
9,0.44292810044441244,2,0.2222222222222222,7
10,0.4023309581245662,3,0.3,7
11,0.487737085589649,1,0.09090909090909091,10
12,0.49088248119725786,2,0.16666666666666666,10
13,0.40281663356963016,3,0.23076923076923078,10
14,0.3072279434481405,6,0.42857142857142855,8
15,0.38081151511205913,5,0.3333333333333333,10
16,0.3348495325357955,6,0.375,10
17,0.40643341329686145,5,0.29411764705882354,12
18,0.3767614529007674,5,0.2777777777777778,13
19,0.39662936274373695,4,0.21052631578947367,15
20,0.43079005792699093,4,0.2,16
21,0.34567644234231015,5,0.23809523809523808,16
22,0.3589142780819539,7,0.3181818181818182,15
23,0.2588215399904891,11,0.4782608695652174,12
24,0.3227372392242147,10,0.4166666666666667,14
25,0.2543424143490468,10,0.4,15
26,0.3889313532163724,7,0.2692307692307692,19
27,0.2125516966155713,12,0.4444444444444444,15
28,0.21660201469350523,14,0.5,14
29,0.33997960930704374,9,0.3103448275862069,20
30,0.25831098591431745,16,0.5333333333333333,14
31,0.3467112354732125,10,0.3225806451612903,21
32,0.3431916798613174,11,0.34375,21
33,0.18257185253313937,18,0.5454545454545454,15
34,0.14135701001493794,22,0.6470588235294118,12
35,0.16356641593005386,21,0.6,14
36,0.28227538196634844,12,0.3333333333333333,24
37,0.20599146197153287,21,0.5675675675675675,16
38,0.22857573657689328,16,0.42105263157894735,22
39,0.25960049979495864,15,0.38461538461538464,24
40,0.19918181955427008,20,0.5,20
41,0.1577886561063495,23,0.5609756097560976,18
42,0.22912656666961337,17,0.40476190476190477,25
43,0.23738986799795125,16,0.37209302325581395,27
44,0.21348938882392382,20,0.45454545454545453,24
45,0.247736084193252,14,0.3111111111111111,31
46,0.17005776560286562,22,0.4782608695652174,24
47,0.198359042272016,21,0.44680851063829785,26
48,0.24107491396872563,20,0.4166666666666667,28
49,0.2562561404582119,17,0.3469387755102041,32
50,0.16185277671292098,27,0.54,23
51,0.38179368089577026,11,0.21568627450980393,40
52,0.18543716030201635,24,0.46153846153846156,28
53,0.4057699120231171,10,0.18867924528301888,43
54,0.36156535106768467,9,0.16666666666666666,45
55,0.24465684887049066,33,0.6,22
56,0.2148536003609296,21,0.375,35
57,0.17696260974550887,25,0.43859649122807015,32
58,0.13895333732972684,30,0.5172413793103449,28
59,0.19289401104525844,29,0.4915254237288136,30
60,0.2985621891110025,17,0.2833333333333333,43
61,0.21826188694704068,21,0.3442622950819672,40
62,0.215313599166804,33,0.532258064516129,29
63,0.19436082150309103,21,0.3333333333333333,42
64,0.1636424329199376,31,0.484375,33
65,0.11848343666461394,38,0.5846153846153846,27
66,0.11532433414100828,40,0.6060606060606061,26
67,0.19465801136826485,21,0.31343283582089554,46
68,0.17173064426045012,37,0.5441176470588235,31
69,0.16686564243099855,34,0.4927536231884058,35
70,0.2037256915770631,23,0.32857142857142857,47
71,0.2800850587425585,12,0.16901408450704225,59
72,0.14974981199517476,36,0.5,36
73,0.13338249372412592,31,0.4246575342465753,42
74,0.1549386563406947,33,0.44594594594594594,41
75,0.259759175844751,17,0.22666666666666666,58
76,0.17223636105911733,36,0.47368421052631576,40
77,0.13199073321927318,45,0.5844155844155844,32
78,0.12485022266059603,45,0.5769230769230769,33
79,0.12033066888405514,41,0.5189873417721519,38
80,0.20634512799004112,28,0.35,52
81,0.15740492017136348,33,0.4074074074074074,48
82,0.12616660186371398,51,0.6219512195121951,31
83,0.17583199509023306,34,0.40963855421686746,49
84,0.0954816039870828,55,0.6547619047619048,29
85,0.13234524091250227,42,0.49411764705882355,43
86,0.12522231786623012,42,0.4883720930232558,44
87,0.1412262578319587,27,0.3103448275862069,60
88,0.1287189666769578,47,0.5340909090909091,41
89,0.15979463735933142,29,0.3258426966292135,60
90,0.1095644948066363,48,0.5333333333333333,42
91,0.10658406712232707,52,0.5714285714285714,39
