NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7939963748984287,0,0.0,2
3,0.823772326900355,0,0.0,3
4,0.9676006733031972,0,0.0,4
5,0.9746701802223511,0,0.0,5
6,1.0225409388814717,0,0.0,6
7,1.1770544667877423,0,0.0,7
8,1.24155162599008,0,0.0,8
9,1.106698844539967,0,0.0,9
10,1.2005462701510112,0,0.0,10
11,1.0771203340140012,0,0.0,11
12,1.0493479084651156,0,0.0,12
13,1.0221374613648688,1,0.07692307692307693,12
14,0.9983667820896346,1,0.07142857142857142,13
15,0.9083036997859262,2,0.13333333333333333,13
16,0.8527553576333521,3,0.1875,13
17,0.7720842482787077,5,0.29411764705882354,12
18,0.7568068306748844,5,0.2777777777777778,13
19,0.748552852008867,5,0.2631578947368421,14
20,0.6923574923968305,7,0.35,13
21,0.7575212761201006,5,0.23809523809523808,16
22,0.7285317914031226,6,0.2727272727272727,16
23,0.6892069493991553,7,0.30434782608695654,16
24,0.680911911959508,7,0.2916666666666667,17
25,0.5961397367152508,10,0.4,15
26,0.6802604999602865,8,0.3076923076923077,18
27,0.7287043010356684,7,0.25925925925925924,20
28,0.6590203292042495,9,0.32142857142857145,19
29,0.6330230606553877,10,0.3448275862068966,19
30,0.5434443221224917,12,0.4,18
31,0.6639859654857542,10,0.3225806451612903,21
32,0.5497920878950957,13,0.40625,19
33,0.5790981914856759,12,0.36363636363636365,21
34,0.590024772789806,14,0.4117647058823529,20
35,0.5912878125824206,12,0.34285714285714286,23
36,0.4945327238405015,17,0.4722222222222222,19
37,0.5471855115520581,16,0.43243243243243246,21
38,0.5155024242690041,17,0.4473684210526316,21
39,0.5474537169689966,15,0.38461538461538464,24
40,0.5128890919183796,18,0.45,22
41,0.5096211962027428,17,0.4146341463414634,24
42,0.5148837484691441,20,0.47619047619047616,22
43,0.5853437766207863,17,0.3953488372093023,26
44,0.5157368600221438,19,0.4318181818181818,25
45,0.5226265865286112,20,0.4444444444444444,25
46,0.5452889235505604,19,0.41304347826086957,27
47,0.497957846603212,20,0.425531914893617,27
48,0.525265465223405,19,0.3958333333333333,29
49,0.5005054614453612,21,0.42857142857142855,28
50,0.4493816134311758,24,0.48,26
51,0.4985318283896276,23,0.45098039215686275,28
52,0.5107758289865624,25,0.4807692307692308,27
53,0.4560119984726107,27,0.5094339622641509,26
54,0.5113477977665617,26,0.48148148148148145,28
55,0.49505988670455553,26,0.4727272727272727,29
56,0.4950793322070387,24,0.42857142857142855,32
57,0.4708592271587898,28,0.49122807017543857,29
58,0.46551918620455274,29,0.5,29
59,0.5336942393999783,27,0.4576271186440678,32
60,0.48656748744244704,27,0.45,33
61,0.525432478910568,32,0.5245901639344263,29
62,0.47839477305641875,31,0.5,31
63,0.4802789232512763,30,0.47619047619047616,33
64,0.5192050293537471,30,0.46875,34
65,0.3807395180164792,35,0.5384615384615384,30
66,0.49548329139745595,31,0.4696969696969697,35
67,0.45880301720024663,33,0.4925373134328358,34
68,0.4757870006087551,32,0.47058823529411764,36
69,0.47437763389881593,35,0.5072463768115942,34
70,0.4619560176640569,35,0.5,35
71,0.5509679707485053,35,0.49295774647887325,36
72,0.4789600291444589,32,0.4444444444444444,40
73,0.4681297338962432,37,0.5068493150684932,36
74,0.5117336155025943,34,0.4594594594594595,40
75,0.47850646267553953,38,0.5066666666666667,37
76,0.48514067899237834,40,0.5263157894736842,36
77,0.4601718950513146,41,0.5324675324675324,36
78,0.47602207184930356,39,0.5,39
79,0.5207267720313278,35,0.4430379746835443,44
80,0.45882310070182225,44,0.55,36
81,0.46298076370692776,40,0.49382716049382713,41
82,0.4580666981385297,41,0.5,41
83,0.4675613626367515,43,0.5180722891566265,40
84,0.4755408602974436,41,0.4880952380952381,43
85,0.4512889095322109,45,0.5294117647058824,40
86,0.509729509890529,45,0.5232558139534884,41
87,0.4367810132648235,48,0.5517241379310345,39
88,0.4719524471736071,47,0.5340909090909091,41
89,0.45488636029730195,47,0.5280898876404494,42
90,0.43021317772371964,49,0.5444444444444444,41
91,0.5239886313625735,47,0.5164835164835165,44
92,0.4885503952559809,48,0.5217391304347826,44
93,0.46310314575931033,47,0.5053763440860215,46
94,0.4132829956935336,50,0.5319148936170213,44
95,0.43549387587327193,50,0.5263157894736842,45
96,0.46049451953304077,50,0.5208333333333334,46
97,0.49354916641737817,51,0.5257731958762887,46
98,0.4679705635641217,54,0.5510204081632653,44
99,0.45474189012880817,53,0.5353535353535354,46
100,0.4182964886761344,57,0.57,43
101,0.4591469582176724,55,0.5445544554455446,46
102,0.42771360869382286,54,0.5294117647058824,48
103,0.45660731383803904,54,0.5242718446601942,49
104,0.4731262889159892,55,0.5288461538461539,49
105,0.4606432669635378,58,0.5523809523809524,47
106,0.44981908426298867,59,0.5566037735849056,47
107,0.4297509624061542,56,0.5233644859813084,51
108,0.45805441502021105,58,0.5370370370370371,50
109,0.41883245819688436,59,0.5412844036697247,50
110,0.44741584729411515,59,0.5363636363636364,51
111,0.47354973548610946,58,0.5225225225225225,53
112,0.480099130428736,60,0.5357142857142857,52
113,0.4357213609002255,62,0.5486725663716814,51
114,0.4435283873540245,63,0.5526315789473685,51
115,0.4860443046561057,60,0.5217391304347826,55
116,0.47862606445069855,63,0.5431034482758621,53
117,0.4318802789755803,64,0.5470085470085471,53
118,0.40455799091941036,67,0.5677966101694916,51
119,0.5014718918804095,65,0.5462184873949579,54
120,0.4426071838395732,67,0.5583333333333333,53
121,0.46087513143791325,64,0.5289256198347108,57
122,0.5106567641892744,67,0.5491803278688525,55
123,0.4306612207871624,69,0.5609756097560976,54
124,0.4187811077958829,71,0.5725806451612904,53
125,0.4578167527867747,71,0.568,54
126,0.44441572203447344,69,0.5476190476190477,57
127,0.4542249864950069,70,0.5511811023622047,57
128,0.49751667546626366,73,0.5703125,55
129,0.43766142283486176,69,0.5348837209302325,60
130,0.4198412305651039,77,0.5923076923076923,53
131,0.464422403290104,72,0.549618320610687,59
132,0.4852457154317256,71,0.5378787878787878,61
133,0.4178971922993064,77,0.5789473684210527,56
134,0.42478856306415436,81,0.6044776119402985,53
135,0.36752048138843596,82,0.6074074074074074,53
136,0.45734242643382933,78,0.5735294117647058,58
137,0.434844481768891,77,0.5620437956204379,60
138,0.4566839460689188,77,0.5579710144927537,61
139,0.5199059826407114,74,0.5323741007194245,65
140,0.4442619561713035,81,0.5785714285714286,59
141,0.463714877487571,79,0.5602836879432624,62
142,0.48088381432896693,74,0.5211267605633803,68
143,0.4645332615496689,78,0.5454545454545454,65
144,0.4074396233899783,83,0.5763888888888888,61
145,0.4377668068227205,84,0.5793103448275863,61
146,0.4099558540662528,85,0.5821917808219178,61
147,0.42715223515552414,85,0.5782312925170068,62
148,0.45799755647642487,86,0.581081081081081,62
149,0.45332094074017776,87,0.5838926174496645,62
150,0.4534538106857976,87,0.58,63
151,0.40878877989726875,90,0.5960264900662252,61
152,0.4424190605809226,90,0.5921052631578947,62
153,0.4357424774966139,91,0.5947712418300654,62
154,0.5030163477988264,89,0.577922077922078,65
155,0.44862132674079236,93,0.6,62
156,0.38199525564991754,95,0.6089743589743589,61
157,0.4263342670413678,87,0.554140127388535,70
158,0.38844086067102085,94,0.5949367088607594,64
159,0.41858864874243923,92,0.5786163522012578,67
160,0.40928556044011544,95,0.59375,65
161,0.47737189526526386,90,0.5590062111801242,71
162,0.44747266623753396,96,0.5925925925925926,66
163,0.404859375829134,100,0.6134969325153374,63
164,0.45691568327490606,88,0.5365853658536586,76
165,0.40013375225594183,100,0.6060606060606061,65
166,0.4072706197203546,103,0.6204819277108434,63
167,0.4026165502598722,103,0.6167664670658682,64
168,0.40386228333510893,101,0.6011904761904762,67
169,0.45037953264904607,98,0.5798816568047337,71
170,0.42185280835386707,103,0.6058823529411764,67
171,0.4662525611791779,98,0.5730994152046783,73
172,0.4182758171440817,104,0.6046511627906976,68
173,0.444423001547803,101,0.5838150289017341,72
174,0.38763486954858106,107,0.6149425287356322,67
175,0.3809383954187873,108,0.6171428571428571,67
176,0.5226774496629175,100,0.5681818181818182,76
177,0.41939496783224767,107,0.6045197740112994,70
178,0.4215451617401688,107,0.601123595505618,71
179,0.4689206433337384,107,0.5977653631284916,72
180,0.3976036353083843,112,0.6222222222222222,68
181,0.43797919849279093,111,0.6132596685082873,70
182,0.412166162323452,110,0.6043956043956044,72
183,0.45090315048006957,107,0.5846994535519126,76
184,0.3993421027428024,113,0.6141304347826086,71
185,0.43770191058502017,113,0.6108108108108108,72
186,0.4046323628699248,113,0.6075268817204301,73
187,0.40922716812411475,112,0.5989304812834224,75
188,0.46615493588567847,114,0.6063829787234043,74
189,0.41376880116015685,113,0.5978835978835979,76
190,0.37540282779670026,115,0.6052631578947368,75
191,0.4091696928436965,114,0.5968586387434555,77
192,0.4607091406543133,115,0.5989583333333334,77
193,0.41056634095595856,119,0.616580310880829,74
194,0.4696672122549644,116,0.5979381443298969,78
195,0.4152039479695565,118,0.6051282051282051,77
196,0.36530861236117784,122,0.6224489795918368,74
197,0.440944242327582,117,0.5939086294416244,80
198,0.40731257365061607,121,0.6111111111111112,77
199,0.45511198883905213,121,0.6080402010050251,78
200,0.3813206929830444,125,0.625,75
201,0.3714701496500154,125,0.6218905472636815,76
