NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8724973637961211,0,0.0,2
3,0.6754050738166465,0,0.0,3
4,0.8468823292675536,0,0.0,4
5,0.9328284080677051,0,0.0,5
6,0.8939605577315506,0,0.0,6
7,0.8661978074914404,0,0.0,7
8,0.8939605577315507,0,0.0,8
9,0.8453757448113577,0,0.0,9
10,0.7125772561628302,2,0.2,8
11,0.8291808071712933,1,0.09090909090909091,10
12,0.7301603313149,2,0.16666666666666666,10
13,0.8939605577315506,0,0.0,13
14,0.4621786049587587,5,0.35714285714285715,9
15,0.7162789561948448,2,0.13333333333333333,13
16,0.8162248570592419,1,0.0625,15
17,0.6607534557146244,3,0.17647058823529413,14
18,0.4856167729499288,5,0.2777777777777778,13
19,0.47184427136022694,7,0.3684210526315789,12
20,0.42575638690590156,10,0.5,10
21,0.7724985254310682,2,0.09523809523809523,19
22,0.5603448423462255,5,0.22727272727272727,17
23,0.569891331902474,5,0.21739130434782608,18
24,0.3833783419520681,10,0.4166666666666667,14
25,0.39762988707532476,12,0.48,13
26,0.587876236334335,7,0.2692307692307692,19
27,0.2877003612238232,15,0.5555555555555556,12
28,0.22614872859534046,16,0.5714285714285714,12
29,0.3273001139850727,11,0.3793103448275862,18
30,0.32065976527327356,9,0.3,21
31,0.20212113259058356,19,0.6129032258064516,12
32,0.21444489373046763,19,0.59375,13
33,0.1808446010875218,21,0.6363636363636364,12
34,0.22530485230936345,17,0.5,17
35,0.2959424533737239,15,0.42857142857142855,20
36,0.3701922327358741,16,0.4444444444444444,20
37,0.18460546860883148,22,0.5945945945945946,15
38,0.5594194173382219,4,0.10526315789473684,34
39,0.3553632030734114,10,0.2564102564102564,29
40,0.22984265173091128,18,0.45,22
41,0.2843357267414164,17,0.4146341463414634,24
42,0.16097608458188073,26,0.6190476190476191,16
43,0.2883824170874576,20,0.46511627906976744,23
44,0.4019091443104374,18,0.4090909090909091,26
45,0.2506728311683697,18,0.4,27
46,0.14806562245251506,31,0.6739130434782609,15
47,0.13330056362610265,34,0.723404255319149,13
48,0.23196724040567335,23,0.4791666666666667,25
49,0.1293637747110344,32,0.6530612244897959,17
50,0.14230797558431973,30,0.6,20
51,0.13514293702251098,35,0.6862745098039216,16
52,0.3195993746302284,28,0.5384615384615384,24
53,0.11709545084227671,36,0.6792452830188679,17
54,0.10695254065915781,39,0.7222222222222222,15
55,0.127823620592147,36,0.6545454545454545,19
56,0.32373207833727125,26,0.4642857142857143,30
57,0.20091560796157987,24,0.42105263157894735,33
58,0.1981307086533622,24,0.41379310344827586,34
59,0.10016705630932765,42,0.711864406779661,17
