NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8018990305416808,0,0.0,2
3,1.2843918889011838,0,0.0,3
4,0.9429080809037222,0,0.0,4
5,0.9059485798783863,1,0.2,4
6,0.7758457828742055,1,0.16666666666666666,5
7,1.2427340877679078,0,0.0,7
8,0.9918752062291809,1,0.125,7
9,0.806880743061309,3,0.3333333333333333,6
10,1.20723229862823,1,0.1,9
11,1.2710759151935345,2,0.18181818181818182,9
12,0.6191737945265757,6,0.5,6
13,1.0197679229915568,3,0.23076923076923078,10
14,0.9130483960678797,4,0.2857142857142857,10
15,0.9348231289207847,4,0.26666666666666666,11
16,0.6217617448948246,7,0.4375,9
17,0.5632674483945785,8,0.47058823529411764,9
18,0.9930712890329736,3,0.16666666666666666,15
19,0.4952205429928115,10,0.5263157894736842,9
20,0.6231455641976379,7,0.35,13
21,0.7866592028352929,10,0.47619047619047616,11
22,0.6337485010089783,8,0.36363636363636365,14
23,0.5808808378590454,12,0.5217391304347826,11
24,0.4001440611519027,12,0.5,12
25,0.5427712982011113,9,0.36,16
26,0.7298453522930872,11,0.4230769230769231,15
27,0.650673741357213,8,0.2962962962962963,19
28,0.45149299945830884,14,0.5,14
29,0.5056401443538383,14,0.4827586206896552,15
30,0.5629096258406759,14,0.4666666666666667,16
31,0.38955478830451096,16,0.5161290322580645,15
32,0.4505229661659713,14,0.4375,18
33,0.340364374225641,20,0.6060606060606061,13
34,0.6708144866819636,19,0.5588235294117647,15
35,0.3410699530934659,16,0.45714285714285713,19
36,0.5076882332415689,14,0.3888888888888889,22
37,0.405036096568544,17,0.4594594594594595,20
38,0.7260952934452224,14,0.3684210526315789,24
39,0.44754870432118743,14,0.358974358974359,25
40,0.4438989541524898,19,0.475,21
41,0.3235568732964823,23,0.5609756097560976,18
42,0.2697219399129138,24,0.5714285714285714,18
43,0.2543729431669907,29,0.6744186046511628,14
44,0.28408870836885863,28,0.6363636363636364,16
45,0.5384566981313781,22,0.4888888888888889,23
46,0.2432671665761699,32,0.6956521739130435,14
47,0.5440638327400887,19,0.40425531914893614,28
48,0.3133529337998993,24,0.5,24
49,0.3604664815836228,26,0.5306122448979592,23
50,0.3353262040698492,23,0.46,27
51,0.4672598867173273,17,0.3333333333333333,34
52,0.2293332611307634,30,0.5769230769230769,22
53,0.21034443361972166,32,0.6037735849056604,21
