NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.5052776690414622,0,0.0,2
3,1.8025758648572474,0,0.0,3
4,2.663371720512523,0,0.0,4
5,3.023683704061232,0,0.0,5
6,2.6295141884144577,0,0.0,6
7,2.3503599376553717,0,0.0,7
8,2.195443987609597,0,0.0,8
9,2.395917453963584,0,0.0,9
10,1.8549702805409223,1,0.1,9
11,1.6874381860827643,1,0.09090909090909091,10
12,1.7789690962767002,2,0.16666666666666666,10
13,1.4961500954124696,2,0.15384615384615385,11
14,1.4627653140273904,3,0.21428571428571427,11
15,1.4883308484905713,4,0.26666666666666666,11
16,1.3441148180999998,5,0.3125,11
17,1.3814183904926551,4,0.23529411764705882,13
18,1.1035302590609946,7,0.3888888888888889,11
19,1.3261170184205158,5,0.2631578947368421,14
20,1.0054469120948646,7,0.35,13
21,1.2051158350999707,7,0.3333333333333333,14
22,1.2830110883691785,7,0.3181818181818182,15
23,1.2157630984192067,6,0.2608695652173913,17
24,1.4056746778684397,9,0.375,15
25,0.9400735134433734,10,0.4,15
26,1.1599645858978667,6,0.23076923076923078,20
27,1.025594949537409,10,0.37037037037037035,17
28,1.033543459083309,11,0.39285714285714285,17
29,1.1348108757461746,9,0.3103448275862069,20
30,1.0614197386127502,13,0.43333333333333335,17
31,0.919164601916177,14,0.45161290322580644,17
32,0.9149604402300977,14,0.4375,18
33,1.112113183333237,12,0.36363636363636365,21
34,0.8980758032646396,18,0.5294117647058824,16
35,0.7849586472787102,19,0.5428571428571428,16
36,0.8656229587259807,19,0.5277777777777778,17
37,0.9330571052587432,19,0.5135135135135135,18
38,0.7899149404162531,19,0.5,19
39,0.8665541223741584,20,0.5128205128205128,19
40,0.8822967485646958,21,0.525,19
41,0.8489886028699043,22,0.5365853658536586,19
42,0.9350231178593927,22,0.5238095238095238,20
43,1.03818105329086,16,0.37209302325581395,27
44,1.0242095157678266,19,0.4318181818181818,25
45,0.7777146687310708,26,0.5777777777777777,19
46,0.787882192163376,26,0.5652173913043478,20
47,0.9531426763780693,20,0.425531914893617,27
48,0.6722917456638328,30,0.625,18
49,0.7490039379538501,30,0.6122448979591837,19
50,0.8015578657602489,26,0.52,24
51,0.8620531413564623,26,0.5098039215686274,25
52,0.7264128873499625,31,0.5961538461538461,21
53,0.6401897043509697,33,0.6226415094339622,20
54,0.795427558069812,30,0.5555555555555556,24
55,0.6309964547297466,33,0.6,22
56,0.6797487581015828,34,0.6071428571428571,22
57,0.7413510426987897,33,0.5789473684210527,24
58,0.6606593893190927,35,0.603448275862069,23
59,0.6670916877998923,34,0.576271186440678,25
60,0.6922961980514475,36,0.6,24
61,0.6510387824587551,38,0.6229508196721312,23
62,0.6269739653086039,38,0.6129032258064516,24
63,0.6731269021046931,39,0.6190476190476191,24
64,0.8730199243278962,30,0.46875,34
65,0.8329558156449978,37,0.5692307692307692,28
66,0.6352072378406766,42,0.6363636363636364,24
67,0.7165904571748594,35,0.5223880597014925,32
68,0.6374645444109965,43,0.6323529411764706,25
69,0.754890695743845,36,0.5217391304347826,33
70,0.7482179744741523,44,0.6285714285714286,26
71,0.6589516906218531,44,0.6197183098591549,27
72,0.694808174955678,39,0.5416666666666666,33
73,0.5541858821926255,51,0.6986301369863014,22
74,0.5589685841061445,51,0.6891891891891891,23
75,0.6580550718522344,49,0.6533333333333333,26
76,0.6023165241029949,51,0.6710526315789473,25
77,0.5822496019476142,49,0.6363636363636364,28
78,0.6491520836633838,49,0.6282051282051282,29
79,0.6166991484530112,44,0.5569620253164557,35
80,0.5581146468516412,56,0.7,24
81,0.6355816430372894,56,0.691358024691358,25
82,0.5824538129683614,58,0.7073170731707317,24
83,0.6019472988159476,52,0.6265060240963856,31
84,0.5276113981691637,60,0.7142857142857143,24
85,0.5564099655752416,57,0.6705882352941176,28
86,0.6275933297594223,53,0.6162790697674418,33
87,0.5162567031814993,58,0.6666666666666666,29
88,0.6458296269193857,53,0.6022727272727273,35
89,0.5586130628829771,54,0.6067415730337079,35
90,0.6464389300041367,57,0.6333333333333333,33
91,0.5451822831850178,63,0.6923076923076923,28
92,0.5824633491564616,60,0.6521739130434783,32
93,0.5759135477446086,59,0.6344086021505376,34
94,0.5395323126219514,61,0.648936170212766,33
95,0.6463377161069059,53,0.5578947368421052,42
96,0.5689792078832879,69,0.71875,27
97,0.5622674608468856,68,0.7010309278350515,29
98,0.5752398470454134,68,0.6938775510204082,30
99,0.5774629756038806,69,0.696969696969697,30
100,0.5612746104755914,67,0.67,33
101,0.5194678241266688,71,0.7029702970297029,30
102,0.5342686728506465,68,0.6666666666666666,34
103,0.49544365633139176,73,0.7087378640776699,30
104,0.5665800615519291,69,0.6634615384615384,35
105,0.4546304316732116,73,0.6952380952380952,32
106,0.5333666064461056,76,0.7169811320754716,30
107,0.5246262233295296,76,0.7102803738317757,31
108,0.5108214176095672,71,0.6574074074074074,37
109,0.49689078437604295,77,0.7064220183486238,32
110,0.5158206912219244,78,0.7090909090909091,32
111,0.49509309015337194,79,0.7117117117117117,32
112,0.4779256523376226,84,0.75,28
113,0.4860206067618701,83,0.7345132743362832,30
114,0.4747150408002272,87,0.7631578947368421,27
115,0.4941169218396927,80,0.6956521739130435,35
116,0.5284679991657149,81,0.6982758620689655,35
117,0.44466844718470255,86,0.7350427350427351,31
118,0.4878514279286479,81,0.6864406779661016,37
119,0.439135322845434,86,0.7226890756302521,33
120,0.40463169523787135,84,0.7,36
121,0.5284496009337338,81,0.6694214876033058,40
122,0.4727315363287856,81,0.6639344262295082,41
123,0.44031477955919446,93,0.7560975609756098,30
124,0.4294510414228737,90,0.7258064516129032,34
125,0.492825012923219,90,0.72,35
126,0.529203857332868,87,0.6904761904761905,39
127,0.5109904187618689,86,0.6771653543307087,41
128,0.43817082341150915,94,0.734375,34
129,0.4819281603992397,84,0.6511627906976745,45
130,0.48626868064813256,93,0.7153846153846154,37
131,0.45244379663954826,93,0.7099236641221374,38
132,0.4605838335345859,96,0.7272727272727273,36
133,0.4804025767863932,96,0.7218045112781954,37
134,0.4348866359892117,98,0.7313432835820896,36
135,0.4903197090923198,88,0.6518518518518519,47
136,0.45860092930888713,93,0.6838235294117647,43
137,0.4398584124641138,104,0.7591240875912408,33
138,0.5073246882280439,95,0.6884057971014492,43
139,0.4660004909872165,105,0.7553956834532374,34
140,0.4772557415600233,102,0.7285714285714285,38
141,0.45520509338803944,97,0.6879432624113475,44
142,0.4179412305467428,103,0.7253521126760564,39
143,0.4209645351802413,113,0.7902097902097902,30
144,0.3946869624556577,108,0.75,36
145,0.39841126632683865,114,0.7862068965517242,31
146,0.45603761885884375,103,0.7054794520547946,43
147,0.4178825919803283,114,0.7755102040816326,33
148,0.5262564890831649,95,0.6418918918918919,53
149,0.4304138844984033,109,0.7315436241610739,40
150,0.4071067663058553,111,0.74,39
151,0.41753035361788415,108,0.7152317880794702,43
152,0.5076577691841901,108,0.7105263157894737,44
153,0.418326292742766,121,0.7908496732026143,32
154,0.39809194007426546,112,0.7272727272727273,42
155,0.4187188167724915,115,0.7419354838709677,40
156,0.4525667431021332,114,0.7307692307692307,42
157,0.40150380847959005,114,0.7261146496815286,43
158,0.4275128476699742,123,0.7784810126582279,35
159,0.41169421222784547,122,0.7672955974842768,37
160,0.41084921530940216,121,0.75625,39
161,0.46644046895563845,118,0.7329192546583851,43
162,0.4468859927973996,128,0.7901234567901234,34
163,0.40093788268075925,123,0.754601226993865,40
164,0.41543281052338404,122,0.7439024390243902,42
165,0.3835308128941258,129,0.7818181818181819,36
166,0.38175163790820343,129,0.7771084337349398,37
167,0.3396547765650664,134,0.8023952095808383,33
168,0.393330393964737,131,0.7797619047619048,37
169,0.3901623437975398,130,0.7692307692307693,39
170,0.4037216126809199,130,0.7647058823529411,40
171,0.39559111003954567,127,0.7426900584795322,44
172,0.45976329333531923,114,0.6627906976744186,58
173,0.38509484521609905,129,0.7456647398843931,44
174,0.3868535854746695,139,0.7988505747126436,35
175,0.37034254069876793,140,0.8,35
176,0.37130443861506374,133,0.7556818181818182,43
177,0.4103534552022117,121,0.6836158192090396,56
178,0.37970133249262855,132,0.7415730337078652,46
179,0.34330466345061594,139,0.776536312849162,40
180,0.4749331729733696,131,0.7277777777777777,49
181,0.47622114954155675,128,0.7071823204419889,53
182,0.3439855919340196,145,0.7967032967032966,37
183,0.3385447358929849,140,0.7650273224043715,43
184,0.4136289523033955,146,0.7934782608695652,38
185,0.39329166237984303,137,0.7405405405405405,48
186,0.3800594844947958,144,0.7741935483870968,42
187,0.35397987258770913,147,0.786096256684492,40
188,0.38665880157540367,134,0.7127659574468085,54
189,0.36857524564369687,148,0.783068783068783,41
190,0.3719270792724251,137,0.7210526315789474,53
191,0.36954304778283337,152,0.7958115183246073,39
192,0.3404240106753929,149,0.7760416666666666,43
193,0.41787019529738195,133,0.689119170984456,60
194,0.3171125930933852,153,0.788659793814433,41
195,0.4110599906015463,139,0.7128205128205128,56
196,0.32585882198936883,156,0.7959183673469388,40
197,0.35544071289326407,158,0.8020304568527918,39
198,0.45470154346179426,145,0.7323232323232324,53
199,0.4422940466004644,150,0.7537688442211056,49
200,0.40774283569733294,143,0.715,57
201,0.322449583543165,154,0.7661691542288557,47
