NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.6589678375400116,0,0.0,2
3,0.6641497278775631,0,0.0,3
4,0.7857782181080869,0,0.0,4
5,0.7282070428608327,0,0.0,5
6,0.9578646375236322,0,0.0,6
7,1.0234778090601062,0,0.0,7
8,1.00263556453132,0,0.0,8
9,0.9540883864537859,0,0.0,9
10,0.9375295376636718,0,0.0,10
11,1.0329202817977086,0,0.0,11
12,1.0561419418096483,0,0.0,12
13,1.0052325718813861,0,0.0,13
14,1.0685926183679764,0,0.0,14
15,1.0141351363473232,0,0.0,15
16,1.0422949848012901,0,0.0,16
17,1.0683132571805771,0,0.0,17
18,0.9852371647024049,0,0.0,18
19,1.114488087552035,0,0.0,19
20,0.8827410680323704,3,0.15,17
21,0.9105811849400691,2,0.09523809523809523,19
22,0.9053686258141115,2,0.09090909090909091,20
23,0.9455898244421189,2,0.08695652173913043,21
24,0.9167983932321059,3,0.125,21
25,0.8357965366671962,4,0.16,21
26,0.7754017570008005,6,0.23076923076923078,20
27,0.8026472038435779,6,0.2222222222222222,21
28,0.8015595031965714,6,0.21428571428571427,22
29,0.8065951979499266,6,0.20689655172413793,23
30,0.7738255171789907,7,0.23333333333333334,23
31,0.7963125579749434,6,0.1935483870967742,25
32,0.8156369295801733,6,0.1875,26
33,0.7438657265414796,7,0.21212121212121213,26
34,0.7656888665564149,7,0.20588235294117646,27
35,0.7521186330597475,9,0.2571428571428571,26
36,0.7703578615295845,8,0.2222222222222222,28
37,0.8052928583210228,7,0.1891891891891892,30
38,0.6804393987122968,11,0.2894736842105263,27
39,0.6383184570792323,12,0.3076923076923077,27
40,0.6948198820176895,12,0.3,28
41,0.7643868360016547,11,0.2682926829268293,30
42,0.8020293887328608,12,0.2857142857142857,30
43,0.709311763185225,13,0.3023255813953488,30
44,0.7640278092859824,12,0.2727272727272727,32
45,0.7065383790786406,12,0.26666666666666666,33
46,0.69988200116774,11,0.2391304347826087,35
47,0.7081696717913926,14,0.2978723404255319,33
48,0.7851541871653505,11,0.22916666666666666,37
49,0.6157898127961858,17,0.3469387755102041,32
50,0.6860344562730326,16,0.32,34
51,0.6862992606571987,16,0.3137254901960784,35
52,0.6974771945054423,19,0.36538461538461536,33
53,0.6227686730126427,19,0.3584905660377358,34
54,0.6380406312690724,18,0.3333333333333333,36
55,0.7314838761698813,16,0.2909090909090909,39
56,0.722170419789622,18,0.32142857142857145,38
57,0.7246229735898796,17,0.2982456140350877,40
58,0.6329137628331282,22,0.3793103448275862,36
59,0.5805706020433845,24,0.4067796610169492,35
60,0.658092519881226,19,0.31666666666666665,41
61,0.6234294879256812,23,0.3770491803278688,38
62,0.6324096356759676,22,0.3548387096774194,40
63,0.7134969071945345,22,0.3492063492063492,41
64,0.6112408940675351,24,0.375,40
65,0.6005612079305559,23,0.35384615384615387,42
66,0.588784408113102,25,0.3787878787878788,41
67,0.5471816227429803,29,0.43283582089552236,38
68,0.5820734856961844,26,0.38235294117647056,42
69,0.6137651473335739,27,0.391304347826087,42
70,0.6433912891863192,26,0.37142857142857144,44
71,0.5858157727263331,30,0.4225352112676056,41
72,0.6520468486267489,26,0.3611111111111111,46
73,0.6323088304205369,28,0.3835616438356164,45
74,0.6318693519760642,28,0.3783783783783784,46
75,0.5661184456526427,31,0.41333333333333333,44
76,0.5875249499873118,30,0.39473684210526316,46
77,0.6407563437862429,29,0.37662337662337664,48
78,0.5824351825572992,32,0.41025641025641024,46
79,0.6268374538508199,30,0.379746835443038,49
80,0.6166632430049804,33,0.4125,47
81,0.6287497361578321,34,0.41975308641975306,47
82,0.5936395007115607,36,0.43902439024390244,46
83,0.5299169319788651,36,0.43373493975903615,47
84,0.4979471686868435,40,0.47619047619047616,44
85,0.5973692359908663,37,0.43529411764705883,48
86,0.5909759846329593,35,0.4069767441860465,51
87,0.5170484935497437,39,0.4482758620689655,48
88,0.6871983963764517,31,0.3522727272727273,57
89,0.5372124786211386,41,0.4606741573033708,48
90,0.6064609284049615,40,0.4444444444444444,50
91,0.5447589723545351,41,0.45054945054945056,50
92,0.584046678756594,39,0.42391304347826086,53
93,0.45992022834208957,46,0.4946236559139785,47
94,0.5535371776415431,42,0.44680851063829785,52
95,0.5436194940464533,42,0.4421052631578947,53
96,0.5064370860807127,45,0.46875,51
97,0.5725725451794244,42,0.4329896907216495,55
98,0.5466238083466359,44,0.4489795918367347,54
99,0.5460851588813403,45,0.45454545454545453,54
100,0.554972383554152,44,0.44,56
101,0.5284281613100476,48,0.4752475247524752,53
102,0.5197202944712097,44,0.43137254901960786,58
103,0.5862820485425284,42,0.4077669902912621,61
104,0.5480557977989373,48,0.46153846153846156,56
105,0.5185246681304625,48,0.45714285714285713,57
106,0.572722960377327,44,0.41509433962264153,62
107,0.5128719935877433,49,0.45794392523364486,58
108,0.5779130527942152,48,0.4444444444444444,60
109,0.5308694421932492,50,0.45871559633027525,59
110,0.5236120069396646,51,0.4636363636363636,59
111,0.4682738096123124,56,0.5045045045045045,55
112,0.4957586687275213,49,0.4375,63
113,0.5540133682252645,52,0.46017699115044247,61
114,0.5517321873892009,53,0.4649122807017544,61
115,0.5125487098531338,55,0.4782608695652174,60
116,0.5192099429763382,57,0.49137931034482757,59
117,0.5803478038647277,55,0.4700854700854701,62
118,0.5435313318279648,57,0.4830508474576271,61
119,0.4943365375001417,56,0.47058823529411764,63
120,0.5144390955375894,60,0.5,60
121,0.5121568512799977,58,0.4793388429752066,63
122,0.5106770985665797,60,0.4918032786885246,62
123,0.49712856625832164,59,0.4796747967479675,64
124,0.4835065951663985,63,0.5080645161290323,61
125,0.5095046023080343,63,0.504,62
126,0.495854527836924,63,0.5,63
127,0.4584267392160445,64,0.5039370078740157,63
128,0.520368100805174,67,0.5234375,61
129,0.5036127568974709,64,0.49612403100775193,65
130,0.5252444693525514,63,0.4846153846153846,67
131,0.49265955756002305,67,0.5114503816793893,64
132,0.48009121441885005,67,0.5075757575757576,65
133,0.48169766803253566,68,0.5112781954887218,65
134,0.5002792423692484,64,0.47761194029850745,70
135,0.4816965848148463,70,0.5185185185185185,65
136,0.513943249611849,63,0.4632352941176471,73
137,0.4570744437349109,72,0.5255474452554745,65
138,0.4770272948856028,72,0.5217391304347826,66
139,0.5141346373709034,69,0.49640287769784175,70
140,0.5183614310389922,70,0.5,70
141,0.467082837327939,76,0.5390070921985816,65
142,0.47554670792863163,74,0.5211267605633803,68
143,0.4791875530735566,71,0.4965034965034965,72
144,0.48531600510171935,76,0.5277777777777778,68
145,0.49336854616800796,74,0.5103448275862069,71
146,0.485639260761394,74,0.5068493150684932,72
147,0.4979667084871623,74,0.5034013605442177,73
148,0.47034537515192054,76,0.5135135135135135,72
149,0.4989236993300173,78,0.5234899328859061,71
150,0.49258694249169677,79,0.5266666666666666,71
151,0.47450700608393975,76,0.5033112582781457,75
152,0.4761579817769146,75,0.4934210526315789,77
153,0.45027678826443046,85,0.5555555555555556,68
154,0.5097433592970001,78,0.5064935064935064,76
155,0.48918395927210423,82,0.5290322580645161,73
156,0.44374750762885834,84,0.5384615384615384,72
157,0.4886412472403281,79,0.5031847133757962,78
158,0.5181484552556185,80,0.5063291139240507,78
159,0.4777503208046685,79,0.4968553459119497,80
160,0.5508701006895997,80,0.5,80
161,0.4970489644439544,82,0.5093167701863354,79
162,0.4787448392604399,89,0.5493827160493827,73
163,0.4897527693471153,86,0.5276073619631901,77
164,0.43521835684986054,91,0.5548780487804879,73
165,0.4950534119768794,85,0.5151515151515151,80
166,0.49845753617854927,89,0.536144578313253,77
167,0.44255555813161984,90,0.5389221556886228,77
168,0.5014689127452722,87,0.5178571428571429,81
169,0.46497021248173653,90,0.5325443786982249,79
170,0.475680123497463,93,0.5470588235294118,77
171,0.47454914142020244,91,0.5321637426900585,80
172,0.48792537465486474,90,0.5232558139534884,82
