NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8093973847936904,0,0.0,2
3,0.8359852150409699,0,0.0,3
4,0.7587314147554071,0,0.0,4
5,0.5790206056273262,1,0.2,4
6,0.7229124444800162,0,0.0,6
7,0.6545297496442447,1,0.14285714285714285,6
8,0.489780956351178,2,0.25,6
9,0.5205437872089774,2,0.2222222222222222,7
10,0.4671361961407068,3,0.3,7
11,0.43738146257569566,4,0.36363636363636365,7
12,0.37399176959241437,6,0.5,6
13,0.4912744152152695,3,0.23076923076923078,10
14,0.3869614648426871,4,0.2857142857142857,10
15,0.489282647688118,3,0.2,12
16,0.47868205488782173,4,0.25,12
17,0.45227618220027777,5,0.29411764705882354,12
18,0.5636245907842876,2,0.1111111111111111,16
19,0.2918613709683971,6,0.3157894736842105,13
20,0.45552778244739395,3,0.15,17
21,0.32950156813039894,8,0.38095238095238093,13
22,0.41276080012048977,4,0.18181818181818182,18
23,0.2684488666540221,8,0.34782608695652173,15
24,0.4098317620723115,8,0.3333333333333333,16
25,0.28310166192591085,8,0.32,17
26,0.24516207979703653,11,0.4230769230769231,15
27,0.22876186386621922,12,0.4444444444444444,15
28,0.4453890233011897,5,0.17857142857142858,23
29,0.22359363276172503,11,0.3793103448275862,18
30,0.2983002930130026,8,0.26666666666666666,22
31,0.2597764185221621,8,0.25806451612903225,23
32,0.2835493026180042,9,0.28125,23
33,0.2234370677713542,15,0.45454545454545453,18
34,0.28940884222538915,8,0.23529411764705882,26
35,0.3706173346412151,11,0.3142857142857143,24
36,0.25994291988646384,9,0.25,27
37,0.21092944237236755,10,0.2702702702702703,27
38,0.3644416880011844,7,0.18421052631578946,31
39,0.2445910405921329,14,0.358974358974359,25
40,0.32950403612687573,16,0.4,24
41,0.22817493794745825,12,0.2926829268292683,29
42,0.3668249020009552,13,0.30952380952380953,29
43,0.2871762839194062,16,0.37209302325581395,27
44,0.1792653561918511,14,0.3181818181818182,30
45,0.17457697508631026,17,0.37777777777777777,28
46,0.16603521224542464,22,0.4782608695652174,24
47,0.1669820273314207,23,0.48936170212765956,24
48,0.1526606957197417,19,0.3958333333333333,29
49,0.26621555699678434,9,0.1836734693877551,40
50,0.1975283308150932,17,0.34,33
51,0.11408751075615191,27,0.5294117647058824,24
52,0.1854664565750877,21,0.40384615384615385,31
53,0.3055733388896622,7,0.1320754716981132,46
54,0.1208993790023748,28,0.5185185185185185,26
55,0.2232232019269014,21,0.38181818181818183,34
56,0.35582196261474336,17,0.30357142857142855,39
57,0.15424516218854573,24,0.42105263157894735,33
58,0.22156362755773812,20,0.3448275862068966,38
59,0.22055248805443123,20,0.3389830508474576,39
60,0.3032084338720865,13,0.21666666666666667,47
61,0.2601394170466112,11,0.18032786885245902,50
62,0.1702362147927154,22,0.3548387096774194,40
63,0.2980471395263132,18,0.2857142857142857,45
64,0.16340843094986385,27,0.421875,37
65,0.2536830963952128,11,0.16923076923076924,54
66,0.2657178507548329,18,0.2727272727272727,48
67,0.14051776687988318,26,0.3880597014925373,41
68,0.20685000702669393,22,0.3235294117647059,46
69,0.1629749800271608,23,0.3333333333333333,46
70,0.0896143390681289,43,0.6142857142857143,27
71,0.23769650950110272,34,0.4788732394366197,37
72,0.15548633085041555,30,0.4166666666666667,42
73,0.10464956364274898,41,0.5616438356164384,32
74,0.15148804400348131,35,0.47297297297297297,39
75,0.18082316084848207,27,0.36,48
76,0.0835861572832261,53,0.6973684210526315,23
77,0.15378709346642683,37,0.4805194805194805,40
78,0.3073393289663538,26,0.3333333333333333,52
79,0.10541807701831929,38,0.4810126582278481,41
80,0.14832462873767058,36,0.45,44
81,0.125183346545662,31,0.38271604938271603,50
82,0.30606385978950457,28,0.34146341463414637,54
83,0.3332420904196471,21,0.25301204819277107,62
84,0.20014200986877878,31,0.36904761904761907,53
85,0.16524181461257972,20,0.23529411764705882,65
86,0.28591354053058715,23,0.26744186046511625,63
87,0.14465011775081474,37,0.42528735632183906,50
88,0.1191921679170161,37,0.42045454545454547,51
89,0.20358873346982498,26,0.29213483146067415,63
90,0.14206689573258424,37,0.4111111111111111,53
91,0.13395622692201775,34,0.37362637362637363,57
92,0.10996664333425515,46,0.5,46
93,0.06335449872806183,63,0.6774193548387096,30
94,0.1756748061674834,27,0.2872340425531915,67
95,0.10965923366625217,33,0.3473684210526316,62
96,0.18069284508651393,38,0.3958333333333333,58
97,0.2361528314711435,13,0.13402061855670103,84
98,0.06364328769028288,69,0.7040816326530612,29
99,0.09432439061359592,53,0.5353535353535354,46
100,0.09692565709787274,40,0.4,60
101,0.3889998921854748,20,0.19801980198019803,81
102,0.13427661657602938,36,0.35294117647058826,66
103,0.23138840773756653,27,0.2621359223300971,76
104,0.0817774773322776,65,0.625,39
105,0.16897091651788104,48,0.45714285714285713,57
106,0.30878420262869666,27,0.25471698113207547,79
107,0.08332714140540229,62,0.5794392523364486,45
108,0.12722520661183423,28,0.25925925925925924,80
109,0.07647871725673536,54,0.4954128440366973,55
110,0.10750363243037224,46,0.41818181818181815,64
111,0.14780862124355015,33,0.2972972972972973,78
112,0.1076168655539373,60,0.5357142857142857,52
113,0.06655100844225117,67,0.5929203539823009,46
114,0.06327703238073068,66,0.5789473684210527,48
115,0.09220332587224954,56,0.48695652173913045,59
116,0.22244189069183384,41,0.35344827586206895,75
117,0.0754702804051925,57,0.48717948717948717,60
118,0.16616220737687615,61,0.5169491525423728,57
119,0.12251143678365814,60,0.5042016806722689,59
120,0.1407647444299282,42,0.35,78
121,0.07432231047929319,74,0.6115702479338843,47
122,0.09823937117231923,49,0.4016393442622951,73
123,0.16559654144926472,24,0.1951219512195122,99
124,0.20945667915759958,28,0.22580645161290322,96
125,0.13983131523019143,42,0.336,83
126,0.06303868765633085,75,0.5952380952380952,51
127,0.06818052996692048,64,0.5039370078740157,63
128,0.11771319388149311,44,0.34375,84
129,0.15152101720298053,37,0.2868217054263566,92
130,0.22001027540433213,19,0.14615384615384616,111
131,0.07277410879211609,62,0.4732824427480916,69
132,0.20731184954828266,20,0.15151515151515152,112
133,0.08552672249305987,60,0.45112781954887216,73
134,0.09119724347002287,62,0.4626865671641791,72
135,0.26974918292977657,43,0.31851851851851853,92
136,0.14332502077878367,42,0.3088235294117647,94
137,0.1234717680504963,41,0.29927007299270075,96
138,0.07397009084503185,70,0.5072463768115942,68
139,0.06429674384194643,85,0.6115107913669064,54
140,0.08552052942689993,74,0.5285714285714286,66
141,0.1201994374950528,33,0.23404255319148937,108
142,0.1029609496084318,39,0.2746478873239437,103
143,0.18642907528896588,49,0.34265734265734266,94
144,0.14870293307517454,32,0.2222222222222222,112
145,0.11223391076447306,49,0.33793103448275863,96
146,0.19121218870954967,34,0.2328767123287671,112
147,0.14667846063566475,50,0.3401360544217687,97
148,0.052183327739525824,104,0.7027027027027027,44
149,0.10616209169751292,48,0.3221476510067114,101
150,0.14701851225314636,61,0.4066666666666667,89
151,0.17008466512814846,67,0.44370860927152317,84
