NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7031360208733619,0,0.0,2
3,0.65027362619718,0,0.0,3
4,0.6848424135765402,0,0.0,4
5,0.6906603527450429,0,0.0,5
6,0.681767649203442,0,0.0,6
7,0.6742777740745488,0,0.0,7
8,0.6722287883933566,0,0.0,8
9,0.6692048204075907,0,0.0,9
10,0.7275783725274655,0,0.0,10
11,0.6972799052654598,0,0.0,11
12,0.661308833811897,0,0.0,12
13,0.624100282058795,0,0.0,13
14,0.6977898466617496,0,0.0,14
15,0.7658006390025727,0,0.0,15
16,0.6638824620610394,1,0.0625,15
17,0.7298288774599644,1,0.058823529411764705,16
18,0.7467692291188417,0,0.0,18
19,0.7717273377787326,1,0.05263157894736842,18
20,0.6786768977049835,3,0.15,17
21,0.7543058254807624,2,0.09523809523809523,19
22,0.7441569002108325,2,0.09090909090909091,20
23,0.7606888681872974,4,0.17391304347826086,19
24,0.6571426438592171,5,0.20833333333333334,19
25,0.8183902792384847,2,0.08,23
26,0.7691117328503136,4,0.15384615384615385,22
27,0.7531345974192974,4,0.14814814814814814,23
28,0.6769743042483144,6,0.21428571428571427,22
29,0.6429448189945434,7,0.2413793103448276,22
30,0.6918007693193151,7,0.23333333333333334,23
31,0.6640033818342074,8,0.25806451612903225,23
32,0.6601625065384809,9,0.28125,23
33,0.6259121870378698,9,0.2727272727272727,24
34,0.6367577897208124,10,0.29411764705882354,24
35,0.586883878924781,12,0.34285714285714286,23
36,0.5863117847893704,12,0.3333333333333333,24
37,0.6031749749808002,13,0.35135135135135137,24
38,0.587210293295538,13,0.34210526315789475,25
39,0.5702666492099187,15,0.38461538461538464,24
40,0.5366354700563374,16,0.4,24
41,0.532299173889186,16,0.3902439024390244,25
42,0.5897655265754441,15,0.35714285714285715,27
43,0.5945924786028054,16,0.37209302325581395,27
44,0.568574912335444,16,0.36363636363636365,28
45,0.6016639698634318,15,0.3333333333333333,30
46,0.6553447022182044,15,0.32608695652173914,31
47,0.5948033386779535,19,0.40425531914893614,28
48,0.5732057400132388,19,0.3958333333333333,29
49,0.4950833675102031,23,0.46938775510204084,26
50,0.5677963456291204,19,0.38,31
51,0.5428651934619488,21,0.4117647058823529,30
52,0.6247978279636958,18,0.34615384615384615,34
53,0.6314250282704045,19,0.3584905660377358,34
54,0.529543687484034,24,0.4444444444444444,30
55,0.6066098474090925,19,0.34545454545454546,36
56,0.5369212122853748,25,0.44642857142857145,31
57,0.6065447578530173,21,0.3684210526315789,36
58,0.5874662958865544,22,0.3793103448275862,36
59,0.5683335759281912,27,0.4576271186440678,32
60,0.5629700118123128,25,0.4166666666666667,35
61,0.6280370139838624,24,0.39344262295081966,37
62,0.5908483511619704,25,0.4032258064516129,37
63,0.5766239383110416,23,0.36507936507936506,40
64,0.6144781704469118,25,0.390625,39
65,0.5494010513126426,29,0.4461538461538462,36
66,0.5849596414251981,30,0.45454545454545453,36
67,0.5068479913224228,30,0.44776119402985076,37
68,0.5174203370240649,33,0.4852941176470588,35
69,0.5423163478853783,33,0.4782608695652174,36
70,0.5089814874707387,34,0.4857142857142857,36
71,0.5616155593292177,32,0.4507042253521127,39
72,0.5332144964759727,35,0.4861111111111111,37
73,0.5535581930902329,33,0.4520547945205479,40
74,0.5861422341176519,32,0.43243243243243246,42
75,0.4623142891634619,39,0.52,36
76,0.514254583095682,39,0.5131578947368421,37
77,0.5373968811406624,36,0.4675324675324675,41
78,0.5049744828683334,40,0.5128205128205128,38
79,0.4703346579985249,41,0.5189873417721519,38
80,0.5009156033828546,40,0.5,40
81,0.5683498063697556,37,0.4567901234567901,44
82,0.5687724730893509,36,0.43902439024390244,46
83,0.5703769670002128,37,0.4457831325301205,46
84,0.4810840477464855,44,0.5238095238095238,40
85,0.46123103713000824,44,0.5176470588235295,41
86,0.5324979655621457,38,0.4418604651162791,48
87,0.5468946420510614,40,0.45977011494252873,47
88,0.5476373794093049,42,0.4772727272727273,46
89,0.5398281969762883,42,0.47191011235955055,47
90,0.4886759483214622,47,0.5222222222222223,43
91,0.5644139792298283,42,0.46153846153846156,49
92,0.5261367305978274,48,0.5217391304347826,44
93,0.5387274620000871,48,0.5161290322580645,45
94,0.4636158126898481,49,0.5212765957446809,45
95,0.5052887608379879,48,0.5052631578947369,47
96,0.561622578701416,46,0.4791666666666667,50
97,0.5229361557523466,46,0.4742268041237113,51
98,0.46339395974492836,52,0.5306122448979592,46
99,0.525714379652582,50,0.5050505050505051,49
100,0.5296936286088273,49,0.49,51
101,0.43757095417752023,58,0.5742574257425742,43
102,0.6333435831633801,48,0.47058823529411764,54
103,0.5405078754331718,53,0.5145631067961165,50
104,0.5289403055873121,53,0.5096153846153846,51
105,0.4593931328701003,57,0.5428571428571428,48
106,0.5610709096231689,53,0.5,53
107,0.4478622980407795,61,0.5700934579439252,46
108,0.49552042592416234,56,0.5185185185185185,52
109,0.48980386786934793,59,0.5412844036697247,50
110,0.520318158457544,57,0.5181818181818182,53
111,0.48273930864806686,57,0.5135135135135135,54
112,0.5687184219655825,58,0.5178571428571429,54
113,0.46760926022561083,62,0.5486725663716814,51
114,0.5279593315113442,55,0.4824561403508772,59
115,0.474121995443171,65,0.5652173913043478,50
116,0.5033668835019692,59,0.5086206896551724,57
117,0.5753131777020118,60,0.5128205128205128,57
118,0.4445915265716852,67,0.5677966101694916,51
119,0.44847432425839207,64,0.5378151260504201,55
120,0.5125088008416052,64,0.5333333333333333,56
121,0.48780828204873017,67,0.5537190082644629,54
122,0.43181214973266613,69,0.5655737704918032,53
123,0.45083095494310566,71,0.5772357723577236,52
124,0.5091463643078608,67,0.5403225806451613,57
125,0.47449062974511536,70,0.56,55
126,0.4553071370282481,70,0.5555555555555556,56
127,0.4726719512232608,70,0.5511811023622047,57
128,0.47463808452047596,69,0.5390625,59
129,0.4673114350277859,73,0.5658914728682171,56
130,0.45875221747982065,76,0.5846153846153846,54
131,0.5337881295649362,67,0.5114503816793893,64
132,0.46630812098778485,75,0.5681818181818182,57
133,0.4930172728523141,72,0.5413533834586466,61
134,0.4646182625410028,75,0.5597014925373134,59
135,0.4572176800040516,75,0.5555555555555556,60
136,0.40866475946639147,82,0.6029411764705882,54
137,0.4415711786200376,79,0.5766423357664233,58
138,0.3994106639452728,83,0.6014492753623188,55
139,0.44088458429171967,81,0.5827338129496403,58
140,0.46670462627755144,82,0.5857142857142857,58
141,0.4331921508242007,81,0.574468085106383,60
142,0.4409529529635621,78,0.5492957746478874,64
143,0.4429466048964436,79,0.5524475524475524,64
144,0.47088773839605436,79,0.5486111111111112,65
145,0.45639879217368384,82,0.5655172413793104,63
146,0.4645387143053223,82,0.5616438356164384,64
147,0.46887481565074574,84,0.5714285714285714,63
148,0.5253629676025476,80,0.5405405405405406,68
149,0.4973849037413538,85,0.5704697986577181,64
150,0.45599244803515787,86,0.5733333333333334,64
151,0.42643189968270223,88,0.5827814569536424,63
152,0.4532582393018153,89,0.5855263157894737,63
153,0.44578807168148504,89,0.5816993464052288,64
154,0.4722153315986902,88,0.5714285714285714,66
155,0.444781987977596,89,0.5741935483870968,66
156,0.4880037341189479,87,0.5576923076923077,69
157,0.40464095987172755,97,0.6178343949044586,60
158,0.4314117562973362,91,0.5759493670886076,67
159,0.4692649878170896,94,0.5911949685534591,65
160,0.4569377749417156,94,0.5875,66
161,0.42528885183624104,96,0.5962732919254659,65
162,0.46799604402533435,94,0.5802469135802469,68
163,0.42999230679833406,96,0.588957055214724,67
164,0.508660432802365,93,0.5670731707317073,71
165,0.4677693511313895,96,0.5818181818181818,69
166,0.4306645328648876,97,0.5843373493975904,69
167,0.44780676405521325,95,0.5688622754491018,72
168,0.4033365995486873,101,0.6011904761904762,67
169,0.435250171328905,97,0.5739644970414202,72
170,0.42094970330989345,101,0.5941176470588235,69
171,0.4803686369814232,101,0.5906432748538012,70
172,0.43518632799175244,101,0.5872093023255814,71
173,0.42370828494704665,102,0.5895953757225434,71
174,0.4656271632551929,101,0.5804597701149425,73
175,0.4563984516044284,101,0.5771428571428572,74
176,0.43674423533023876,107,0.6079545454545454,69
177,0.42082027345822237,104,0.5875706214689266,73
178,0.4058839454364471,108,0.6067415730337079,70
179,0.4059892242799141,109,0.6089385474860335,70
180,0.4475280461543758,109,0.6055555555555555,71
181,0.41453436225116963,110,0.6077348066298343,71
182,0.4172285781681619,109,0.5989010989010989,73
183,0.42781280078794265,110,0.6010928961748634,73
184,0.42190118000344606,111,0.6032608695652174,73
185,0.46237157626428194,114,0.6162162162162163,71
186,0.45413920831971194,108,0.5806451612903226,78
187,0.42002309377622227,112,0.5989304812834224,75
188,0.4765379733123989,108,0.574468085106383,80
189,0.4660601066704353,111,0.5873015873015873,78
190,0.43944829577081657,111,0.5842105263157895,79
191,0.41927208686202266,118,0.6178010471204188,73
192,0.4942783739588015,113,0.5885416666666666,79
193,0.47275989546798153,113,0.5854922279792746,80
194,0.43517056991950165,119,0.6134020618556701,75
195,0.42960457997335927,118,0.6051282051282051,77
196,0.45085300474339984,117,0.5969387755102041,79
197,0.44198691889994135,116,0.5888324873096447,81
198,0.430365726488723,122,0.6161616161616161,76
199,0.43947594930378703,123,0.6180904522613065,76
200,0.4463151768433057,121,0.605,79
201,0.44157610249050405,123,0.6119402985074627,78
