NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,2.0449283458540544,0,0.0,2
3,3.062346407319041,0,0.0,3
4,2.75024477589276,0,0.0,4
5,2.913617227888894,0,0.0,5
6,1.9335729093808969,0,0.0,6
7,1.7316282020180918,0,0.0,7
8,1.5703907492228177,0,0.0,8
9,1.4744520250367077,0,0.0,9
10,1.422165279003956,0,0.0,10
11,1.2994130537961959,1,0.09090909090909091,10
12,1.3308194225167198,1,0.08333333333333333,11
13,1.3531409898055777,1,0.07692307692307693,12
14,1.0699367993897593,3,0.21428571428571427,11
15,1.128490033272967,2,0.13333333333333333,13
16,0.988665278698809,4,0.25,12
17,1.0468616697004225,3,0.17647058823529413,14
18,0.9838525090112777,5,0.2777777777777778,13
19,1.0967486647409168,4,0.21052631578947367,15
20,0.9110169440321465,6,0.3,14
21,0.9350240719467733,5,0.23809523809523808,16
22,0.7879583906155425,9,0.4090909090909091,13
23,0.7733584898973933,8,0.34782608695652173,15
24,0.8219020009774541,8,0.3333333333333333,16
25,0.8730765445287479,7,0.28,18
26,0.8018741358561978,10,0.38461538461538464,16
27,0.8894104959711411,7,0.25925925925925924,20
28,0.7780046390041722,11,0.39285714285714285,17
29,0.7230862276860073,11,0.3793103448275862,18
30,0.7633676120046871,11,0.36666666666666664,19
31,0.6666981498292273,14,0.45161290322580644,17
32,0.7674632804982304,13,0.40625,19
33,0.5782294645430903,18,0.5454545454545454,15
34,0.7278122879855948,14,0.4117647058823529,20
35,0.6419907464931631,15,0.42857142857142855,20
36,0.7025638624702136,15,0.4166666666666667,21
37,0.6814001894717647,17,0.4594594594594595,20
38,0.6353871585609399,17,0.4473684210526316,21
39,0.7321409307637683,15,0.38461538461538464,24
40,0.5327608073541947,22,0.55,18
41,0.593564833962134,21,0.5121951219512195,20
42,0.5197329576835513,23,0.5476190476190477,19
43,0.6130329558962391,20,0.46511627906976744,23
44,0.5255745451028065,23,0.5227272727272727,21
45,0.5673950181065801,23,0.5111111111111111,22
46,0.5009434222315716,25,0.5434782608695652,21
47,0.554485484133712,23,0.48936170212765956,24
48,0.6736991043617349,22,0.4583333333333333,26
49,0.5192674718961219,28,0.5714285714285714,21
50,0.5717961293359264,26,0.52,24
51,0.5597063474656774,25,0.49019607843137253,26
52,0.595946218154558,27,0.5192307692307693,25
53,0.6051547746914099,28,0.5283018867924528,25
54,0.4327495860035047,33,0.6111111111111112,21
55,0.5147546747424521,29,0.5272727272727272,26
56,0.5846617804932157,32,0.5714285714285714,24
57,0.5149454187098005,32,0.5614035087719298,25
58,0.4465626677846619,34,0.5862068965517241,24
59,0.47417977666182326,35,0.5932203389830508,24
60,0.47129361987260376,35,0.5833333333333334,25
61,0.545422084789929,35,0.5737704918032787,26
62,0.5406773399079765,34,0.5483870967741935,28
63,0.4508719948702828,39,0.6190476190476191,24
64,0.5561871398038132,36,0.5625,28
65,0.5434374435312572,34,0.5230769230769231,31
66,0.5808936845432527,32,0.48484848484848486,34
67,0.5065522477327568,37,0.5522388059701493,30
68,0.490646909994652,39,0.5735294117647058,29
69,0.5223940963620032,40,0.5797101449275363,29
70,0.46992330841734026,41,0.5857142857142857,29
71,0.5057897024614272,40,0.5633802816901409,31
72,0.480990745518174,44,0.6111111111111112,28
73,0.44525155367319486,45,0.6164383561643836,28
74,0.5005560071299162,45,0.6081081081081081,29
75,0.4243671178307228,47,0.6266666666666667,28
76,0.49763120927186166,40,0.5263157894736842,36
77,0.45003413715050233,48,0.6233766233766234,29
78,0.5161154566910062,45,0.5769230769230769,33
79,0.413081560901449,52,0.6582278481012658,27
80,0.43487310359825615,47,0.5875,33
81,0.46806561752290066,53,0.654320987654321,28
82,0.5030503241806978,49,0.5975609756097561,33
83,0.39776580256813787,55,0.6626506024096386,28
84,0.4841461919621862,54,0.6428571428571429,30
85,0.41071670795985654,52,0.611764705882353,33
86,0.42551543493013955,51,0.5930232558139535,35
87,0.4322283571807423,53,0.6091954022988506,34
88,0.446894785272287,59,0.6704545454545454,29
89,0.46576850587548724,54,0.6067415730337079,35
90,0.3923259973529321,60,0.6666666666666666,30
91,0.3926021868133335,63,0.6923076923076923,28
92,0.4285239355269749,55,0.5978260869565217,37
93,0.4374771365052962,55,0.5913978494623656,38
94,0.4058332810925179,65,0.6914893617021277,29
95,0.45268147103520984,58,0.6105263157894737,37
96,0.43604774733699714,57,0.59375,39
97,0.3558851149319152,66,0.6804123711340206,31
98,0.33607059185785737,72,0.7346938775510204,26
99,0.4916042684836049,59,0.5959595959595959,40
100,0.4102666117958997,66,0.66,34
101,0.3399324326400804,72,0.7128712871287128,29
102,0.39006447993079385,68,0.6666666666666666,34
103,0.4159928417803394,69,0.6699029126213593,34
104,0.385809257035514,73,0.7019230769230769,31
105,0.416026783571613,75,0.7142857142857143,30
106,0.43676900321062545,73,0.6886792452830188,33
107,0.3499724834608811,73,0.6822429906542056,34
108,0.3687773446708739,74,0.6851851851851852,34
109,0.3579581766953843,73,0.6697247706422018,36
110,0.3249395231740691,77,0.7,33
111,0.3595345080435888,80,0.7207207207207207,31
112,0.4080529829372506,74,0.6607142857142857,38
113,0.42027870951086416,73,0.6460176991150443,40
114,0.4039536050632881,70,0.6140350877192983,44
115,0.3696195077099575,75,0.6521739130434783,40
116,0.3370567430821948,83,0.7155172413793104,33
117,0.38737209853705756,77,0.6581196581196581,40
118,0.41598453183161466,79,0.6694915254237288,39
119,0.40098720659006315,76,0.6386554621848739,43
120,0.382310484094513,82,0.6833333333333333,38
121,0.31057637561147383,90,0.743801652892562,31
122,0.33726214293632045,85,0.6967213114754098,37
123,0.40848115539639385,83,0.6747967479674797,40
124,0.32287551822151916,91,0.7338709677419355,33
125,0.3837466163161024,85,0.68,40
126,0.37132033621823146,90,0.7142857142857143,36
127,0.36292454178959904,89,0.7007874015748031,38
128,0.34409809508714995,90,0.703125,38
129,0.38369622407368886,90,0.6976744186046512,39
130,0.37533834405307487,85,0.6538461538461539,45
131,0.3072532304645189,92,0.7022900763358778,39
132,0.3639461104787025,87,0.6590909090909091,45
133,0.3133230029573111,93,0.6992481203007519,40
134,0.41817900572847744,96,0.7164179104477612,38
135,0.33283358145648806,94,0.6962962962962963,41
136,0.32814667767019107,90,0.6617647058823529,46
137,0.35577977148897344,102,0.7445255474452555,35
138,0.29688802963474525,104,0.7536231884057971,34
139,0.3733694713907253,102,0.7338129496402878,37
140,0.35108166741433644,104,0.7428571428571429,36
141,0.3536987665079784,104,0.7375886524822695,37
142,0.31962418237022805,105,0.7394366197183099,37
143,0.3911862647900928,104,0.7272727272727273,39
144,0.373170908850072,107,0.7430555555555556,37
145,0.347939670716068,94,0.6482758620689655,51
146,0.39432520771260415,99,0.678082191780822,47
147,0.34497655366057767,109,0.7414965986394558,38
148,0.35215273828521343,106,0.7162162162162162,42
149,0.32718284267241016,113,0.7583892617449665,36
150,0.35993994141092023,103,0.6866666666666666,47
151,0.29391415998166737,113,0.7483443708609272,38
152,0.34206323920127657,108,0.7105263157894737,44
153,0.3598205065481924,114,0.7450980392156863,39
154,0.3251294584358323,112,0.7272727272727273,42
155,0.3628443226496503,109,0.7032258064516129,46
156,0.38060832876844797,112,0.717948717948718,44
157,0.2856547711089356,121,0.7707006369426752,36
158,0.31054133151821056,114,0.7215189873417721,44
159,0.3119479868179268,114,0.7169811320754716,45
160,0.371659517551821,121,0.75625,39
161,0.3231666151644669,126,0.782608695652174,35
162,0.33781436770408074,120,0.7407407407407407,42
163,0.29189126832727236,124,0.7607361963190185,39
164,0.36332824680154924,117,0.7134146341463414,47
165,0.3246400578555839,126,0.7636363636363637,39
166,0.31428512020709054,120,0.7228915662650602,46
167,0.3076253775787188,122,0.7305389221556886,45
