NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,3.724527483429862,0,0.0,2
3,4.190778806088493,0,0.0,3
4,4.2309155657032225,0,0.0,4
5,3.880577811447946,0,0.0,5
6,4.225293091669908,0,0.0,6
7,3.819804086135041,0,0.0,7
8,2.7738311006206864,0,0.0,8
9,2.8014723173468434,0,0.0,9
10,3.0229238177053945,0,0.0,10
11,2.873764084596919,0,0.0,11
12,2.7587100765436117,0,0.0,12
13,2.6070484194295256,0,0.0,13
14,2.498749074308611,0,0.0,14
15,2.3762623340722113,0,0.0,15
16,2.255697255273604,0,0.0,16
17,2.2209985685509066,0,0.0,17
18,2.097609759186967,1,0.05555555555555555,17
19,2.131704035458582,0,0.0,19
20,2.020816460727568,1,0.05,19
21,1.998342070450565,2,0.09523809523809523,19
22,1.8853249212585537,3,0.13636363636363635,19
23,1.872855772336405,3,0.13043478260869565,20
24,1.5903073989488148,6,0.25,18
25,1.7280762996626657,5,0.2,20
26,1.4812351991797197,8,0.3076923076923077,18
27,1.4555529258460846,9,0.3333333333333333,18
28,1.5151430492446152,8,0.2857142857142857,20
29,1.4102767475346871,9,0.3103448275862069,20
30,1.2771301338669485,12,0.4,18
31,1.2666372791679894,12,0.3870967741935484,19
32,1.460911473903625,10,0.3125,22
33,1.2315976172150458,13,0.3939393939393939,20
34,1.194745206139178,14,0.4117647058823529,20
35,1.1215019269537583,16,0.45714285714285713,19
36,1.0896552316864336,17,0.4722222222222222,19
37,1.0663257624601172,18,0.4864864864864865,19
38,1.0663327533501894,18,0.47368421052631576,20
39,1.0425244571653265,18,0.46153846153846156,21
40,1.0231554007518042,18,0.45,22
41,1.0270934834504533,19,0.4634146341463415,22
42,1.0333383791055377,18,0.42857142857142855,24
43,0.9505662103831208,21,0.4883720930232558,22
44,0.9120655589248209,23,0.5227272727272727,21
45,0.9579058550774987,21,0.4666666666666667,24
46,0.9015063134017701,25,0.5434782608695652,21
47,0.8944573895565233,24,0.5106382978723404,23
48,0.9076115923861726,24,0.5,24
49,0.9623514842521803,20,0.40816326530612246,29
50,0.8945832542761611,23,0.46,27
51,0.8945595979061673,25,0.49019607843137253,26
52,0.8525044780794158,26,0.5,26
