NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,4.923522679090709,0,0.0,2
3,3.1962562072798364,0,0.0,3
4,2.9069750654363484,0,0.0,4
5,2.934141758958426,0,0.0,5
6,2.5749224255543375,0,0.0,6
7,2.4445575432701188,0,0.0,7
8,2.2749759761721973,0,0.0,8
9,2.6003605821598015,0,0.0,9
10,2.5863754968408745,0,0.0,10
11,2.869793532988343,0,0.0,11
12,2.7209269083932464,0,0.0,12
13,2.5652616556097243,0,0.0,13
14,2.429561968227321,0,0.0,14
15,2.3133397468639667,0,0.0,15
16,2.201960066649688,0,0.0,16
17,2.126810033489317,0,0.0,17
18,2.033844983567684,0,0.0,18
19,1.9533067187048627,0,0.0,19
20,2.0322209344093194,0,0.0,20
21,1.9954048889651075,0,0.0,21
22,1.932697525580159,0,0.0,22
23,1.864316348652344,0,0.0,23
24,1.8005803832453668,0,0.0,24
25,1.7423825660767702,0,0.0,25
26,1.6873533026955616,0,0.0,26
27,1.6672376404293217,0,0.0,27
28,1.6004920220121939,0,0.0,28
29,1.5547080576332615,0,0.0,29
30,1.5124247276966192,0,0.0,30
31,1.4876400260538767,0,0.0,31
32,1.4438991915406165,0,0.0,32
33,1.4123440826887186,0,0.0,33
34,1.381040995196349,1,0.029411764705882353,33
35,1.3247854498849487,4,0.11428571428571428,31
36,1.308697299936612,2,0.05555555555555555,34
37,1.3144225670421468,1,0.02702702702702703,36
38,1.2488278949162521,3,0.07894736842105263,35
39,1.2660967346580614,1,0.02564102564102564,38
40,1.2138773758941919,2,0.05,38
41,1.2080889620283155,2,0.04878048780487805,39
42,1.1833471423340725,2,0.047619047619047616,40
43,1.148827774922168,3,0.06976744186046512,40
44,1.1426233509835244,3,0.06818181818181818,41
45,1.117425505192109,4,0.08888888888888889,41
46,1.111414713845374,3,0.06521739130434782,43
47,1.0810460207996493,4,0.0851063829787234,43
48,1.0762735871107167,3,0.0625,45
49,1.0998895970613156,1,0.02040816326530612,48
50,1.0921595719437724,2,0.04,48
51,1.0188435199709909,5,0.09803921568627451,46
52,1.0446344375817926,4,0.07692307692307693,48
53,1.0303974810805703,4,0.07547169811320754,49
54,1.027964786117843,4,0.07407407407407407,50
55,1.0151084177936658,4,0.07272727272727272,51
56,1.0081973403526776,5,0.08928571428571429,51
57,0.9911546781693593,4,0.07017543859649122,53
58,1.0094583787116997,5,0.08620689655172414,53
59,0.9556394694823784,6,0.1016949152542373,53
60,0.9521872803039652,6,0.1,54
61,0.9243936198328647,6,0.09836065573770492,55
62,0.9288336506349473,6,0.0967741935483871,56
63,0.9352564209279157,6,0.09523809523809523,57
