NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.781798231196165,0,0.0,2
3,2.198478185435073,0,0.0,3
4,2.069066691763252,0,0.0,4
5,2.0010961936710636,0,0.0,5
6,1.7466234573696264,0,0.0,6
7,1.6218646389860818,0,0.0,7
8,1.7466234573696264,0,0.0,8
9,1.3827435704176207,1,0.1111111111111111,8
10,1.2506062975123928,2,0.2,8
11,1.0251045447678313,4,0.36363636363636365,7
12,1.1268223565197497,3,0.25,9
13,1.1682592282147601,3,0.23076923076923078,10
14,0.8574655635509865,6,0.42857142857142855,8
15,1.1087449656538482,3,0.2,12
16,1.0292927414310915,4,0.25,12
17,1.1472136546425538,4,0.23529411764705882,13
18,1.040859597844145,5,0.2777777777777778,13
19,0.9872361362262998,5,0.2631578947368421,14
20,0.7615523458023691,9,0.45,11
21,0.9684346185023387,7,0.3333333333333333,14
22,0.7106966861958788,11,0.5,11
23,0.5675543517805028,14,0.6086956521739131,9
24,0.6042765732224634,14,0.5833333333333334,10
25,0.6215177692655137,13,0.52,12
26,0.7033041705035054,11,0.4230769230769231,15
27,0.5204395050270814,17,0.6296296296296297,10
28,0.7128483900289071,13,0.4642857142857143,15
29,0.6134524706526758,15,0.5172413793103449,14
30,0.6262750758559049,16,0.5333333333333333,14
31,0.5881895065578948,16,0.5161290322580645,15
32,0.5408669272183879,18,0.5625,14
33,0.5126573922768202,22,0.6666666666666666,11
34,0.7447634518060038,16,0.47058823529411764,18
35,0.5347703947738788,22,0.6285714285714286,13
36,0.5143506832896059,23,0.6388888888888888,13
37,0.47356304029568663,24,0.6486486486486487,13
38,0.5650156519776164,22,0.5789473684210527,16
39,0.5264652435798092,23,0.5897435897435898,16
40,0.49025484150848253,25,0.625,15
41,0.46879070977662873,27,0.6585365853658537,14
42,0.5039101639499834,25,0.5952380952380952,17
43,0.4981482243642902,26,0.6046511627906976,17
44,0.55182862848331,21,0.4772727272727273,23
45,0.5631569051661905,22,0.4888888888888889,23
46,0.5548462587679759,22,0.4782608695652174,24
47,0.6604930869283383,22,0.46808510638297873,25
48,0.44999993698767554,30,0.625,18
49,0.4658859023304722,30,0.6122448979591837,19
50,0.46335594303379746,34,0.68,16
51,0.45643843023934627,32,0.6274509803921569,19
52,0.37099149662313224,35,0.6730769230769231,17
53,0.42623709316158576,34,0.6415094339622641,19
54,0.4263344464986436,37,0.6851851851851852,17
55,0.38559815248340273,37,0.6727272727272727,18
56,0.4440712527633233,35,0.625,21
57,0.4072376088149793,38,0.6666666666666666,19
58,0.43100699359960293,34,0.5862068965517241,24
59,0.3995096009395358,34,0.576271186440678,25
60,0.5247799872861304,27,0.45,33
61,0.38254908020928563,42,0.6885245901639344,19
62,0.36363440666501873,42,0.6774193548387096,20
63,0.4404604782894549,34,0.5396825396825397,29
64,0.3624765555609434,42,0.65625,22
65,0.35276947747255005,45,0.6923076923076923,20
66,0.33552509501281125,51,0.7727272727272727,15
67,0.468441488489885,36,0.5373134328358209,31
68,0.45132117085228696,45,0.6617647058823529,23
69,0.37081042788652996,48,0.6956521739130435,21
70,0.37469370798450896,51,0.7285714285714285,19
71,0.35394536460283177,49,0.6901408450704225,22
72,0.34015942087363155,51,0.7083333333333334,21
73,0.33656267839988935,55,0.7534246575342466,18
74,0.35179605655428536,52,0.7027027027027027,22
75,0.4467389093485514,55,0.7333333333333333,20
76,0.41201376819584334,52,0.6842105263157895,24
77,0.38941453436077483,54,0.7012987012987013,23
78,0.40535984349483406,51,0.6538461538461539,27
79,0.3003946624636929,61,0.7721518987341772,18
80,0.3145059902236168,55,0.6875,25
81,0.3380891758117689,53,0.654320987654321,28
82,0.29858251080956066,61,0.7439024390243902,21
83,0.2899765376780124,66,0.7951807228915663,17
84,0.3384593167429,63,0.75,21
85,0.3605245817191622,59,0.6941176470588235,26
86,0.34439883840604857,62,0.7209302325581395,24
87,0.32857970601386416,57,0.6551724137931034,30
88,0.3142491883915034,65,0.7386363636363636,23
89,0.3540265573037448,68,0.7640449438202247,21
90,0.3525020687380385,65,0.7222222222222222,25
91,0.39616033352781993,60,0.6593406593406593,31
92,0.3356118660581008,60,0.6521739130434783,32
93,0.3194869191645961,72,0.7741935483870968,21
94,0.3134543637976364,69,0.7340425531914894,25
95,0.3378820211362974,75,0.7894736842105263,20
96,0.3692375458460361,69,0.71875,27
97,0.3386330105786577,72,0.7422680412371134,25
98,0.3204723490428095,74,0.7551020408163265,24
99,0.3335389853501322,74,0.7474747474747475,25
100,0.37241511152322304,73,0.73,27
101,0.3107818021331774,77,0.7623762376237624,24
102,0.2853521747737311,77,0.7549019607843137,25
103,0.3737044360937654,73,0.7087378640776699,30
104,0.27580122505036414,76,0.7307692307692307,28
105,0.34709826318099796,68,0.6476190476190476,37
106,0.24564557517714092,84,0.7924528301886793,22
107,0.3803700733102754,80,0.7476635514018691,27
108,0.29079628541770225,79,0.7314814814814815,29
109,0.3449628528571716,82,0.7522935779816514,27
110,0.32144525546070063,83,0.7545454545454545,27
111,0.3662127351442518,82,0.7387387387387387,29
112,0.29142525161284216,89,0.7946428571428571,23
113,0.32442349287113265,82,0.7256637168141593,31
114,0.26282924769062754,86,0.7543859649122807,28
115,0.31920128581540264,77,0.6695652173913044,38
116,0.2902309335950449,90,0.7758620689655172,26
117,0.34666157310632745,85,0.7264957264957265,32
118,0.3227673035134828,94,0.7966101694915254,24
119,0.30034456543751387,93,0.7815126050420168,26
120,0.3516707989496017,90,0.75,30
121,0.25345801749145336,101,0.8347107438016529,20
122,0.2981516521198888,93,0.7622950819672131,29
123,0.3254114572902659,85,0.6910569105691057,38
124,0.3550245020161469,94,0.7580645161290323,30
125,0.3196811200350834,99,0.792,26
126,0.26597805582952705,104,0.8253968253968254,22
127,0.3267875936593276,103,0.8110236220472441,24
128,0.3065843272417228,97,0.7578125,31
129,0.2882704837371599,95,0.7364341085271318,34
130,0.2681841730486756,102,0.7846153846153846,28
131,0.3468917458681777,90,0.6870229007633588,41
132,0.27406799971918205,100,0.7575757575757576,32
133,0.3090861787730611,91,0.6842105263157895,42
134,0.29542258082209766,88,0.6567164179104478,46
135,0.3135317302679938,104,0.7703703703703704,31
136,0.2793516053277504,103,0.7573529411764706,33
137,0.2952613621685366,105,0.7664233576642335,32
138,0.26683254324803835,113,0.8188405797101449,25
139,0.32256459222682443,109,0.7841726618705036,30
140,0.30184883400584195,107,0.7642857142857142,33
141,0.2708092434113048,109,0.7730496453900709,32
142,0.27625569710955217,108,0.7605633802816901,34
143,0.2867706379288141,113,0.7902097902097902,30
144,0.3211652351746953,103,0.7152777777777778,41
145,0.28159168113367644,114,0.7862068965517242,31
146,0.23313366158728957,115,0.7876712328767124,31
147,0.31259209178543196,111,0.7551020408163265,36
148,0.3359902514278082,109,0.7364864864864865,39
149,0.30874992303216753,115,0.7718120805369127,34
150,0.2926095260654484,116,0.7733333333333333,34
151,0.24570602202445024,121,0.8013245033112583,30
152,0.2728043631839596,120,0.7894736842105263,32
153,0.3238000073368581,119,0.7777777777777778,34
154,0.2810882566678133,127,0.8246753246753247,27
155,0.2745204495557206,123,0.7935483870967742,32
156,0.30714559496641697,120,0.7692307692307693,36
157,0.3149390558011691,120,0.7643312101910829,37
158,0.28056172948076097,124,0.7848101265822784,34
159,0.28747679598404413,119,0.7484276729559748,40
160,0.24279814447318943,132,0.825,28
161,0.295543927863045,128,0.7950310559006211,33
162,0.29174915007847674,125,0.7716049382716049,37
163,0.2807602190411255,124,0.7607361963190185,39
164,0.30377122774452514,135,0.823170731707317,29
165,0.30357119313038766,133,0.806060606060606,32
166,0.26456237608097194,133,0.8012048192771084,33
167,0.286889900609747,129,0.7724550898203593,38
168,0.24519574695094365,139,0.8273809523809523,29
169,0.2939307096564516,125,0.7396449704142012,44
170,0.22835637788610855,135,0.7941176470588235,35
171,0.1995667921012385,149,0.8713450292397661,22
172,0.2776034974025491,138,0.8023255813953488,34
173,0.26864422579192865,131,0.7572254335260116,42
174,0.2573964601370625,142,0.8160919540229885,32
175,0.28718291498213855,133,0.76,42
176,0.26306303392084074,135,0.7670454545454546,41
177,0.28523902191892636,134,0.7570621468926554,43
178,0.2628099840126438,144,0.8089887640449438,34
179,0.28914430533006025,130,0.7262569832402235,49
180,0.28955964921107247,132,0.7333333333333333,48
181,0.2731081543888355,133,0.7348066298342542,48
182,0.2663952728997373,145,0.7967032967032966,37
183,0.2452228622882433,141,0.7704918032786885,42
184,0.2394847871807131,152,0.8260869565217391,32
185,0.3034310353245776,143,0.772972972972973,42
186,0.22562019557052465,140,0.7526881720430108,46
187,0.2585765386858933,140,0.7486631016042781,47
188,0.2795053221854946,146,0.776595744680851,42
189,0.2324803817671385,156,0.8253968253968254,33
190,0.23306615760000343,150,0.7894736842105263,40
191,0.27278236389183863,150,0.7853403141361257,41
192,0.20065067973957687,157,0.8177083333333334,35
193,0.29366528193086766,152,0.7875647668393783,41
194,0.24833431939106707,145,0.7474226804123711,49
195,0.28786280685311927,156,0.8,39
196,0.28690571386283814,149,0.7602040816326531,47
197,0.27951530241046435,154,0.7817258883248731,43
198,0.22536696185860416,160,0.8080808080808081,38
199,0.2569142509228691,151,0.7587939698492462,48
200,0.27065707260354044,152,0.76,48
201,0.28734984907870215,153,0.7611940298507462,48
