NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8516833017105909,0,0.0,2
3,0.8218174168847122,0,0.0,3
4,0.8514547901661647,0,0.0,4
5,0.664115271759599,1,0.2,4
6,0.7462970134480702,0,0.0,6
7,0.5057415671150984,3,0.42857142857142855,4
8,0.5879328662677233,2,0.25,6
9,0.5053780238045484,3,0.3333333333333333,6
10,0.6021868007863322,3,0.3,7
11,0.48363981154519414,4,0.36363636363636365,7
12,0.6376531098790189,3,0.25,9
13,0.41238613479754227,5,0.38461538461538464,8
14,0.41478945444725424,7,0.5,7
15,0.5005409603317884,5,0.3333333333333333,10
16,0.32439858352649314,9,0.5625,7
17,0.38603489111308703,7,0.4117647058823529,10
18,0.31095501364252315,10,0.5555555555555556,8
19,0.33476543026484473,11,0.5789473684210527,8
20,0.439111694831235,7,0.35,13
21,0.3646166451049794,10,0.47619047619047616,11
22,0.5052129256727959,8,0.36363636363636365,14
23,0.2899105183868295,13,0.5652173913043478,10
24,0.33993032659774586,11,0.4583333333333333,13
25,0.27768412884507687,14,0.56,11
26,0.26185891998673216,17,0.6538461538461539,9
27,0.29463406720227076,14,0.5185185185185185,13
28,0.32698852419598834,15,0.5357142857142857,13
29,0.28036245569005513,15,0.5172413793103449,14
30,0.28100799917671854,17,0.5666666666666667,13
31,0.28470541800197324,16,0.5161290322580645,15
32,0.28484226619622,18,0.5625,14
33,0.24296621590983547,18,0.5454545454545454,15
34,0.2614303545511735,19,0.5588235294117647,15
35,0.2371942416314204,19,0.5428571428571428,16
36,0.2486910620302985,21,0.5833333333333334,15
37,0.25868045602446893,22,0.5945945945945946,15
38,0.22088748065662533,24,0.631578947368421,14
39,0.22363405251441568,26,0.6666666666666666,13
40,0.20941304231168992,28,0.7,12
41,0.23740111788057752,23,0.5609756097560976,18
42,0.21973190822261887,23,0.5476190476190477,19
43,0.23883240875770398,25,0.5813953488372093,18
44,0.18003200575868702,28,0.6363636363636364,16
45,0.22057008490908603,27,0.6,18
46,0.20910042019858627,30,0.6521739130434783,16
47,0.21433232240422945,27,0.574468085106383,20
48,0.4051742170332574,22,0.4583333333333333,26
49,0.20269399293206433,33,0.673469387755102,16
50,0.19422773943558513,31,0.62,19
51,0.1951546133197289,31,0.6078431372549019,20
52,0.1911330761535547,31,0.5961538461538461,21
53,0.19184601451204195,30,0.5660377358490566,23
54,0.1699708378522919,36,0.6666666666666666,18
55,0.2322304846008439,31,0.5636363636363636,24
56,0.16252076496410536,40,0.7142857142857143,16
57,0.17002638547887666,39,0.6842105263157895,18
58,0.18610804910092552,38,0.6551724137931034,20
59,0.1536422745264841,38,0.6440677966101694,21
60,0.16850433010874044,39,0.65,21
61,0.15966113979445945,44,0.7213114754098361,17
62,0.17076925646127736,42,0.6774193548387096,20
63,0.17870397498489501,44,0.6984126984126984,19
64,0.23213316725357996,31,0.484375,33
65,0.1760337123743493,44,0.676923076923077,21
66,0.1768602465012997,38,0.5757575757575758,28
67,0.15490620063703509,44,0.6567164179104478,23
68,0.17928802278355574,41,0.6029411764705882,27
69,0.1801724676432413,42,0.6086956521739131,27
70,0.13400603771249103,54,0.7714285714285715,16
71,0.1777493148744568,41,0.5774647887323944,30
72,0.18199748888834558,42,0.5833333333333334,30
73,0.15077932445324727,46,0.6301369863013698,27
74,0.1654829588849322,48,0.6486486486486487,26
75,0.17127534135151506,45,0.6,30
76,0.1563504074539585,45,0.5921052631578947,31
77,0.12838279264512678,61,0.7922077922077922,16
78,0.18741760033403887,51,0.6538461538461539,27
79,0.14503680130664007,57,0.7215189873417721,22
80,0.12708506400226288,52,0.65,28
81,0.16192302198723907,50,0.6172839506172839,31
82,0.15732140160901376,50,0.6097560975609756,32
83,0.16697191956363544,47,0.5662650602409639,36
84,0.14641537077197966,57,0.6785714285714286,27
85,0.14871737611251293,57,0.6705882352941176,28
86,0.15432315720283046,56,0.6511627906976745,30
87,0.13207789193899933,55,0.632183908045977,32
88,0.14188941106773856,58,0.6590909090909091,30
89,0.14749932667545415,59,0.6629213483146067,30
90,0.13326460169450943,62,0.6888888888888889,28
91,0.11622073253894455,70,0.7692307692307693,21
92,0.10739558421527862,72,0.782608695652174,20
93,0.15067789725708824,49,0.5268817204301075,44
94,0.17371052701261036,49,0.5212765957446809,45
95,0.13930945313319631,65,0.6842105263157895,30
