NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.3592478254187252,0,0.0,2
3,1.7499232492079493,0,0.0,3
4,1.781761828441931,0,0.0,4
5,1.426122934558353,0,0.0,5
6,1.5381136547013616,0,0.0,6
7,1.421429578529453,0,0.0,7
8,1.4165953721217137,1,0.125,7
9,1.6406288472965957,0,0.0,9
10,1.480862905216123,1,0.1,9
11,1.3147634767687704,2,0.18181818181818182,9
12,1.1226035760693465,3,0.25,9
13,1.1593316277351589,2,0.15384615384615385,11
14,0.9047642720980446,5,0.35714285714285715,9
15,1.0417555738696218,5,0.3333333333333333,10
16,1.0789337995260113,5,0.3125,11
17,1.1415155714590743,4,0.23529411764705882,13
18,1.0662686009760347,5,0.2777777777777778,13
19,0.9414574293392969,6,0.3157894736842105,13
20,0.8586513988177525,7,0.35,13
21,0.9732482616167326,6,0.2857142857142857,15
22,0.82454476494301,9,0.4090909090909091,13
23,0.7951529369891333,10,0.43478260869565216,13
24,0.7543711728004053,11,0.4583333333333333,13
25,0.7382263004182377,11,0.44,14
26,0.737558540612192,13,0.5,13
27,0.8106324024205684,10,0.37037037037037035,17
28,0.773363293140295,11,0.39285714285714285,17
29,0.7122394139329498,16,0.5517241379310345,13
30,0.7481011002267566,13,0.43333333333333335,17
31,0.787689651814757,13,0.41935483870967744,18
32,0.7330731176811576,15,0.46875,17
33,0.7581021543844519,14,0.42424242424242425,19
34,0.7439605518653589,16,0.47058823529411764,18
35,0.6950525910908387,17,0.4857142857142857,18
36,0.7524263428085269,18,0.5,18
37,0.6442482470845845,20,0.5405405405405406,17
38,0.7395330389401937,19,0.5,19
39,0.7543300913382656,19,0.48717948717948717,20
40,0.5208925791326927,23,0.575,17
41,0.7536849870309316,16,0.3902439024390244,25
42,0.6142352192608282,24,0.5714285714285714,18
43,0.6125642601452406,21,0.4883720930232558,22
44,0.5767706200793165,24,0.5454545454545454,20
45,0.5939617578008469,25,0.5555555555555556,20
46,0.5863005472557158,22,0.4782608695652174,24
47,0.5989672544245078,25,0.5319148936170213,22
48,0.6080268763629014,24,0.5,24
49,0.6307388281271374,27,0.5510204081632653,22
50,0.49186520451056026,28,0.56,22
51,0.6073971990099936,30,0.5882352941176471,21
52,0.5336940145170684,28,0.5384615384615384,24
53,0.5502061427292226,31,0.5849056603773585,22
54,0.5343813834102568,35,0.6481481481481481,19
55,0.590349414778077,30,0.5454545454545454,25
56,0.4732193424419636,36,0.6428571428571429,20
57,0.44141612961087834,36,0.631578947368421,21
58,0.5100737393887367,36,0.6206896551724138,22
59,0.46597370362970625,34,0.576271186440678,25
60,0.4877041778760216,38,0.6333333333333333,22
61,0.5100675964658529,36,0.5901639344262295,25
62,0.5027906746907875,37,0.5967741935483871,25
63,0.5044724226448933,37,0.5873015873015873,26
64,0.6551947535412848,29,0.453125,35
65,0.5136038204780897,39,0.6,26
66,0.46354883384578166,41,0.6212121212121212,25
67,0.46626617892903544,44,0.6567164179104478,23
68,0.4596122109292664,46,0.6764705882352942,22
69,0.487000670608711,41,0.5942028985507246,28
70,0.47118139070125975,42,0.6,28
71,0.49481724080828515,40,0.5633802816901409,31
72,0.4289831116299775,49,0.6805555555555556,23
73,0.4367173721586504,46,0.6301369863013698,27
74,0.4495453443318861,50,0.6756756756756757,24
75,0.4169391234222537,52,0.6933333333333334,23
76,0.4659950960267464,47,0.618421052631579,29
77,0.5100374737511161,43,0.5584415584415584,34
78,0.3733687502998368,56,0.717948717948718,22
79,0.46978952034552696,47,0.5949367088607594,32
80,0.35496972827370515,56,0.7,24
81,0.4407716527495137,48,0.5925925925925926,33
82,0.42588649943892976,57,0.6951219512195121,25
83,0.3877931775447199,57,0.6867469879518072,26
84,0.4293351585650793,55,0.6547619047619048,29
85,0.37316409312304344,57,0.6705882352941176,28
86,0.4253204691768482,56,0.6511627906976745,30
87,0.3439225819695004,62,0.7126436781609196,25
88,0.3671327470400205,60,0.6818181818181818,28
89,0.4311402324385688,55,0.6179775280898876,34
90,0.41661335950248246,60,0.6666666666666666,30
91,0.4081363533865446,66,0.7252747252747253,25
92,0.3405304547661286,69,0.75,23
93,0.40554808810052645,61,0.6559139784946236,32
94,0.3810772388705421,65,0.6914893617021277,29
95,0.3299391769973234,72,0.7578947368421053,23
96,0.3812667078969822,63,0.65625,33
97,0.35194599665104087,66,0.6804123711340206,31
98,0.4059307610636594,65,0.6632653061224489,33
99,0.38242581102934003,63,0.6363636363636364,36
100,0.3957103903124714,58,0.58,42
101,0.3752390193097223,66,0.6534653465346535,35
102,0.35299121096924396,75,0.7352941176470589,27
103,0.35761118433966377,72,0.6990291262135923,31
104,0.3705746303497104,71,0.6826923076923077,33
105,0.34777087165078957,75,0.7142857142857143,30
106,0.28040604081826837,83,0.7830188679245284,23
107,0.3757865794583176,69,0.6448598130841121,38
108,0.35303352285272316,70,0.6481481481481481,38
109,0.3772822630674947,70,0.6422018348623854,39
110,0.344958350708019,74,0.6727272727272727,36
111,0.34104863056572415,81,0.7297297297297297,30
112,0.339618017261545,82,0.7321428571428571,30
113,0.348007511536817,74,0.6548672566371682,39
114,0.31253447635425397,88,0.7719298245614035,26
115,0.32601952071196744,85,0.7391304347826086,30
116,0.317701377054166,85,0.7327586206896551,31
117,0.39594243403749374,82,0.7008547008547008,35
118,0.35251725823844227,75,0.635593220338983,43
119,0.30765730642253597,83,0.6974789915966386,36
120,0.3253074424150722,88,0.7333333333333333,32
121,0.31667997571799533,95,0.7851239669421488,26
122,0.3060490357132071,94,0.7704918032786885,28
123,0.29509077471542805,95,0.7723577235772358,28
124,0.3390709088094508,89,0.717741935483871,35
125,0.31603813687713966,87,0.696,38
126,0.29789937154576673,98,0.7777777777777778,28
127,0.3124079215699918,91,0.7165354330708661,36
128,0.2724815106015645,102,0.796875,26
129,0.29381327726271356,98,0.7596899224806202,31
130,0.2814978576140223,105,0.8076923076923077,25
131,0.2887778734783169,94,0.7175572519083969,37
132,0.32766079683890503,88,0.6666666666666666,44
133,0.3248581774437891,98,0.7368421052631579,35
134,0.33590344198441335,94,0.7014925373134329,40
135,0.34396285185967373,99,0.7333333333333333,36
136,0.28746476087868017,97,0.7132352941176471,39
137,0.26173535969096373,107,0.781021897810219,30
138,0.2912598709392723,106,0.7681159420289855,32
139,0.3502800580674696,87,0.6258992805755396,52
140,0.3171697688502306,103,0.7357142857142858,37
141,0.3124546392551347,94,0.6666666666666666,47
142,0.2952049291384882,105,0.7394366197183099,37
143,0.2944830805643402,98,0.6853146853146853,45
144,0.35100403658182594,84,0.5833333333333334,60
145,0.27627484234993205,107,0.7379310344827587,38
146,0.3047970387805157,101,0.6917808219178082,45
147,0.30186220009665465,102,0.6938775510204082,45
148,0.28056757007283173,105,0.7094594594594594,43
149,0.32488878445807856,103,0.6912751677852349,46
150,0.2792278390470277,101,0.6733333333333333,49
151,0.26650341908370895,117,0.7748344370860927,34
152,0.296884153055122,103,0.6776315789473685,49
153,0.29936127710899496,114,0.7450980392156863,39
