NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,2.161339034037626,0,0.0,2
3,2.2932960970073637,0,0.0,3
4,2.4272115549082054,0,0.0,4
5,2.1709062529087184,0,0.0,5
6,1.958969758379099,0,0.0,6
7,1.7639385346551415,0,0.0,7
8,1.5893839677767865,0,0.0,8
9,1.5197076818090396,0,0.0,9
10,1.5878889068361086,0,0.0,10
11,1.3526644291884407,1,0.09090909090909091,10
12,1.695082137051042,1,0.08333333333333333,11
13,1.2906331741485062,1,0.07692307692307693,12
14,1.343553391229732,2,0.14285714285714285,12
15,1.1300365917414337,3,0.2,12
16,1.172668530777107,3,0.1875,13
17,1.1913507783589719,2,0.11764705882352941,15
18,1.1154842045635431,3,0.16666666666666666,15
19,0.9721940107381418,5,0.2631578947368421,14
20,1.1173513918728495,4,0.2,16
21,1.1311104201870126,7,0.3333333333333333,14
22,0.8122005225940676,9,0.4090909090909091,13
23,0.9197330105003364,6,0.2608695652173913,17
24,0.8112616855789037,9,0.375,15
25,1.2234751702884457,8,0.32,17
26,0.9044032419643708,9,0.34615384615384615,17
27,0.7576341134854353,11,0.4074074074074074,16
28,0.8609434015908838,10,0.35714285714285715,18
29,0.8386144193116473,11,0.3793103448275862,18
30,0.777713197542543,12,0.4,18
31,0.8488910718640618,12,0.3870967741935484,19
32,0.7209999474014308,14,0.4375,18
33,0.6659226299637125,15,0.45454545454545453,18
34,1.1110701939173246,12,0.35294117647058826,22
35,0.7699996599552302,13,0.37142857142857144,22
36,0.6391566135970799,17,0.4722222222222222,19
37,0.6687012282371181,18,0.4864864864864865,19
38,0.6454351890072672,16,0.42105263157894735,22
39,0.7711011933715239,17,0.4358974358974359,22
40,0.6168886665409866,21,0.525,19
41,0.77529804638638,17,0.4146341463414634,24
42,0.7520164544938951,20,0.47619047619047616,22
43,0.6896973852431217,20,0.46511627906976744,23
44,0.5334228317386335,24,0.5454545454545454,20
45,0.8057855348905032,21,0.4666666666666667,24
46,0.5709945329606878,26,0.5652173913043478,20
47,0.6734905844063239,21,0.44680851063829785,26
48,0.7156976274020589,25,0.5208333333333334,23
49,0.7287288193647934,26,0.5306122448979592,23
50,0.777358811520298,23,0.46,27
51,0.6098494618707389,28,0.5490196078431373,23
52,0.6944064527738237,27,0.5192307692307693,25
53,0.712241071835279,25,0.4716981132075472,28
54,0.7526543092771582,26,0.48148148148148145,28
55,0.5882674939668278,29,0.5272727272727272,26
56,0.5045304449219248,33,0.5892857142857143,23
57,0.693651002771055,28,0.49122807017543857,29
58,0.6749309899441953,36,0.6206896551724138,22
59,0.560669252188258,32,0.5423728813559322,27
60,0.8042931008837222,34,0.5666666666666667,26
61,0.5252416317945149,36,0.5901639344262295,25
62,1.1343628707560525,32,0.5161290322580645,30
63,0.6490428758754759,37,0.5873015873015873,26
64,0.7980777958387415,33,0.515625,31
65,0.5911720422553657,39,0.6,26
66,0.7360313850557725,35,0.5303030303030303,31
67,0.742793807265991,32,0.47761194029850745,35
68,0.5299231737264156,44,0.6470588235294118,24
69,0.6208198362873266,43,0.6231884057971014,26
70,0.7910699929882817,37,0.5285714285714286,33
71,0.5093863994474652,47,0.6619718309859155,24
72,0.7326499242716242,44,0.6111111111111112,28
73,0.9177072503822372,43,0.589041095890411,30
74,0.6123522881811164,45,0.6081081081081081,29
75,0.5009747331170634,50,0.6666666666666666,25
76,0.5181706007222696,48,0.631578947368421,28
77,0.7450943718421144,50,0.6493506493506493,27
78,0.5581952005154172,52,0.6666666666666666,26
79,0.487768371060811,53,0.6708860759493671,26
80,0.7653344596910774,44,0.55,36
81,0.6532419024892934,48,0.5925925925925926,33
82,0.6303691996404861,48,0.5853658536585366,34
83,0.6660732305739123,45,0.5421686746987951,38
84,0.5505263859634615,53,0.6309523809523809,31
85,0.5323488185355147,48,0.5647058823529412,37
86,0.757847029620339,45,0.5232558139534884,41
87,0.5475333985250368,54,0.6206896551724138,33
88,0.4988621870369465,52,0.5909090909090909,36
89,0.6153193207732085,59,0.6629213483146067,30
90,0.6509885160967905,59,0.6555555555555556,31
91,0.5467899226905355,63,0.6923076923076923,28
92,0.7863406484537057,58,0.6304347826086957,34
93,0.7228756178646784,59,0.6344086021505376,34
94,0.7177649606886266,65,0.6914893617021277,29
95,0.6144977718338069,63,0.6631578947368421,32
96,0.5933645119496616,65,0.6770833333333334,31
97,0.7247897837013206,65,0.6701030927835051,32
98,0.5473103466614397,64,0.6530612244897959,34
99,0.6110281688344243,68,0.6868686868686869,31
100,0.4757084871883207,68,0.68,32
101,0.4412165694049108,66,0.6534653465346535,35
102,0.5507860133448876,72,0.7058823529411765,30
103,0.5747426649566753,67,0.6504854368932039,36
104,0.732356494945198,68,0.6538461538461539,36
105,0.5394973791209846,67,0.638095238095238,38
106,0.6379669246948598,71,0.6698113207547169,35
107,0.5962317241202134,77,0.719626168224299,30
108,0.6994177179730182,77,0.7129629629629629,31
109,0.5390878933037417,77,0.7064220183486238,32
110,0.7331175345439032,76,0.6909090909090909,34
111,0.626252175011689,79,0.7117117117117117,32
112,0.6346368949835515,76,0.6785714285714286,36
113,0.6722345257461485,77,0.6814159292035398,36
114,0.6670355675349664,68,0.5964912280701754,46
115,0.7582939688264588,67,0.5826086956521739,48
116,0.584496275751749,78,0.6724137931034483,38
117,0.5250061890879032,88,0.7521367521367521,29
118,0.5764892552693398,84,0.711864406779661,34
119,0.6115342135659023,84,0.7058823529411765,35
120,0.49406959168449427,84,0.7,36
121,0.586692903275011,79,0.6528925619834711,42
122,0.5692602788205344,88,0.7213114754098361,34
123,0.62394893474054,88,0.7154471544715447,35
124,0.517650995222844,88,0.7096774193548387,36
125,0.6415563319382088,87,0.696,38
126,0.5879898180928926,91,0.7222222222222222,35
127,0.49920753259882666,94,0.7401574803149606,33
128,0.6287825677441077,90,0.703125,38
129,0.49885642143624653,98,0.7596899224806202,31
130,0.5996114955273119,89,0.6846153846153846,41
131,0.6420191133437201,90,0.6870229007633588,41
132,0.5393308236530627,92,0.696969696969697,40
133,0.4075714884234407,98,0.7368421052631579,35
