NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.7093200240941466,0,0.0,2
3,0.6776930385368916,0,0.0,3
4,0.7381694482037653,0,0.0,4
5,0.7276354348900724,0,0.0,5
6,0.7702588967843907,0,0.0,6
7,0.7374244410715811,0,0.0,7
8,0.7299736118369423,0,0.0,8
9,0.6683257559489927,0,0.0,9
10,0.6635111975355357,0,0.0,10
11,0.6822317764890481,0,0.0,11
12,0.7394936853514537,0,0.0,12
13,0.7225865651651678,0,0.0,13
14,0.6045433989538384,0,0.0,14
15,0.6303991081360124,0,0.0,15
16,0.6520307420119447,0,0.0,16
17,0.6511085392433772,0,0.0,17
18,0.6339135276122452,0,0.0,18
19,0.6255938118036913,0,0.0,19
20,0.622426132347943,0,0.0,20
21,0.5826081657931838,0,0.0,21
22,0.5975730940422532,0,0.0,22
23,0.6157168321722022,0,0.0,23
24,0.6385801666535368,0,0.0,24
25,0.6071351167682221,0,0.0,25
26,0.6143788880291418,0,0.0,26
27,0.6228022852844747,0,0.0,27
28,0.6294621172468682,0,0.0,28
29,0.5874656844246584,0,0.0,29
30,0.6296191201592398,0,0.0,30
31,0.6002404387574123,0,0.0,31
32,0.572822710803714,2,0.0625,30
33,0.6041860765272544,0,0.0,33
34,0.6176777089258602,1,0.029411764705882353,33
35,0.5998171518608623,1,0.02857142857142857,34
36,0.6035151281074159,0,0.0,36
37,0.5948458226685094,1,0.02702702702702703,36
38,0.596583871643281,1,0.02631578947368421,37
39,0.563303920063437,1,0.02564102564102564,38
40,0.5941425279073592,1,0.025,39
41,0.5936417581098572,2,0.04878048780487805,39
42,0.6303282481240241,1,0.023809523809523808,41
43,0.5980817593871823,1,0.023255813953488372,42
44,0.5425789033238344,4,0.09090909090909091,40
45,0.5882868837021802,2,0.044444444444444446,43
46,0.6092211047025171,2,0.043478260869565216,44
47,0.5720179427120193,3,0.06382978723404255,44
48,0.6013714217365931,2,0.041666666666666664,46
49,0.5508643187589487,4,0.08163265306122448,45
50,0.5618486773882156,4,0.08,46
51,0.5795160652338556,3,0.058823529411764705,48
52,0.5430609015236748,6,0.11538461538461539,46
53,0.6111230099962934,4,0.07547169811320754,49
54,0.5925395416673549,3,0.05555555555555555,51
55,0.5976688706501831,2,0.03636363636363636,53
56,0.5322483971327485,7,0.125,49
57,0.5485095925019732,6,0.10526315789473684,51
58,0.5937109510750321,3,0.05172413793103448,55
59,0.5641812513693552,6,0.1016949152542373,53
60,0.6011970382413202,3,0.05,57
61,0.5667939436852205,6,0.09836065573770492,55
62,0.5751558779013686,5,0.08064516129032258,57
63,0.560310861307013,7,0.1111111111111111,56
64,0.5446310741464804,8,0.125,56
65,0.5727946618007049,6,0.09230769230769231,59
66,0.5591065378469209,8,0.12121212121212122,58
67,0.5542603319506245,8,0.11940298507462686,59
68,0.560062713670546,8,0.11764705882352941,60
69,0.4876484215488304,10,0.14492753623188406,59
70,0.5237471315236177,8,0.11428571428571428,62
71,0.5035206408129611,12,0.16901408450704225,59
